level,name_base,name_prefix,name_suffix,name_full,name_short,organiser,organiser_name,clubs,entry,stages,qualification_spots,qualification_byes_format,tier_1_byes,tier_1_byes_format,tier_1_bye_entry_format,tier_1_entry_format,tier_1_intermediate,tier_1_qualifying_third,tier_1_qualifying_second,tier_1_qualifying_first,tier_1_qualifying_preliminary,tier_2_byes,tier_2_byes_format,tier_2_bye_entry_format,tier_2_entry_format,tier_2_intermediate,tier_2_qualifying_sixth,tier_2_qualifying_fifth,tier_2_qualifying_fourth,tier_2_qualifying_third,tier_2_qualifying_second,tier_2_qualifying_first,tier_2_qualifying_preliminary,amateur_cup_byes,amateur_cup_bye_entry_format,non_association_byes,non_association_bye_entry_format,non_association_other_byes,non_association_other_bye_entry_format,invite_byes,invite_bye_entry_format,format_start,format_end,type,quality,gender,victory,draw,loss,points_tiebreaker,match_system,uneven_team_system,draw_system,replay_venue,add_replay_venue,extra_time,previous_winner,home_and_away,venue_system,venue_semis,venue_finals,video_referee,promotion_teams,promotion_system,relegation_teams,relegation_system
,cup,<association name> challenge|<association initials>,,Football Association Challenge Cup,FA Cup,<association>,FA,130,open,rounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1885,1885,cup,both,men,,,,,knockout,random bye,bye or replay,negotiation,negotiation,none,1st round,FALSE,negotiation,neutral,neutral,FALSE,0,,0,
,cup,<association name> challenge|<association initials>,,Football Association Challenge Cup,FA Cup,<association>,FA,128,open,rounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1886,1886,cup,both,men,,,,,knockout,random bye,bye or replay,negotiation,negotiation,none,1st round,FALSE,negotiation,neutral,neutral,FALSE,0,,0,
,cup,<association name> challenge|<association initials>,,Football Association Challenge Cup,FA Cup,<association>,FA,149,open,rounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1887,1887,cup,both,men,,,,,knockout,random bye,bye or replay,negotiation,negotiation,none,1st round,FALSE,negotiation,neutral,neutral,FALSE,0,,0,
,cup,<association name> challenge|<association initials>,,Football Association Challenge Cup,FA Cup,<association>,FA,32,qualifying or bye,"qualifying rounds, rounds",10,semi-finalists and invite,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,1st round,1888,1888,cup,both,men,,,,,knockout,,replay,second,alternate,none,1st round,FALSE,negotiation,neutral,neutral,FALSE,0,,0,
,cup,<association name> challenge|<association initials>,,Football Association Challenge Cup,FA Cup,<association>,FA,32,qualifying or bye,"qualifying rounds, rounds",10,association league and invite,12,all,1st round,,,,,,,,,,,,,,,,,,,,,,,,,10,1st round,1889,1890,cup,both,men,,,,,knockout,,replay,second,alternate,none,,FALSE,negotiation,neutral,neutral,FALSE,0,,0,
,cup,<association name> challenge|<association initials>,,Football Association Challenge Cup,FA Cup,<association>,FA,32,qualifying or bye,"qualifying rounds, rounds",10,association league and invite,14,all,1st round,,,,,,,,,,,,,,,,,,,,,,,,,8,1st round,1891,1891,cup,both,men,,,,,knockout,,replay,second,alternate,replay only,,FALSE,by draw,neutral,neutral,FALSE,0,,0,
,cup,<association name> challenge|<association initials>,,Football Association Challenge Cup,FA Cup,<association>,FA,32,qualifying or bye,"qualifying rounds, rounds",10,association leagues and invite,16,all,1st round,,,,,,,3,partial,1st round,qualifying or preliminary,,,,,,,8,1,,,,,,,3,1st round,1892,1892,cup,both,men,,,,,knockout,,replay,second,alternate,replay only,,FALSE,by draw,neutral,neutral,FALSE,0,,0,
,cup,<association name> challenge|<association initials>,,Football Association Challenge Cup,FA Cup,<association>,FA,32,qualifying or bye,"qualifying rounds, rounds",10,association leagues and invite,16,all,1st round,,,,,,,5,partial,1st round,qualifying,,,,,,2,8,,,,,,,,1,1st round,1893,1893,cup,both,men,,,,,knockout,,replay,second,alternate,replay only,,FALSE,by draw,neutral,neutral,FALSE,0,,0,
,cup,<association name> challenge|<association initials>,,Football Association Challenge Cup,FA Cup,<association>,FA,32,qualifying or bye,"preliminary round, qualifying rounds, rounds",10,association leagues,16,all,1st round,,,,,,,6,partial,1st round,qualifying,,,,,,1,8,,,,,,,,,,1894,1894,cup,both,men,,,,,knockout,,replay,second,neutral,replay only,,FALSE,by draw,neutral,neutral,FALSE,0,,0,
,cup,<association name> challenge|<association initials>,,Football Association Challenge Cup,FA Cup,<association>,FA,32,qualifying or bye,"preliminary round, qualifying rounds, rounds",10,association leagues,16,all,1st round,,,,,,,6,partial,1st round,qualifying,,,,,,,10,,,,,,,,,,1895,1895,cup,both,men,,,,,knockout,,replay,second,neutral,replay only,,FALSE,by draw,neutral,neutral,FALSE,0,,0,
