team_name,team_base,team_suffix,country_name,sport_name,season_founded,season_last
Flimby & Fothergill,Flimby & Fothergill,United,UK,Rugby League,1924,1924
Fryston,Fryston,_,UK,Rugby League,1993,1994
Fulham,Fulham,RLFC,UK,Rugby League,1980,1990
Fulham Travellers,Fulham,Travellers,UK,Rugby League,1993,1994
Glass Houghton,Glass Houghton,_,UK,Rugby League,1937,1937
Glasson,Glasson,Rangers,UK,Rugby League,1913,1969
Golden Lions,Golden Lions,_,UK,Rugby League,1930,1930
Goole,Goole,Seaporters,UK,Rugby League,1898,1936
Great Clifton,Great Clifton,_,UK,Rugby League,1929,1931
Greetland AR,Greetland,All Rounders,UK,Rugby League,1993,1994
Groves Utd,Groves,United,UK,Rugby League,1898,1898
Halifax,Halifax,RLFC,UK,Rugby League,1895,1994
Healey St Adults,Healey St,Adults,UK,Rugby League,1919,1919
Hebden Bridge,Hebden Bridge,_,UK,Rugby League,1899,1905
Heckmondwike,Heckmondwike,FC,UK,Rugby League,1896,1902
Hemel Stags,Hemel,Stags,UK,Rugby League,1993,1994
Hensingham,Hensingham,ARLFC,UK,Rugby League,1922,1994
Heworth,Heworth,ARLFC,UK,Rugby League,1986,1994
Higginshaw,Higginshaw,ARLFC,UK,Rugby League,1932,1938
Higher Ince,Higher Ince,_,UK,Rugby League,1945,1945
Highfield,Highfield,RFC,UK,Rugby League,1991,1994
Holbeck,Holbeck,RC,UK,Rugby League,1896,1903
Huddersfield,Huddersfield,_,UK,Rugby League,1895,1983
Huddersfield,Huddersfield,_,UK,Rugby League,1988,1994
Huddersfield Barracudas,Huddersfield,Barracudas,UK,Rugby League,1984,1987
Hull BOCM,Hull BOCM,_,UK,Rugby League,1919,1970
Hull Dockers,Hull,Dockers,UK,Rugby League,1991,1993
Hull F.C.,Hull,FC,UK,Rugby League,1895,1994
Hull Juniors,Hull,Juniors,UK,Rugby League,1945,1945
Hull Kingston Rovers,Hull Kingston,Rovers,UK,Rugby League,1897,1994
Hull Marlborough,Hull Marlborough,_,UK,Rugby League,1897,1902
Hull Newington,Hull Newington,Rovers,UK,Rugby League,1905,1905
Hull St Mary's,Hull St Mary's,_,UK,Rugby League,1933,1933
Hull St Patrick's,Hull St Patrick's,_,UK,Rugby League,1923,1923
Hunslet,Hunslet,FC,UK,Rugby League,1895,1972
Hunslet,Hunslet,RLFC,UK,Rugby League,1979,1994
Huyton,Huyton,RLFC,UK,Rugby League,1968,1983
Idle,Idle,_,UK,Rugby League,1898,1902
Imperial Athletic,Imperial Athletic,_,UK,Rugby League,1962,1962
Irlam Hornets,Irlam,Hornets,UK,Rugby League,1993,1993
Jubilee Hotel,Jubilee Hotel,_,UK,Rugby League,1985,1985
Keighley,Keighley,_,UK,Rugby League,1900,1990
Keighley Cougars,Keighley,Cougars,UK,Rugby League,1991,1994
Kells,Kells,ARLFC,UK,Rugby League,1945,1994
Kells Recs Centre,Kells Recs Centre,_,UK,Rugby League,1958,1958
Kendal Hornets,Kendal,Hornets,UK,Rugby League,1899,1902
Kent Invicta,Kent,Invicta,UK,Rugby League,1983,1983
Kinsley,Kinsley,_,UK,Rugby League,1900,1927
Kippax White Swan,Kippax White Swan,_,UK,Rugby League,1973,1974
Kirkstall,Kirkstall,_,UK,Rugby League,1901,1901
Lancashire Amateurs,Lancashire,Amateurs,UK,Rugby League,1947,1956
Lancaster,Lancaster,RFC,UK,Rugby League,1897,1904
Lane End Utd,Lane End,United,UK,Rugby League,1910,1911
Langworthy Jrs,Langworthy,Juniors,UK,Rugby League,1945,1945
Latchford Albion,Latchford,Albion,UK,Rugby League,1950,1953
Latchford Rangers,Latchford,Rangers,UK,Rugby League,1896,1898
Leeds,Leeds,_,UK,Rugby League,1895,1994
Leeds Met University,Leeds Met University,_,UK,Rugby League,1994,1994
Leeds Parish Church,Leeds Parish Church,_,UK,Rugby League,1896,1900
Lees,Lees,_,UK,Rugby League,1896,1897
Leigh,Leigh,RFC,UK,Rugby League,1895,1994
Leigh East,Leigh East,ARLFC,UK,Rugby League,1990,1994
Leigh Miners Rangers,Leigh Miners',Rangers,UK,Rugby League,1994,1994
Leigh Miners' Welfare,Leigh Miners',Welfare,UK,Rugby League,1967,1994
Leigh Shamrocks,Leigh,Shamrocks,UK,Rugby League,1904,1905
Lindley,Lindley,Swifts,UK,Rugby League,1928,1931
Littleborough,Littleborough,ARLFC,UK,Rugby League,1993,1994
Liverpool City,Liverpool City,RLFC,UK,Rugby League,1906,1906
Liverpool City,Liverpool City,RLFC,UK,Rugby League,1951,1968
Liverpool Stanley,Liverpool Stanley,RLFC,UK,Rugby League,1934,1950
Liversedge,Liversedge,RFC,UK,Rugby League,1895,1901
Llanelli,Llanelli,_,UK,Rugby League,1950,1950
Lock Lane,Lock Lane,ARLFC,UK,Rugby League,1957,1994
London Broncos,London,Broncos,UK,Rugby League,1994,1994
London Colonials,London,Colonials,UK,Rugby League,1993,1993
London Crusaders,London,Crusaders,UK,Rugby League,1991,1994
London Highfield,London Highfield,_,UK,Rugby League,1933,1933
Lostock Gralam,Lostock Gralam,_,UK,Rugby League,1897,1897
Luddendenfoot,Luddendenfoot,_,UK,Rugby League,1898,1898
Manchester SC,Manchester Ship Canal,_,UK,Rugby League,1934,1934
Manningham,Manningham,FC,UK,Rugby League,1895,1902
Mansfield Marksman,Mansfield,Marksman,UK,Rugby League,1984,1988
Marsh Hornets,Marsh,Hornets,UK,Rugby League,1903,1903
Maryport,Maryport,ARLFC,UK,Rugby League,1898,1969
Mayfield,Mayfield,ARLFC,UK,Rugby League,1974,1994
Merthyr Tydfil,Merthyr Tydfil,RLFC,UK,Rugby League,1907,1910
Mid-Rhondda,Mid-Rhondda,RLFC,UK,Rugby League,1908,1908
Milford,Milford,ARLFC,UK,Rugby League,1978,1994
Milford Amateurs,Milford,Amateurs,UK,Rugby League,1988,1988
Millom,Millom,RLFC,UK,Rugby League,1897,1993
Moldgreen,Moldgreen,ARLFC,UK,Rugby League,1993,1994
Moorends,Moorends,ARLFC,UK,Rugby League,1993,1994
Morecambe,Morecambe,RFC,UK,Rugby League,1896,1905
Morley,Morley,RFC,UK,Rugby League,1897,1897
Mossley,Mossley,_,UK,Rugby League,1897,1897
Myson,Myson,RLFC,UK,Rugby League,1984,1994
New Blackpool,New Blackpool,_,UK,Rugby League,1905,1906
New Earswick,New Earswick,All Blacks,UK,Rugby League,1994,1994
New Hunslet,New Hunslet,RLFC,UK,Rugby League,1973,1978
Newcastle,Newcastle,RLFC,UK,Rugby League,1936,1937
Newington,Newington,Rovers,UK,Rugby League,1906,1906
Norland,Norland,Sharks,UK,Rugby League,1994,1994
Normanton,Normanton,_,UK,Rugby League,1898,1948
Normanton St John's,Normanton St John's,ARLFC,UK,Rugby League,1910,1912
Northampton Knights,Northampton,Knights,UK,Rugby League,1994,1994
Norwood,Norwood,_,UK,Rugby League,1922,1922
Nottingham City,Nottingham City,RLFC,UK,Rugby League,1989,1994
Oldham,Oldham,RLFC,UK,Rugby League,1895,1994
Oldham Juniors,Oldham,Juniors,UK,Rugby League,1896,1897
Oldham St Annes,Oldham St Annes,_,UK,Rugby League,1961,1994
Orchard Park,Orchard Park,_,UK,Rugby League,1993,1993
Orford Tannery,Orford Tannery,_,UK,Rugby League,1951,1957
Orrell St James,Orrell St James,ARLFC,UK,Rugby League,1993,1994
Ossett,Ossett,_,UK,Rugby League,1899,1904
Otley,Otley,_,UK,Rugby League,1900,1905
Oulton,Oulton,Raiders,UK,Rugby League,1993,1994
Outwood Church,Outwood Church,ARLFC,UK,Rugby League,1898,1903
Outwood Parish Church,Outwood Parish Church,ARLFC,UK,Rugby League,1905,1905
Ovenden,Ovenden,ARLFC,UK,Rugby League,1976,1994
Park Amateurs,Park,Amateurs,UK,Rugby League,1993,1994
Parton,Parton,_,UK,Rugby League,1902,1905
Pemberton Rovers,Pemberton,Rovers,UK,Rugby League,1906,1947
Pendlebury,Pendlebury,_,UK,Rugby League,1920,1920
Pendlebury Jnrs,Pendlebury,Juniors,UK,Rugby League,1933,1937
Penrith Utd,Penrith,United,UK,Rugby League,1901,1901
Pilkington Recs,Pilkington,Recs,UK,Rugby League,1960,1980
Pointer Panthers,Pointer,Panthers,UK,Rugby League,1975,1975
Pontefract,Pontefract,_,UK,Rugby League,1899,1906
Pontypridd,Pontypridd,RLFC,UK,Rugby League,1926,1926
Purston,Purston White Horse,_,UK,Rugby League,1909,1909
Queens,Queens,RLFC,UK,Rugby League,1993,1994
Radcliffe,Radcliffe,RFC,UK,Rugby League,1896,1906
Redhill,Redhill,_,UK,Rugby League,1993,1994
Risehow & Gillhead,Risehow & Gillhead,_,UK,Rugby League,1947,1947
Rochdale Athletic,Rochdale,Athletic,UK,Rugby League,1897,1903
Rochdale Hornets,Rochdale,Hornets,UK,Rugby League,1895,1994
Rochdale Rangers,Rochdale,Rangers,UK,Rugby League,1897,1905
Rochdale St Clements,Rochdale St Clements,_,UK,Rugby League,1896,1896
Roose,Roose,_,UK,Rugby League,1903,1962
Rothwell,Rothwell,_,UK,Rugby League,1898,1899
Runcorn,Runcorn,RFC,UK,Rugby League,1895,1914
Runcorn Highfield,Runcorn Highfield,_,UK,Rugby League,1984,1990
Runcorn Recreation,Runcorn,Recreation,UK,Rugby League,1896,1898
Ryedale-York,Ryedale-York,_,UK,Rugby League,1989,1994
Saddleworth,Saddleworth,_,UK,Rugby League,1898,1991
Saddleworth Rangers,Saddleworth,Rangers,UK,Rugby League,1993,1994
Salford,Salford,_,UK,Rugby League,1896,1994
Salford St Bart's,Salford St Bart's,_,UK,Rugby League,1897,1898
Salterhebble,Salterhebble,_,UK,Rugby League,1902,1902
Saville Green,Saville Green,_,UK,Rugby League,1905,1906
Scarborough Pirates,Scarborough,Pirates,UK,Rugby League,1991,1991
Seaton Rangers,Seaton,Rangers,UK,Rugby League,1899,1993
Sharlston Rovers,Sharlston,Rovers,UK,Rugby League,1904,1945
Shaw Cross,Shaw Cross,Sharks,UK,Rugby League,1993,1994
Sheffield Eagles,Sheffield,Eagles,UK,Rugby League,1984,1994
Shipley,Shipley,FC,UK,Rugby League,1900,1900
Simms Cross,Simms Cross,ARLFC,UK,Rugby League,1993,1994
Skirlaugh,Skirlaugh,ARLFC,UK,Rugby League,1993,1994
Smallbridge,Smallbridge,_,UK,Rugby League,1897,1897
South London,South London,_,UK,Rugby League,1994,1994
South Shields,South Shields,RLC,UK,Rugby League,1901,1903
Southend Invicta,Southend,Invicta,UK,Rugby League,1984,1984
Sowerby Bridge,Sowerby Bridge,_,UK,Rugby League,1900,1902
Springfield Borough.,Springfield Borough,_,UK,Rugby League,1987,1987
St Helens,St Helens,RFC,UK,Rugby League,1895,1994
St Helens Amateurs,St Helens,Amateurs,UK,Rugby League,1969,1970
St Helens Recs,St Helens,Recreation,UK,Rugby League,1896,1980
St. Paul's,St. Paul's,_,UK,Rugby League,1902,1902
Stanningley,Stanningley,SARLC,UK,Rugby League,1955,1963
Stockport,Stockport,RFC,UK,Rugby League,1895,1902
Stockport Rangers,Stockport,Rangers,UK,Rugby League,1896,1896
