format_start,format_end,sport,competition_type,competition_tier,competition_name,competition_structure,qualification_structure,division_name,organisation_name,association_name,clubs,clubs_including_qualifying_rounds,qualification_spots,entry_format,player_type,competition_format,venue_format,semis_venue_format,finals_venue_format,competition_playoffs,uneven_team_format,match_format,draw_format,add_draw_fromat,semis_format,finals_format,finals_draw_format,finals_add_draw_fromat,score_try,score_conversion,score_drop_goal,score_penalty_goal,ranking_format,win,draw,loss,tiebreaker_title,promotion,tiebreaker_promotion,promotion_format,relegation,relegation_format,,,,,,,,,,,,,,,,
1933,1933,Ice Hockey,cup,1,President's Pucks,four_rounds,none,,British Ice Hockey Association,British Ice Hockey Association,7,7,0,league_membership,professional,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_random_team,single_leg,replay,none,single_leg,single_leg,none,none,,,,,none,0,0,0,none,0,none,none,0,none,,,,,,,,,,,,,,,,
1934,1934,Ice Hockey,league,1,English League,single_division,none,,British Ice Hockey Association,British Ice Hockey Association,8,8,0,geography,professional,double_round_robin,home_and_away,none,none,none,none,single_leg,none,none,none,none,none,none,,,,,points,2,1,0,none,0,none,none,0,none,,,,,,,,,,,,,,,,
1934,1934,Ice Hockey,league,1,Scottish League,single_division,none,,British Ice Hockey Association,British Ice Hockey Association,6,6,0,geography,professional,triple_round_robin,home_and_away_and_first_drawn_preference,none,none,none,none,single_leg,none,none,none,none,none,none,,,,,points,2,1,0,none,0,none,none,0,none,,,,,,,,,,,,,,,,
1934,1934,Ice Hockey,cup,1,Mitchell Trophy,three_rounds,none,,British Ice Hockey Association,British Ice Hockey Association,6,6,0,league_membership,professional,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_random_team,single_leg,replay,none,single_leg,single_leg,none,none,,,,,none,0,0,0,none,0,none,none,0,none,,,,,,,,,,,,,,,,
1934,1934,Ice Hockey,cup,1,President's Pucks,three_rounds,none,,British Ice Hockey Association,British Ice Hockey Association,6,6,0,league_membership,professional,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_random_team,single_leg,replay,none,single_leg,single_leg,none,none,,,,,none,0,0,0,none,0,none,none,0,none,,,,,,,,,,,,,,,,
1935,1936,Ice Hockey,league,1,Scottish League,single_division,none,,British Ice Hockey Association,British Ice Hockey Association,5,5,0,geography,professional,quadruple_round_robin,home_and_away,none,none,none,none,single_leg,none,none,none,none,none,none,,,,,points,2,1,0,none,0,none,none,0,none,,,,,,,,,,,,,,,,
1935,1935,Ice Hockey,cup,1,Mitchell Trophy,three_rounds,none,,British Ice Hockey Association,British Ice Hockey Association,5,5,0,league_membership,professional,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_random_team,single_leg,replay,none,single_leg,single_leg,replay,none,,,,,none,0,0,0,none,0,none,none,0,none,,,,,,,,,,,,,,,,
1935,1935,Ice Hockey,cup,1,President's Pucks,three_rounds,none,,British Ice Hockey Association,British Ice Hockey Association,5,5,0,league_membership,professional,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_random_team,single_leg,replay,none,single_leg,single_leg,replay,none,,,,,none,0,0,0,none,0,none,none,0,none,,,,,,,,,,,,,,,,
1935,1935,Ice Hockey,league,1,English National League,single_division,none,,British Ice Hockey Association,British Ice Hockey Association,7,7,0,geography,professional,quadruple_round_robin,home_and_away,none,none,none,none,single_leg,none,none,none,none,none,none,,,,,points,2,1,0,none,0,none,none,0,none,,,,,,,,,,,,,,,,
1936,1936,Ice Hockey,league,1,English National League,single_division,none,,British Ice Hockey Association,British Ice Hockey Association,11,11,0,geography,professional,quadruple_round_robin,home_and_away,none,none,none,none,single_leg,none,none,none,none,none,none,,,,,points,2,1,0,none,0,none,none,0,none,,,,,,,,,,,,,,,,
1936,1936,Ice Hockey,cup,1,English National Tournament,four_rounds,none,,British Ice Hockey Association,British Ice Hockey Association,11,11,0,league_membership,professional,single_elimination,first_drawn_preference,neutral,neutral,none,round_bye_to_random_team,two_legs,replay,none,two_legs,two_legs,none,none,,,,,none,0,0,0,none,0,none,none,0,none,,,,,,,,,,,,,,,,
1936,1936,Ice Hockey,cup,1,London Cup,single_division,none,,British Ice Hockey Association,British Ice Hockey Association,6,6,0,geography,professional,double_round_robin,home_and_away,none,none,none,none,single_leg,none,none,none,none,none,none,,,,,points,2,1,0,none,0,none,none,0,none,,,,,,,,,,,,,,,,
1936,1936,Ice Hockey,cup,1,Mitchell Trophy,two_rounds,none,,British Ice Hockey Association,British Ice Hockey Association,4,4,0,league_membership,professional,single_elimination,first_drawn_preference,neutral,neutral,none,none,single_leg,replay,none,single_leg,two_legs,none,none,,,,,none,0,0,0,none,0,none,none,0,none,,,,,,,,,,,,,,,,
1936,1936,Ice Hockey,cup,1,President's Pucks,three_rounds,none,,British Ice Hockey Association,British Ice Hockey Association,5,5,0,league_membership,professional,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_random_team,single_leg,replay,none,single_leg,two_legs,none,none,,,,,none,0,0,0,none,0,none,none,0,none,,,,,,,,,,,,,,,,
1937,1937,Ice Hockey,league,1,English National League,single_division,none,,British Ice Hockey Association,British Ice Hockey Association,7,7,0,geography,professional,quadruple_round_robin,home_and_away,none,none,none,none,single_leg,none,none,none,none,none,none,,,,,points,2,1,0,none,0,none,none,0,none,,,,,,,,,,,,,,,,
1937,1937,Ice Hockey,cup,1,English National Tournament,pool_stage_then_two_rounds,none,,British Ice Hockey Association,British Ice Hockey Association,7,7,0,league_membership,professional,two_groups|quadruple_round_robin|top_two|single_elimination,home_and_away|first_drawn_preference,neutral,neutral,none,none,single_leg,replay,none,two_legs,two_legs,none,none,,,,,points|none,2,1,0,none,0,none,none,0,none,,,,,,,,,,,,,,,,
1937,1937,Ice Hockey,cup,1,London Cup,three_rounds,none,,British Ice Hockey Association,British Ice Hockey Association,8,8,0,geography,professional,single_elimination,first_drawn_preference,neutral,neutral,none,none,two_legs,none,none,two_legs,two_legs,none,none,,,,,points,2,1,0,none,0,none,none,0,none,,,,,,,,,,,,,,,,
1937,1938,Ice Hockey,league,1,Scottish National League,single_division,none,,British Ice Hockey Association,British Ice Hockey Association,6,6,0,geography,professional,quintuple_round_robin,home_and_away_and_first_drawn_preference,none,none,none,none,single_leg,none,none,none,none,none,none,,,,,points,2,1,0,none,0,none,none,0,none,,,,,,,,,,,,,,,,
1937,1938,Ice Hockey,cup,1,Mitchell Trophy,three_rounds,none,,British Ice Hockey Association,British Ice Hockey Association,6,6,0,league_membership,professional,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_random_team,single_leg,replay,none,single_leg,single_leg,none,none,,,,,none,0,0,0,none,0,none,none,0,none,,,,,,,,,,,,,,,,
1937,1937,Ice Hockey,cup,1,President's Pucks,three_rounds,none,,British Ice Hockey Association,British Ice Hockey Association,6,6,0,league_membership,professional,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_random_team,single_leg,replay,none,single_leg,two_legs,none,none,,,,,none,0,0,0,none,0,none,none,0,none,,,,,,,,,,,,,,,,
1938,1938,Ice Hockey,cup,1,London Cup,single_division,none,,British Ice Hockey Association,British Ice Hockey Association,7,7,0,geography,professional,double_round_robin,home_and_away,none,none,none,none,single_leg,none,none,none,none,none,none,,,,,points,2,1,0,none,0,none,none,0,none,,,,,,,,,,,,,,,,
1938,1938,Ice Hockey,league,1,English National League,single_division,none,,British Ice Hockey Association,British Ice Hockey Association,6,6,0,geography,professional,sextuple_round_robin,home_and_away,none,none,none,none,single_leg,none,none,none,none,none,none,,,,,points,2,1,0,none,0,none,none,0,none,,,,,,,,,,,,,,,,
1938,1938,Ice Hockey,cup,1,President's Pucks,three_rounds,none,,British Ice Hockey Association,British Ice Hockey Association,6,6,0,league_membership,professional,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_random_team,single_leg,replay,none,single_leg,single_leg,none,none,,,,,none,0,0,0,none,0,none,none,0,none,,,,,,,,,,,,,,,,
1939,1939,Ice Hockey,league,1,English National League,single_division,none,,British Ice Hockey Association,British Ice Hockey Association,5,5,0,geography,professional,sextuple_round_robin,home_and_away,none,none,none,none,single_leg,none,none,none,none,none,none,,,,,points,2,1,0,none,0,none,none,0,none,,,,,,,,,,,,,,,,
