word,frequency
ploughman,446
council,444
drover,443
ganger,443
ware,440
u,440
upholsterer,438
jeweller,437
flesher,437
presbyterian,436
hawker,436
by,435
preparer,434
union,433
sorter,431
sorting,427
smiths,423
watchman,421
sea,420
read,419
mechanical,419
tailors,415
rate,414
member,412
market,411
vanman,411
hackney,410
auctioneer,410
baby,408
town,407
midwife,407
sprigger,407
leather,407
chief,406
time,403
carpenters,403
stock,403
revenue,402
poor,401
university,401
schooler,400
survey,399
annuities,398
taylor,397
navvy,395
dyer,394
bottle,393
schoolboy,392
waver,392
bag,391
wash,391
night,390
infantry,389
plate,389
county,383
publicans,378
sexton,378
beggar,377
artillery,376
manageress,374
wholesale,374
serv,372
jute,371
vest,369
assurance,362
major,361
petty,360
children,360
cannot,359
footman,358
dept,355
pawnbroker,353
dressmaking,352
agric,350
brush,349
district,348
writer,348
warder,347
presentation,344
bookkeeper,343
engin,343
gentlewoman,340
trained,340
bacon,338
dye,338
electrical,337
rector,336
building,336
pilot,335
farrier,334
mate,332
printing,332
prison,332
landed,330
embroidery,330
clothes,328
rent,322
kitchenmaid,319
etc,319
oiler,317
policeman,316
court,316
nursery,315
mercantile,315
medicine,315
soldiers,314
embroider,314
hall,313
regt,311
beetler,311
above,309
stocking,309
butchers,308
pawn,307
vice,306
shorthand,304
saw,303
dairymaid,302
cab,301
architect,301
goods,301
sch,300
tenant,299
shirtmaker,299
superintendent,297
pauper,297
mills,296
marker,295
poulterer,294
draperess,294
assists,294
ships,294
needle,293
clothing,292
labours,292
carriage,291
vendor,291
electrician,291
collier,290
poultry,289
boots,289
harbour,289
boilermaker,289
seed,287
brewers,287
bundler,286
examiner,284
customs,284
chimney,283
instruction,283
engineers,283
agents,280
platelayer,280
door,280
sessions,278
city,278
bakery,277
masons,275
shool,275
journeyman,271
schoolmaster,269
farms,267
companion,267
mantle,267
graduate,264
keepers,263
decorator,262
list,261
inland,260
preparing,260
e,259
estate,258
hold,257
lacemaker,254
practising,253
electric,251
clothier,250
pharmaceutical,249
methodist,249
twister,248
muslin,248
tramp,248
weaving,247
engineering,247
confectionery,246
colonel,246
hosiery,245
newspaper,245
workman,244
tramway,244
millwright,243
relieving,241
glass,241
english,240
platers,238
company,236
strike,236
chemical,234
staff,234
bottler,233
an,233
shoer,233
makers,233
able,232
surface,232
late,231
miles,231
trader,231
sisters,231
theology,229
signal,229
nursing,228
art,228
postal,228
community,228
unknown,227
her,227
pension,227
light,226
department,226
organist,226
stores,225
convent,225
smother,224
as,223
belfast,222
pipe,222
k,222
telephone,222
pattern,221
father,221
billiard,221
vegetable,220
bailiff,220
white,220
with,219
soap,219
dentist,218
chemists,218
caulker,217
heard,216
writing,216
com,216
principal,214
retd,213
rly,213
checker,212
active,212
sweep,210
mothers,210
veterinary,210
bookbinder,209
printers,208
prostitute,208
warp,207
monger,207
designer,206
workmistress,206
carpet,206
ornamenter,204
hackle,204
nuns,204
smyth,204
roomkeeper,203
lodge,202
professional,202
ore,201
silk,201
militia,200
carver,198
ordinary,197
tender,197
superannuated,197
grazier,195
copper,195
operative,194
seller,193
frame,192
mail,192
lithographic,192
ch,192
millinery,191
half,191
education,191
closer,190
schools,188
banker,188
china,188
sons,186
restaurant,186
hackler,186
trimmer,185
breaker,184
coy,184
blacksmiths,184
foot,183
assistants,183
director,183
reserve,183
stewart,182
net,181
sr,181
all,181
storeman,180
club,180
charge,179
fruiterer,179
stationary,178
keeps,178
stableman,178
canal,178
lighter,177
barrack,177
tweed,177
repairer,177
bobbin,175
tow,175
operator,175
grain,174
draughtsman,174
stationers,173
case,173
twine,173
christian,173
jarvey,173
oil,172
up,171
plaster,171
line,171
outdoor,171
wire,171
sanitary,170
lock,169
poster,168
schoolmistress,168
good,167
proprietress,167
vagrant,167
drayman,166
second,166
factor,165
fitters,165
quarryman,165
lime,164
invalid,163
ruler,162
plough,161
salt,161
street,161
excise,161
forewoman,161
schoolgirl,160
government,159
stonemason,159
supported,159
calling,159
non,159
clk,158
infants,158
dividend,158
card,158
lands,157
litho,157
brewer,156
daily,155
thatcher,155
jockey,154
malt,154
penitent,153
sweeper,153
division,153
receiving,153
manufacture,153
shares,153
heater,152
brushmaker,152
nill,151
delph,151
employee,150
