occupation,count,corrected_occupation,change_category,unknown_words,suggested_occupation
Agrl Labours,1,Agrl Labours,UNCHANGED,Agrl,Agre Labours
Agrl Labours Son,1,Agrl Labours Son,UNCHANGED,Agrl,Agre Labours Son
Agrl Labr Daughter,1,Agrl Labr Daughter,UNCHANGED,Agrl; Labr,Agre Laur Daughter
Agrl Labr's Daugter,1,Agrl Labr's Daugter,UNCHANGED,Agrl; Labr's; Daugter,Agre Laur's Daughter
Agrl Laburer,1,Agrl Laburer,UNCHANGED,Agrl; Laburer,Agre Labourer
Agrl Lbrr,1,Agrl Lbrr,UNCHANGED,Agrl; Lbrr,Agre Brr
Agrl Lobourer,1,Agrl Lobourer,UNCHANGED,Agrl; Lobourer,Agre Labourer
Agrl Scholar,1,Agrl Scholar,UNCHANGED,Agrl,Agre Scholar
Agrl Servant Domestic,1,Agrl Domestic Servant,WORD_ORDER,Agrl,Agre Domestic Servant
Agrl Shepherd,1,Agrl Shepherd,UNCHANGED,Agrl,Agre Shepherd
Agrl. Farm Labourer,1,Agrl. Farm Labourer,UNCHANGED,Agrl,Agre. Farm Labourer
Agrl. Labour,1,Agrl. Labour,UNCHANGED,Agrl,Agre. Labour
Agrl. Labour Unemployed,1,Agrl. Labour Unemployed,UNCHANGED,Agrl,Agre. Labour Unemployed
Agrl. Lauberer,1,Agrl. Lauberer,UNCHANGED,Agrl; Lauberer,Agre. Larderer
Agrl. Out-Worker (Fields),1,Agrl. Out Worker Fields,NORMALIZATION,Agrl,Agre. Out Worker Fields
Agrl. Servant,1,Agrl. Servant,UNCHANGED,Agrl,Agre. Servant
Agrl.Labourer,1,Agrl.Labourer,UNCHANGED,Agrl.Labourer,Agrl.Labourer
Agrlc Labourer,1,Agrlc Labourer,UNCHANGED,Agrlc,Agric Labourer
Agrle Labourer,1,Agrle Labourer,UNCHANGED,Agrle,Argle Labourer
Agrli Labourer,1,Agrli Labourer,UNCHANGED,Agrli,Acerli Labourer
Agrlir Labourer,1,Agrlir Labourer,UNCHANGED,Agrlir,Agreer Labourer
Agrlr Labourer,1,Agrlr Labourer,UNCHANGED,Agrlr,Arr Labourer
Agrlrl Labourer,1,Agrlrl Labourer,UNCHANGED,Agrlrl,Agral Labourer
Agrls. Labourer,1,Agrls. Labourer,UNCHANGED,Agrls,Curls. Labourer
Agrlture Labourer,1,Agrlture Labourer,UNCHANGED,Agrlture,Alture Labourer
Agrriculturist,1,Agrriculturist,UNCHANGED,Agrriculturist,Agriculturist
Agrricutral Labourer,1,Agrricutral Labourer,UNCHANGED,Agrricutral,Agrricutral Labourer
Agrtl Labourer's Daugt,1,Agrtl Labourer's Daugt,UNCHANGED,Agrtl; Daugt,Agral Labourer's Dault
Agrtl Labourer's Son,1,Agrtl Labourer's Son,UNCHANGED,Agrtl,Agral Labourer's Son
Agrtlu Labour,1,Agrtlu Labour,UNCHANGED,Agrtlu,Agrilus Labour
Agrtur Labourer,1,Agrtur Labourer,UNCHANGED,Agrtur,Astur Labourer
Agrucl Labourer,1,Agrucl Labourer,UNCHANGED,Agrucl,Agruif Labourer
Agrucl Labouror,1,Agrucl Labouror,UNCHANGED,Agrucl; Labouror,Agruif Labourer
Agrucultire Labourers,1,Agrucultire Labourers,UNCHANGED,Agrucultire,Agriculture Labourers
Agrucultr Labourer,1,Agrucultr Labourer,UNCHANGED,Agrucultr,Agricultor Labourer
Agruculturel Labourer,1,Agruculturel Labourer,UNCHANGED,Agruculturel,Agricultural Labourer
Agruculturual Lab.,1,Agruculturual Lab.,UNCHANGED,Agruculturual,Agricultural Lab.
Agrucuter Shepherd,1,Agrucuter Shepherd,UNCHANGED,Agrucuter,Agrucuter Shepherd
Agrul. Bank of Ireland,1,Agrul. Bank of Ireland,UNCHANGED,Agrul,Agral. Bank of Ireland
Agrulacultra Laberour,1,Agrulacultra Laberour,UNCHANGED,Agrulacultra; Laberour,Agrulacultra Labour
Agrulacultra Laberour Wife,1,Agrulacultra Laberour Wife,UNCHANGED,Agrulacultra; Laberour,Agrulacultra Labour Wife
Agruljar Labourer,1,Agruljar Labourer,UNCHANGED,Agruljar,Agruljar Labourer
Agrultrl Labourer,1,Agrultrl Labourer,UNCHANGED,Agrultrl,Agrultrl Labourer
Agrultural Labourer,1,Agrultural Labourer,UNCHANGED,Agrultural,Accultural Labourer
Agrulture Leabour,1,Agrulture Leabour,UNCHANGED,Agrulture; Leabour,Agriculture Labour
Agtl Servant,1,Agtl Servant,UNCHANGED,Agtl,Agt Servant
Agtl. Labourer.,1,Agtl. Labourer.,UNCHANGED,Agtl,Agt. Labourer.
Agtulcur Lab,1,Agtulcur Lab,UNCHANGED,Agtulcur,Agtulcur Lab
Agtural Labrour,1,Agtural Labrour,UNCHANGED,Agtural; Labrour,Arthral Labour
Agu Labour,1,Agu Labour,UNCHANGED,Agu,Aga Labour
Agu Labourer,1,Agu Labourer,UNCHANGED,Agu,Aga Labourer
Agu. Labourer,1,Agu. Labourer,UNCHANGED,Agu,Aga. Labourer
Agucl Labourer,1,Agucl Labourer,UNCHANGED,Agucl,Agal Labourer
Agul Post Man,1,Agul Post Man,UNCHANGED,Agul,Agal Post Man
Agul. Labourer,1,Agul. Labourer,UNCHANGED,Agul,Agal. Labourer
Agulcture Labour,1,Agulcture Labour,UNCHANGED,Agulcture,Agulcture Labour
Agur Laboure,1,Agur Laboure,UNCHANGED,Agur; Laboure,Agar Labourer
Agural Labourer,1,Agural Labourer,UNCHANGED,Agural,Agura Labourer
Agurcultural Labourer,1,Agurcultural Labourer,UNCHANGED,Agurcultural,Aquacultural Labourer
Agurculure Labor,1,Agurculure Labour,AMERICAN_SPELLING,Agurculure,Agurculure Labour
Agurical Labourer,1,Agurical Labourer,UNCHANGED,Agurical,Aurigal Labourer
Aguricltarl Labour,1,Aguricltarl Labour,UNCHANGED,Aguricltarl,Aguricltarl Labour
Aguricultarl Labour,1,Aguricultarl Labour,UNCHANGED,Aguricultarl,Aguricultarl Labour
Aguricultarl Labourer,1,Aguricultarl Labourer,UNCHANGED,Aguricultarl,Aguricultarl Labourer
Aguriculturel Labourer,1,Aguriculturel Labourer,UNCHANGED,Aguriculturel,Agricultural Labourer
Aguriculural Labourer,1,Aguriculural Labourer,UNCHANGED,Aguriculural,Agricultural Labourer
Aguricuturel Labourer,1,Aguricuturel Labourer,UNCHANGED,Aguricuturel,Aguricuturel Labourer
Agurl Labourer,1,Agurl Labourer,UNCHANGED,Agurl,Agura Labourer
Agustin Baem Trade,1,Agustin Baem Trade,UNCHANGED,Agustin; Baem,Augustin Balm Trade
Air and Color Merchant,1,Air and Color Merchant,UNCHANGED,Color,Air and Conor Merchant
Airated Water Manufr,1,Airated Water Manufr,UNCHANGED,Airated; Manufr,Aurated Water Manuf
Aisstant,1,Aisstant,UNCHANGED,Aisstant,Instant
Akf-Folder,1,Akf Folder,NORMALIZATION,Akf,Kaf Folder
Al Bth Coast Guard,1,Al Bth Coast Guard,UNCHANGED,Bth,Al Both Coast Guard
Alasterer,1,Alasterer,UNCHANGED,Alasterer,Plasterer
Albending School,1,Albending School,UNCHANGED,Albending,Unbending School
Aldarnan Durham Co Cunningham Agent Durham Minerals Corporation,1,Aldarnan Durham Co Cunningham Agent Durham Minerals Corporation,UNCHANGED,Aldarnan; Cunningham,Alderman Durham Co Cunninghamia Agent Durham Minerals Corporation
Alderman of Waterford Corporation Draper,1,Alderman of Waterford Corporation Draper,UNCHANGED,Waterford,Alderman of Waterworm Corporation Draper
Alderman. J.P. Pawnbroker,1,Alderman. J.P. Pawnbroker,UNCHANGED,J.P,Alderman. Jap. Pawnbroker
"Aldermans, Master Baker",1,"Aldermans, Master Baker",UNCHANGED,Aldermans,"Alderman, Master Baker"
alig School,1,alig School,UNCHANGED,alig,Alif School
All?rice Gosls,1,All?rice Gosls,UNCHANGED,All?rice; Gosls,allice Gools
Allawance from Son,1,Allawance from Son,UNCHANGED,Allawance,Allowance from Son
Allomerp Clerke,1,Allomerp Clerke,UNCHANGED,Allomerp; Clerke,Allomorph Clerked
Allowanc from Sister,1,Allowanc from Sister,UNCHANGED,Allowanc,Allowance from Sister
Allowanc from Son,1,Allowanc from Son,UNCHANGED,Allowanc,Allowance from Son
Allowance From Belfast Konall Mission,1,Allowance From Belfast Konall Mission,UNCHANGED,Konall,Allowance From Belfast Konak Mission
Allowance from Gran Daughter,1,Allowance from Gran Daughter,UNCHANGED,Gran,Allowance from Tran Daughter
Allowave from Husband Who is at the War,1,Allowave from Husband Who is at the War,UNCHANGED,Allowave,Allocate from Husband Who is at the War
Allowce from Poor Law Union,1,Allowce from Poor Law Union,UNCHANGED,Allowce,Allowance from Poor Law Union
Allowence from Husband,1,Allowence from Husband,UNCHANGED,Allowence,Allowance from Husband
Alpholister,1,Alpholister,UNCHANGED,Alpholister,Alpholister
Amature Artist,1,Amature Artist,UNCHANGED,Amature,Armature Artist
Amature Photographer,1,Amature Photographer,UNCHANGED,Amature,Armature Photographer
Ambulary Postman,1,Ambulary Postman,UNCHANGED,Ambulary,Tabulary Postman
American Army Pensioner 4th Bgd Royal Artillery,1,American Army Pensioner 4th Bgd Royal Artillery,UNCHANGED,4th; Bgd,American Army Pensioner Fth Bad Royal Artillery
American Army Pensoner,1,American Army Pensoner,UNCHANGED,Pensoner,American Army Pensioner
American Army Pentioner,1,American Army Pentioner,UNCHANGED,Pentioner,American Army Pensioner
Amr,1,Amr,UNCHANGED,Amr,Amt
Amry Pensioner 2/1 Foot Regiment Rank Private,1,Amry Pensioner 2/1 Foot Regiment Rank Private,UNCHANGED,Amry,Ary Pensioner 2/1 Foot Regiment Rank Private
Amton House Keeper,1,Amton Housekeeper,COMPOUND_KEEPER,Amton,Ambon Housekeeper
Amunity,1,Amunity,UNCHANGED,Amunity,Munity
Amy Pensioner in a Biscut Factory,1,Amy Pensioner in a Biscut Factory,UNCHANGED,Biscut,Amy Pensioner in a Biscuit Factory
Amy Scriptine Reader,1,Amy Scriptine Reader,UNCHANGED,Scriptine,Amy Scripting Reader
An Appartment N. Banks,1,An Appartment N. Banks,UNCHANGED,Appartment,An Apartment N. Banks
An Apperntic Carpenter,1,An Apperntic Carpenter,UNCHANGED,Apperntic,An Apprentice Carpenter
An Apprantice Brass Finisher,1,An Apprantice Brass Finisher,UNCHANGED,Apprantice,An Apprentice Brass Finisher
An Aprentice,1,An Aprentice,UNCHANGED,Aprentice,An Appentice
An Asistant,1,An Asistant,UNCHANGED,Asistant,An Assistant
An Assistane in Shop,1,An Assistane in Shop,UNCHANGED,Assistane,An Assistance in Shop
An Assistant Knox Creaman,1,An Assistant Knox Creaman,UNCHANGED,Creaman,An Assistant Knox Crewman
An Asylum Attendent,1,An Asylum Attendent,UNCHANGED,Attendent,An Asylum Attendant
An Henerent Person,1,An Henerent Person,UNCHANGED,Henerent,An Deferent Person
An Invaild,1,An Invaild,UNCHANGED,Invaild,An Invalid
An Iron Moudler,1,An Iron Moudler,UNCHANGED,Moudler,An Iron Moutler
An R.I.C. Constable's Wife,1,An R.I.C. Constable's Wife,UNCHANGED,R.I.C,An Ric. Constable's Wife
An Solicitors General Clerk Rw,1,An Solicitors General Clerk Rw,UNCHANGED,Rw,An Solicitors General Clerk Fw
Analyst and Technical Chemist F.I.C.,1,Analyst and Technical Chemist F.I.C.,UNCHANGED,F.I.C,Analyst and Technical Chemist Fisc.
Analytical Chemist B.Sc. Durham,1,Analytical Chemist B.Sc. Durham,UNCHANGED,B.Sc,Analytical Chemist Bosc. Durham
Analyticial Chemist,1,Analyticial Chemist,UNCHANGED,Analyticial,Analytical Chemist
Anaprentis to P Maker,1,Anaprentis to P Maker,UNCHANGED,Anaprentis,Anaprentis to P Maker
Anaprintaer,1,Anaprintaer,UNCHANGED,Anaprintaer,Anaprintaer
Anathecury Chemist,1,Anathecury Chemist,UNCHANGED,Anathecury,Anathecury Chemist
Anctioneer,1,Anctioneer,UNCHANGED,Anctioneer,Unctioneer
Andytrical Chemist,1,Andytrical Chemist,UNCHANGED,Andytrical,Andytrical Chemist
Anegulture,1,Anegulture,UNCHANGED,Anegulture,Anaculture
Anending School,1,Anending School,UNCHANGED,Anending,Unending School
Anendy,1,Anendy,UNCHANGED,Anendy,Anend
Aniunity,1,Aniunity,UNCHANGED,Aniunity,Annuity
Annaities,1,Annaities,UNCHANGED,Annaities,Annuities
Annie Attinding Instruction,1,Annie Attinding Instruction,UNCHANGED,Attinding,Annie Attending Instruction
Anninties,1,Anninties,UNCHANGED,Anninties,Anxieties
Anninty Shipping Company,1,Anninty Shipping Company,UNCHANGED,Anninty,Annuity Shipping Company
Anninuities,1,Anninuities,UNCHANGED,Anninuities,Antiquities
Annitie,1,Annitie,UNCHANGED,Annitie,Annite
Anniutant and Farmer,1,Anniutant and Farmer,UNCHANGED,Anniutant,Annuitant and Farmer
Anniutants,1,Anniutants,UNCHANGED,Anniutants,Annuitants
Annnuities,1,Annnuities,UNCHANGED,Annnuities,Annuities
Annprintes,1,Annprintes,UNCHANGED,Annprintes,Annprintes
Annstitcher in Wareroom,1,Annstitcher in Wareroom,UNCHANGED,Annstitcher,Annstitcher in Wareroom
Annty,1,Annty,UNCHANGED,Annty,Annoy
Annual Income Dividents,1,Annual Income Dividents,UNCHANGED,Dividents,Annual Income Divident
Annualint,1,Annualint,UNCHANGED,Annualint,Annualist
Annualy From House Property,1,Annualy From House Property,UNCHANGED,Annualy,Annually From House Property
Annuantence,1,Annuantence,UNCHANGED,Annuantence,Annuantence
Annuatent,1,Annuatent,UNCHANGED,Annuatent,Annulment
Annuetant,1,Annuetant,UNCHANGED,Annuetant,Annuitant
Annueties,1,Annueties,UNCHANGED,Annueties,Annuities
Annuety,1,Annuety,UNCHANGED,Annuety,Annuity
Annuint,1,Annuint,UNCHANGED,Annuint,Annuent
Annuistant,1,Annuistant,UNCHANGED,Annuistant,Annuitant
Annuit None,1,Annuit None,UNCHANGED,Annuit,Innuit None
Annuitant and Director of Ltd Company,1,Annuitant and Director of Ltd Company,UNCHANGED,Ltd,Annuitant and Director of Lhd Company
Annuitant From Villines ? House,1,Annuitant From Villines ? House,UNCHANGED,Villines,Annuitant From Millines ? House
Annuitant R.I.C,1,Annuitant R.I.C,UNCHANGED,R.I.C,Annuitant Ric
Annuitant R.I.C.,1,Annuitant R.I.C.,UNCHANGED,R.I.C,Annuitant Ric.
Annuitant Retired from R. I. Consty,1,Annuitant Retired from R. I. Consty,UNCHANGED,Consty,Annuitant Retired from R. I. Const
Annuitate from Dividends,1,Annuitate from Dividends,UNCHANGED,Annuitate,Annullate from Dividends
Annuite and Dividends,1,Annuite and Dividends,UNCHANGED,Annuite,Annite and Dividends
Annuite Mistress of House,1,Annuite Mistress of House,UNCHANGED,Annuite,Annite Mistress of House
Annuitees Nil,1,Annuitees Nil,UNCHANGED,Annuitees,Annuities Nil
Annuitery,1,Annuitery,UNCHANGED,Annuitery,Annuity
Annuitess,1,Annuitess,UNCHANGED,Annuitess,Annuities
Annuitest,1,Annuitest,UNCHANGED,Annuitest,Annuitant
Annuitiant None,1,Annuitiant None,UNCHANGED,Annuitiant,Annuitant None
Annuitie and House Property,1,Annuitie and House Property,UNCHANGED,Annuitie,Annuities and House Property
Annuitie Dividends,1,Annuitie Dividends,UNCHANGED,Annuitie,Annuities Dividends
Annuitie from Land,1,Annuitie from Land,UNCHANGED,Annuitie,Annuities from Land
Annuitie Gentlewoman,1,Annuitie Gentlewoman,UNCHANGED,Annuitie,Annuities Gentlewoman
Annuitie Out of Farm,1,Annuitie Out of Farm,UNCHANGED,Annuitie,Annuities Out of Farm
Annuitis,1,Annuitis,UNCHANGED,Annuitis,Annuities
Annuitites,1,Annuitites,UNCHANGED,Annuitites,Annuities
Annuittant,1,Annuittant,UNCHANGED,Annuittant,Annuitant
Annuity and Intrest of Money,1,Annuity and Intrest of Money,UNCHANGED,Intrest,Annuity and Intreat of Money
Annuity Clergymans Widow ? House Furnished,1,Annuity Clergymans Widow ? House Furnished,UNCHANGED,Clergymans,Annuity Clergyman Widow ? House Furnished
Annuity Consels,1,Annuity Consels,UNCHANGED,Consels,Annuity Consols
Annuity Derived from Houseproperty,1,Annuity Derived from Houseproperty,UNCHANGED,Houseproperty,Annuity Derived from Houseproperty
Annuity Derived from Housproperty,1,Annuity Derived from Housproperty,UNCHANGED,Housproperty,Annuity Derived from Housproperty
Annuity Derived from Land alos Railway Shores,1,Annuity Derived from Land alos Railway Shores,UNCHANGED,alos,Annuity Derived from Land Alps Railway Shores
Annuity Devidends,1,Annuity Devidends,UNCHANGED,Devidends,Annuity Dividends
Annuity Divideents,1,Annuity Divideents,UNCHANGED,Divideents,Annuity Divident
Annuity Eilnor,1,Annuity Eilnor,UNCHANGED,Eilnor,Annuity Elinor
Annuity from House Property and Sheils Institution Stillorgan,1,Annuity from House Property and Sheils Institution Stillorgan,UNCHANGED,Sheils; Stillorgan,Annuity from House Property and Sheols Institution Stillorgan
Annuity from House Protperty,1,Annuity from House Protperty,UNCHANGED,Protperty,Annuity from House Property
Annuity From R.I.C.,1,Annuity From R.I.C.,UNCHANGED,R.I.C,Annuity From Ric.
Annuity Fuet Ceuace,1,Annuity Fuet Ceuace,UNCHANGED,Fuet; Ceuace,Annuity Fute Deuce
Annuity Income Derived Devidents,1,Annuity Income Derived Devidents,UNCHANGED,Devidents,Annuity Income Derived Deviants
Annuity Independant,1,Annuity Independant,UNCHANGED,Independant,Annuity Independent
Annuity Irone Woolen Factory,1,Annuity Irone Woolen Factory,UNCHANGED,Woolen,Annuity Irone Coolen Factory
Annuity of ? 26 per ann derrived from Land,1,Annuity of ? 26 per ann derrived from Land,UNCHANGED,derrived,Annuity of ? 26 per ann Derived from Land
Annuity R.I.C. Fund,1,Annuity R.I.C. Fund,UNCHANGED,R.I.C,Annuity Ric. Fund
Annuitys,1,Annuitys,UNCHANGED,Annuitys,Annuity
Annulties,1,Annulties,UNCHANGED,Annulties,Annuities
Annunitent,1,Annunitent,UNCHANGED,Annunitent,Annuitant
Annunities,1,Annunities,UNCHANGED,Annunities,Annuities
Annunity,1,Annunity,UNCHANGED,Annunity,Annuity
Annutant No Profession,1,Annutant No Profession,UNCHANGED,Annutant,Annuitant No Profession
Annuter,1,Annuter,UNCHANGED,Annuter,Annuler
Annutiant,1,Annutiant,UNCHANGED,Annutiant,Annuitant
Annutient and Emplou of Kynoch Lt,1,Annutient and Emplou of Kynoch Lt,UNCHANGED,Annutient; Emplou; Kynoch,Annulment and Employ of Knock Lt
Annutier,1,Annutier,UNCHANGED,Annutier,Annuler
Annuties and Dividends,1,Annuties and Dividends,UNCHANGED,Annuties,Annuities and Dividends
Annuties from Land,1,Annuties from Land,UNCHANGED,Annuties,Annuities from Land
Annuties from Lands,1,Annuties from Lands,UNCHANGED,Annuties,Annuities from Lands
Annuties None,1,Annuties None,UNCHANGED,Annuties,Annuities None
Annuty (Pargators),1,Annuty Pargators,NORMALIZATION,Annuty; Pargators,Annuity Barrators
Annuty and Land,1,Annuty and Land,UNCHANGED,Annuty,Annuity and Land
Anot a School,1,Anot a School,UNCHANGED,Anot,Not a School
Anprentice,1,Anprentice,UNCHANGED,Anprentice,Apprentice
Anrecultural Labourer,1,Anrecultural Labourer,UNCHANGED,Anrecultural,Precultural Labourer
Anstioneer,1,Anstioneer,UNCHANGED,Anstioneer,Mansioneer
Antioner,1,Antioner,UNCHANGED,Antioner,Actioner
Antist,1,Antist,UNCHANGED,Antist,Kantist
Anuety,1,Anuety,UNCHANGED,Anuety,Anlet
Anuiety,1,Anuiety,UNCHANGED,Anuiety,Anxiety
Anuity No Occupation,1,Anuity No Occupation,UNCHANGED,Anuity,Acuity No Occupation
Anutyant,1,Anutyant,UNCHANGED,Anutyant,Nutant
Anything Impornt,1,Anything Impornt,UNCHANGED,Impornt,Anything Import
Ap Machenick,1,Ap Machenick,UNCHANGED,Machenick,Ap Machenick
Ap Rivvetter,1,Ap Rivvetter,UNCHANGED,Rivvetter,Ap Riveter
Ap Spibheal and Maker,1,Ap Spibheal and Maker,UNCHANGED,Spibheal,Ap Spibheal and Maker
Ap. Gasfetter,1,Ap. Gasfetter,UNCHANGED,Gasfetter,Ap. Garnetter
Apce Carpenter,1,Apce Carpenter,UNCHANGED,Apce,Acce Carpenter
Apen Carpe,1,Apen Carpe,UNCHANGED,Apen,Aper Carpe
Apentes Plater,1,Apentes Plater,UNCHANGED,Apentes,Agenes Plater
Apentice Draper,1,Apentice Draper,UNCHANGED,Apentice,Pentice Draper
Apentice Fitter,1,Apentice Fitter,UNCHANGED,Apentice,Pentice Fitter
Apentice Stone Mason,1,Apentice Stone Mason,UNCHANGED,Apentice,Pentice Stone Mason
Aperentice Cutter in Factory,1,Aperentice Cutter in Factory,UNCHANGED,Aperentice,Apprentice Cutter in Factory
Aperinties Boat B,1,Aperinties Boat B,UNCHANGED,Aperinties,Aperitifs Boat B
Apets Blacksmith,1,Apets Blacksmith,UNCHANGED,Apets,Abets Blacksmith
Apholsterer,1,Apholsterer,UNCHANGED,Apholsterer,Upholsterer
Apintice Carpenter,1,Apintice Carpenter,UNCHANGED,Apintice,Pentice Carpenter
Apitontion Father's Shop,1,Apitontion Father's Shop,UNCHANGED,Apitontion,Epitonion Father's Shop
Aplate Layer G N R I,1,Aplate Layer G N R I,UNCHANGED,Aplate,Palate Layer G N R I
Aplioloters,1,Aplioloters,UNCHANGED,Aplioloters,Aplioloters
Apolstress,1,Apolstress,UNCHANGED,Apolstress,Upholstress
Apoon Stitcher,1,Apoon Stitcher,UNCHANGED,Apoon,Spoon Stitcher
Apoth? Apprentice,1,Apoth? Apprentice,UNCHANGED,Apoth,Azoth? Apprentice
Apothccary Assistant,1,Apothccary Assistant,UNCHANGED,Apothccary,Apothecary Assistant
Apothecards Apprentice,1,Apothecards Apprentice,UNCHANGED,Apothecards,Apothecary Apprentice
Apothecarie,1,Apothecarie,UNCHANGED,Apothecarie,Apothecaries
Apothecary Apothecaras Hall Dublin,1,Apothecary Apothecaras Hall Dublin,UNCHANGED,Apothecaras,Apothecary Apothecary Hall Dublin
Apothecary Dublin Physician and Surgion,1,Apothecary Dublin Physician and Surgion,UNCHANGED,Surgion,Apothecary Dublin Physician and Surgeon
Apothecary Licentiate Apothiconies Hall Ireland,1,Apothecary Licentiate Apothiconies Hall Ireland,UNCHANGED,Apothiconies,Apothecary Licentiate Apothiconies Hall Ireland
Apothecary Not Practcing,1,Apothecary Not Practcing,UNCHANGED,Practcing,Apothecary Not Proacting
Apothecarys Assistant,1,Apothecarys Assistant,UNCHANGED,Apothecarys,Apothecary Assistant
Apothecasep assistant unemployed,1,Apothecasep assistant unemployed,UNCHANGED,Apothecasep,Apothecasep assistant unemployed
Apothecasy,1,Apothecasy,UNCHANGED,Apothecasy,Apothecary
Apothecay Student of Medical,1,Apothecay Student of Medical,UNCHANGED,Apothecay,Apothecal Student of Medical
Apothecory,1,Apothecory,UNCHANGED,Apothecory,Apothecary
Apotherary's Messenger,1,Apotherary's Messenger,UNCHANGED,Apotherary's,Apothecary's Messenger
Apothesary,1,Apothesary,UNCHANGED,Apothesary,Apothecary
Apothesay and Student of Medicine,1,Apothesay and Student of Medicine,UNCHANGED,Apothesay,Apothecary and Student of Medicine
Apottiecarier Assistant,1,Apottiecarier Assistant,UNCHANGED,Apottiecarier,Apottiecarier Assistant
Apoulsteress,1,Apoulsteress,UNCHANGED,Apoulsteress,Poulteress
App - Wholesale Draprey,1,App Wholesale Draprey,NORMALIZATION,Draprey,App Wholesale Drapery
App Civil Engeneer,1,App Civil Engeneer,UNCHANGED,Engeneer,App Civil Engineer
App Clerk Belfast Ropeworks,1,App Clerk Belfast Ropeworks,UNCHANGED,Ropeworks,App Clerk Belfast Ropework
App Electrition,1,App Electrition,UNCHANGED,Electrition,App Electrization
App Eletrican,1,App Eletrican,UNCHANGED,Eletrican,App Electrican
App Engine Ftr at Works,1,App Engine Ftr at Works,UNCHANGED,Ftr,App Engine Fur at Works
App Flaxdresser,1,App Flaxdresser,UNCHANGED,Flaxdresser,App Flaxdresser
App Iron Molder,1,App Iron Molder,UNCHANGED,Molder,App Iron Bolder
App ironmold,1,App ironmold,UNCHANGED,ironmold,App Ironwood
App Letho Artist,1,App Letho Artist,UNCHANGED,Letho,App Lethy Artist
App Linen Bracamontes,1,App Linen Bracamontes,UNCHANGED,Bracamontes,App Linen Bracamontes
App Pattenmaker,1,App Pattenmaker,UNCHANGED,Pattenmaker,App Patternmaker
App Printing Compe,1,App Printing Compe,UNCHANGED,Compe,App Printing Cope
App Reviter,1,App Reviter,UNCHANGED,Reviter,App Leviter
App Revitter,1,App Revitter,UNCHANGED,Revitter,App Remitter
App Riveteer,1,App Riveteer,UNCHANGED,Riveteer,App Riveter
App Rivetter in Ship Yard,1,App Rivetter in Ship Yard,UNCHANGED,Rivetter,App Riveter in Ship Yard
App Rivetter in Shipyard,1,App Rivetter in Shipyard,UNCHANGED,Rivetter,App Riveter in Shipyard
App Riviteer,1,App Riviteer,UNCHANGED,Riviteer,App Riveter
App Riviter,1,App Riviter,UNCHANGED,Riviter,App Riveter
App Seed Mercht,1,App Seed Mercht,UNCHANGED,Mercht,App Seed Mercat
App Ship Cartenter,1,App Ship Cartenter,UNCHANGED,Cartenter,App Ship Carpenter
App Spg Fitter,1,App Spg Fitter,UNCHANGED,Spg,App Spt Fitter
App to Marbl Trade,1,App to Marbl Trade,UNCHANGED,Marbl,App to Maral Trade
App to Millenery,1,App to Millenery,UNCHANGED,Millenery,App to Millenary
App Vestmaker,1,App Vestmaker,UNCHANGED,Vestmaker,App Feltmaker
"App, Teanter",1,"App, Teanter",UNCHANGED,Teanter,"App, Tranter"
App. Engine Fitter Allowns,1,App. Engine Fitter Allowns,UNCHANGED,Allowns,App. Engine Fitter Allows
App. Linen Manufactr,1,App. Linen Manufactr,UNCHANGED,Manufactr,App. Linen Manufact
App. Linenlapper,1,App. Linenlapper,UNCHANGED,Linenlapper,App. Linenlapper
App. Rivetter Ship Yd,1,App. Rivetter Ship Yd,UNCHANGED,Rivetter,App. Riveter Ship Yd
App.I.Ship-Wright,1,App.I.Ship Wright,NORMALIZATION,App.I.Ship,App.I.Ship Wright
App.Joiner,1,App.Joiner,UNCHANGED,App.Joiner,App.Joiner
Apparantice,1,Apparantice,UNCHANGED,Apparantice,Apparance
Apparatice Examing G P O Civil Servant,1,Apparatice Examing G P O Civil Servant,UNCHANGED,Apparatice; Examing,Apparation Examine G P O Civil Servant
Appc to Watch Maker,1,Appc to Watch Maker,UNCHANGED,Appc,App to Watch Maker
Appce Butcher,1,Appce Butcher,UNCHANGED,Appce,Apple Butcher
Appce Carpenter,1,Appce Carpenter,UNCHANGED,Appce,Apple Carpenter
Appce Draper,1,Appce Draper,UNCHANGED,Appce,Apple Draper
Appce Painter,1,Appce Painter,UNCHANGED,Appce,Apple Painter
Appce Sawyer,1,Appce Sawyer,UNCHANGED,Appce,Apple Sawyer
Appce to Bakery,1,Appce to Bakery,UNCHANGED,Appce,Apple to Bakery
Appce to Milly Drapery,1,Appce to Milly Drapery,UNCHANGED,Appce,Apple to Milly Drapery
Appce. Iron-Turner,1,Appce. Iron Turner,NORMALIZATION,Appce,Apple. Iron Turner
Appe Boilermaker,1,Appe Boilermaker,UNCHANGED,Appe,Rappe Boilermaker
Appe Carpenter,1,Appe Carpenter,UNCHANGED,Appe,Rappe Carpenter
Appe in Thrd Mill,1,Appe in Thrd Mill,UNCHANGED,Appe; Thrd,Rappe in Third Mill
Appe Plater in Ship Yd,1,Appe Plater in Ship Yd,UNCHANGED,Appe,Rappe Plater in Ship Yd
Appe Printer,1,Appe Printer,UNCHANGED,Appe,Rappe Printer
Appe Stoncutter,1,Appe Stoncutter,UNCHANGED,Appe; Stoncutter,Rappe Stonecutter
