occupation,count,corrected_occupation,change_category,unknown_words,suggested_occupation
Victular,64,Victular,UNCHANGED,Victular,Vitular
Cooke,63,Cooke,UNCHANGED,Cooke,Cookee
Farmers Daugter,63,Farmers Daugter,UNCHANGED,Daugter,Farmers Daughter
Weaver Linnen,63,Weaver Linnen,UNCHANGED,Linnen,Weaver Linten
Millar,62,Millar,UNCHANGED,Millar,Milla
Tayloress,62,Tayloress,UNCHANGED,Tayloress,Tailoress
Shep Herd,61,Shep Herd,UNCHANGED,Shep,Shea Herd
Sheperd,60,Sheperd,UNCHANGED,Sheperd,Shepherd
3rd Class Attendant,58,3rd Class Attendant,UNCHANGED,3rd,Rd Class Attendant
Boot Machinest,58,Boot Machinest,UNCHANGED,Machinest,Boot Machinist
Farmers Daughte,58,Farmers Daughte,UNCHANGED,Daughte,Farmers Daughter
Farmersdaughter,57,Farmersdaughter,UNCHANGED,Farmersdaughter,Farmersdaughter
Labourer (Agrl),57,Labourer Agrl,NORMALIZATION,Agrl,Labourer Agre
Licensed Car Driver,57,Licensed Car Driver,UNCHANGED,Licensed,Licenced Car Driver
No Ocupation,57,No Ocupation,UNCHANGED,Ocupation,No Occupation
Const R.I.C,56,Const R.I.C,UNCHANGED,R.I.C,Const Ric
Aglr Labourer,55,Aglr Labourer,UNCHANGED,Aglr,Agly Labourer
General Labr,55,General Labr,UNCHANGED,Labr,General Laur
Intrest of Money,55,Intrest of Money,UNCHANGED,Intrest,Intreat of Money
Farmers Daughtr,53,Farmers Daughtr,UNCHANGED,Daughtr,Farmers Daughter
Genrl Servant Domestic,53,Genrl Domestic Servant,WORD_ORDER,Genrl,Genl Domestic Servant
2nd Class Attendant,52,2nd Class Attendant,UNCHANGED,2nd,Nd Class Attendant
Labourer Genrl,52,Labourer Genrl,UNCHANGED,Genrl,Labourer Genl
Linnen Lapper,52,Linnen Lapper,UNCHANGED,Linnen,Linten Lapper
Farmers Daugt,51,Farmers Daugt,UNCHANGED,Daugt,Farmers Dault
Malster,51,Malster,UNCHANGED,Malster,Maltster
Labourer Agricl,50,Labourer Agricl,UNCHANGED,Agricl,Labourer Agric
Milesman on Railway,50,Milesman on Railway,UNCHANGED,Milesman,Milesian on Railway
Woolen Factory Hand,50,Woolen Factory Hand,UNCHANGED,Woolen,Coolen Factory Hand
Agricultural Labr.,49,Agricultural Labr.,UNCHANGED,Labr,Agricultural Laur.
Sadler,49,Sadler,UNCHANGED,Sadler,Ladler
Teacher N.S.,49,Teacher N.S.,UNCHANGED,N.S,Teacher Ns.
Undergraduate R.U.I.,48,Undergraduate R.U.I.,UNCHANGED,R.U.I,Undergraduate Rauli.
Farmer Daught,47,Farmer Daught,UNCHANGED,Daught,Farmer Aught
Farmering,47,Farmering,UNCHANGED,Farmering,Bartering
Farmers Dauter,47,Farmers Dauter,UNCHANGED,Dauter,Farmers Dauber
Linen Ornamentor,47,Linen Ornamentor,UNCHANGED,Ornamentor,Linen Ornamenter
Agr'l Labourer,46,Agr'l Labourer,UNCHANGED,Agr'l,agral Labourer
Barsmaid,46,Barsmaid,UNCHANGED,Barsmaid,Barmaid
Iron Molder,46,Iron Molder,UNCHANGED,Molder,Iron Bolder
General Svt Domestic,45,General Svt Domestic,UNCHANGED,Svt,General Vt Domestic
Labourer Agricul,45,Labourer Agricul,UNCHANGED,Agricul,Labourer Agricole
Lenen Weaver,45,Lenen Weaver,UNCHANGED,Lenen,Henen Weaver
Parlor Maid,45,Parlor Maid,UNCHANGED,Parlor,Pallor Maid
Blacksmyth,44,Blacksmyth,UNCHANGED,Blacksmyth,Blacksmith
Seampstress,44,Seampstress,UNCHANGED,Seampstress,Sempstress
Farmar,43,Farmar,UNCHANGED,Farmar,Farmer
Farmerss,43,Farmerss,UNCHANGED,Farmerss,Farmeress
Farmour,43,Farmour,UNCHANGED,Farmour,Armour
Fishdealer,43,Fishdealer,UNCHANGED,Fishdealer,Misdealer
Machanic,43,Machanic,UNCHANGED,Machanic,Mechanic
General Sevt Domestic,42,General Sevt Domestic,UNCHANGED,Sevt,General Seve Domestic
Parlourmaid-Domestic Servant,42,Parlourmaid Domestic Servant,NORMALIZATION,Parlourmaid,Parlormaid Domestic Servant
Quary Labourer,42,Quary Labourer,UNCHANGED,Quary,Quart Labourer
Scoler,42,Scoler,UNCHANGED,Scoler,Scoter
Sergeant R.I.C,42,Sergeant R.I.C,UNCHANGED,R.I.C,Sergeant Ric
Farmer's Daugh,41,Farmer's Daugh,UNCHANGED,Daugh,Farmer's Augh
Lauborer,41,Lauborer,UNCHANGED,Lauborer,Taborer
Monitoress,41,Monitoress,UNCHANGED,Monitoress,Monitress
Attending Scool,40,Attending Scool,UNCHANGED,Scool,Attending Snool
Farmer Daugh,40,Farmer Daugh,UNCHANGED,Daugh,Farmer Augh
Labourer Gnl,40,Labourer Gnl,UNCHANGED,Gnl,Labourer Gol
Labr,40,Labr,UNCHANGED,Labr,Laur
Sholor,40,Sholor,UNCHANGED,Sholor,Sholom
2nd Engineer,39,2nd Engineer,UNCHANGED,2nd,Nd Engineer
Domestic Servant Gardner,39,Domestic Servant Gardner,UNCHANGED,Gardner,Domestic Servant Gardener
Farm Laberour,39,Farm Laberour,UNCHANGED,Laberour,Farm Labour
Farm Servan,39,Farm Servan,UNCHANGED,Servan,Farm Serval
Farmers Dauther,39,Farmers Dauther,UNCHANGED,Dauther,Farmers Mauther
Labourer Agricult,39,Labourer Agricult,UNCHANGED,Agricult,Labourer Agricole
Ladys Maid,39,Ladys Maid,UNCHANGED,Ladys,Lades Maid
Frame Maker,38,Framemaker,DICT_LOOKUP,Framemaker,Gravemaker
Wollen Weaver,38,Wollen Weaver,UNCHANGED,Wollen,Wolfen Weaver
Agracultural Labourer,37,Agracultural Labourer,UNCHANGED,Agracultural,Agricultural Labourer
Brigidine Nun,37,Brigidine Nun,UNCHANGED,Brigidine,Brigittine Nun
Carowner,37,Carowner,UNCHANGED,Carowner,Crowner
Commercial Traveler,37,Commercial Traveler,UNCHANGED,Traveler,Commercial Raveler
Farm Labourer Agl,37,Farm Labourer Agl,UNCHANGED,Agl,Farm Labourer Aga
Hacklemaker,37,Hacklemaker,UNCHANGED,Hacklemaker,Hacklemaker
N.S.Teacher,37,N.S.Teacher,UNCHANGED,N.S.Teacher,N.S.Teacher
Parlor Maid Domestic Servant,37,Parlor Maid Domestic Servant,UNCHANGED,Parlor,Pallor Maid Domestic Servant
Pensioner from R.I.C,37,Pensioner from R.I.C,UNCHANGED,R.I.C,Pensioner from Ric
Pichaur,37,Pichaur,UNCHANGED,Pichaur,Cichar
Reller,37,Reller,UNCHANGED,Reller,Feller
Shopassistant,37,Shopassistant,UNCHANGED,Shopassistant,Shopassistant
Hotel Proprietoress,36,Hotel Proprietoress,UNCHANGED,Proprietoress,Hotel Proprietress
Housekepper,36,Housekepper,UNCHANGED,Housekepper,Housekeeper
Mesenger,36,Mesenger,UNCHANGED,Mesenger,Messenger
Gardiner Domestic Servant,35,Gardiner Domestic Servant,UNCHANGED,Gardiner,Lardiner Domestic Servant
Handkerchief Ornamentor,35,Handkerchief Ornamentor,UNCHANGED,Ornamentor,Handkerchief Ornamenter
Harnes Maker,35,Harnes Maker,UNCHANGED,Harnes,Harns Maker
Linnen Finisher,35,Linnen Finisher,UNCHANGED,Linnen,Linten Finisher
