occupation,count,corrected_occupation,change_category,unknown_words,suggested_occupation
Distillarey Labourer,2,Distillarey Labourer,UNCHANGED,Distillarey,Distillery Labourer
Distillry Labourer,2,Distillry Labourer,UNCHANGED,Distillry,Distillery Labourer
Dock Laboure,2,Dock Laboure,UNCHANGED,Laboure,Dock Labourer
Dock Labouror,2,Dock Labouror,UNCHANGED,Labouror,Dock Labourer
Dock Labr,2,Dock Labr,UNCHANGED,Labr,Dock Lab
Dock Laubour,2,Dock Laubour,UNCHANGED,Laubour,Dock Labour
Doemestic Servant,2,Doemestic Servant,UNCHANGED,Doemestic,Domestic Servant
Dofer in Linen Mill,2,Dofer in Linen Mill,UNCHANGED,Dofer,Doffer in Linen Mill
Dofer in Mill,2,Dofer in Mill,UNCHANGED,Dofer,Doffer in Mill
Dofer Mill,2,Dofer Mill,UNCHANGED,Dofer,Doffer Mill
Doffen in Mill,2,Doffen in Mill,UNCHANGED,Doffen,Doffer in Mill
Domesitc Servant,2,Domesitc Servant,UNCHANGED,Domesitc,Domestic Servant
Domestc Work,2,Domestc Work,UNCHANGED,Domestc,Domestic Work
Domestic Coachmaid,2,Domestic Coachmaid,UNCHANGED,Coachmaid,Domestic Coachman
Domestic Genrl Servant,2,Domestic Genrl Servant,UNCHANGED,Genrl,Domestic Genl Servant
Domestic Serant Coachman,2,Domestic Serant Coachman,UNCHANGED,Serant,Domestic Servant Coachman
Domestic Serant Coatchman,2,Domestic Serant Coatchman,UNCHANGED,Serant; Coatchman,Domestic Servant Coachman
Domestic Servant Cochman,2,Domestic Servant Cochman,UNCHANGED,Cochman,Domestic Servant Coachman
Domestic Servant Genrl.,2,Domestic Servant Genrl.,UNCHANGED,Genrl,Domestic Servant Genl.
Domestic Servant Gnl,2,Domestic Servant Gnl,UNCHANGED,Gnl,Domestic Servant Genl
Domestic Servant Landress,2,Domestic Servant Landress,UNCHANGED,Landress,Domestic Servant Laundress
Domestic Serveant Coachman,2,Domestic Serveant Coachman,UNCHANGED,Serveant,Domestic Servant Coachman
Domestic Servent Unemployed,2,Domestic Servent Unemployed,UNCHANGED,Servent,Domestic Servant Unemployed
Domestic Servnat,2,Domestic Servnat,UNCHANGED,Servnat,Domestic Servant
Domestice Servent,2,Domestice Servent,UNCHANGED,Domestice; Servent,Domestic Servant
Domesticl Servant,2,Domesticl Servant,UNCHANGED,Domesticl,Domestic Servant
Domistick Servant,2,Domistick Servant,UNCHANGED,Domistick,Domestic Servant
Domostic Servant,2,Domostic Servant,UNCHANGED,Domostic,Domestic Servant
Donestic Servant,2,Donestic Servant,UNCHANGED,Donestic,Domestic Servant
Doning Nothing,2,Doning Nothing,UNCHANGED,Doning,Doing Nothing
Draper Assisant,2,Draper Assisant,UNCHANGED,Assisant,Draper Assistant
Drapery Apprentace,2,Drapery Apprentace,UNCHANGED,Apprentace,Drapery Apprentice
Drapey Apprentice,2,Drapey Apprentice,UNCHANGED,Drapey,Draper Apprentice
Dreassmaker,2,Dreassmaker,UNCHANGED,Dreassmaker,Dressmaker
Dressmaker Aprentice,2,Dressmaker Aprentice,UNCHANGED,Aprentice,Dressmaker Apprentice
Dressmaker Unimployed,2,Dressmaker Unimployed,UNCHANGED,Unimployed,Dressmaker Unemployed
Droper Assistant,2,Droper Assistant,UNCHANGED,Droper,Draper Assistant
Droper's Assistant,2,Droper's Assistant,UNCHANGED,Droper's,Draper's Assistant
Dropers Messenger,2,Dropers Messenger,UNCHANGED,Dropers,Drapers Messenger
Druggist Aprentice,2,Druggist Aprentice,UNCHANGED,Aprentice,Druggist Apprentice
Earand Boy,2,Earand Boy,UNCHANGED,Earand,Errand Boy
Egine Driver,2,Egine Driver,UNCHANGED,Egine,Engine Driver
Emboiderer,2,Emboiderer,UNCHANGED,Emboiderer,Embroiderer
Embrioderer,2,Embrioderer,UNCHANGED,Embrioderer,Embroiderer
Embrodirer,2,Embrodirer,UNCHANGED,Embrodirer,Embroiderer
Embroideryer,2,Embroideryer,UNCHANGED,Embroideryer,Embroiderer
Engine Drever,2,Engine Drever,UNCHANGED,Drever,Engine Driver
Engine Driver Creamary,2,Engine Driver Creamary,UNCHANGED,Creamary,Engine Driver Creamery
Engine Filter at Works,2,Engine Filter at Works,UNCHANGED,Filter,Engine Fitter at Works
Engine Fiter,2,Engine Fiter,UNCHANGED,Fiter,Engine Fitter
Enginee Fitter,2,Enginee Fitter,UNCHANGED,Enginee,Engine Fitter
Enginer Driver,2,Enginer Driver,UNCHANGED,Enginer,Engine Driver
Enginer Fitter at Works,2,Enginer Fitter at Works,UNCHANGED,Enginer,Engine Fitter at Works
Enging Driver,2,Enging Driver,UNCHANGED,Enging,Engine Driver
Engne Driver,2,Engne Driver,UNCHANGED,Engne,Engine Driver
Envalope Maker,2,Envalope Maker,UNCHANGED,Envalope,Envelope Maker
Ericted Tenant,2,Ericted Tenant,UNCHANGED,Ericted,Evicted Tenant
Factorey Girl,2,Factorey Girl,UNCHANGED,Factorey,Factory Girl
Factory Guirl,2,Factory Guirl,UNCHANGED,Guirl,Factory Girl
Factory Woker,2,Factory Woker,UNCHANGED,Woker,Factory Worker
Factory Workes,2,Factory Workes,UNCHANGED,Workes,Factory Worker
Factoury Worker,2,Factoury Worker,UNCHANGED,Factoury,Factory Worker
Factoy Hand,2,Factoy Hand,UNCHANGED,Factoy,Factory Hand
Factoy Linen Weaver,2,Factoy Linen Weaver,UNCHANGED,Factoy,Factory Linen Weaver
Factroy Hand,2,Factroy Hand,UNCHANGED,Factroy,Factory Hand
Factry Worker,2,Factry Worker,UNCHANGED,Factry,Factory Worker
Factuery Worker,2,Factuery Worker,UNCHANGED,Factuery,Factory Worker
Famrer,2,Famrer,UNCHANGED,Famrer,Farmer
Faram Labourer,2,Faram Labourer,UNCHANGED,Faram,Farm Labourer
Farm Laborerer,2,Farm Laborerer,UNCHANGED,Laborerer,Farm Labourer
Farm Labororer,2,Farm Labororer,UNCHANGED,Labororer,Farm Labourer
Farm Laborrer,2,Farm Laborrer,UNCHANGED,Laborrer,Farm Labourer
Farm Labouar,2,Farm Labouar,UNCHANGED,Labouar,Farm Labour
Farm Labouerer,2,Farm Labouerer,UNCHANGED,Labouerer,Farm Labourer
Farm Laboure Domestic,2,Farm Laboure Domestic,UNCHANGED,Laboure,Farm Labourer Domestic
Farm Labourerer,2,Farm Labourerer,UNCHANGED,Labourerer,Farm Labourer
Farm Labourrer,2,Farm Labourrer,UNCHANGED,Labourrer,Farm Labourer
Farm Labourur,2,Farm Labourur,UNCHANGED,Labourur,Farm Labourer
Farm Laboury,2,Farm Laboury,UNCHANGED,Laboury,Farm Labour
Farm Larbourer,2,Farm Larbourer,UNCHANGED,Larbourer,Farm Labourer
Farm larbourer,2,Farm larbourer,UNCHANGED,larbourer,Farm Labourer
Farm Laubour,2,Farm Laubour,UNCHANGED,Laubour,Farm Labour
Farm Lauburer,2,Farm Lauburer,UNCHANGED,Lauburer,Farm Labourer
Farm Servernt,2,Farm Servernt,UNCHANGED,Servernt,Farm Servant
Farm Servnat,2,Farm Servnat,UNCHANGED,Servnat,Farm Servant
Farmaer,2,Farmaer,UNCHANGED,Farmaer,Farmer
Farmar Wife,2,Farmar Wife,UNCHANGED,Farmar,Farmer Wife
Farmarer,2,Farmarer,UNCHANGED,Farmarer,Farmer
Farme Laborer,2,Farme Labourer,AMERICAN_SPELLING,Farme,Farmer Labourer
Farme Labour,2,Farme Labour,UNCHANGED,Farme,Farmer Labour
Farme's Servant,2,Farme's Servant,UNCHANGED,Farme's,Farmer's Servant
Farmer Labrour,2,Farmer Labrour,UNCHANGED,Labrour,Farmer Labour
Farmer Servat,2,Farmer Servat,UNCHANGED,Servat,Farmer Servant
Farmer Wif,2,Farmer Wif,UNCHANGED,Wif,Farmer Wife
Farmer's Brothr,2,Farmer's Brothr,UNCHANGED,Brothr,Farmer's Brother
Farmer's Daghtr,2,Farmer's Daghtr,UNCHANGED,Daghtr,Farmer's Daughter
Farmer's Daguhter,2,Farmer's Daguhter,UNCHANGED,Daguhter,Farmer's Daughter
Farmer's Dsughter,2,Farmer's Dsughter,UNCHANGED,Dsughter,Farmer's Daughter
Farmer's Gran Daughter,2,Farmer's Gran Daughter,UNCHANGED,Gran,Farmer's Grand Daughter
Farmere Wife,2,Farmere Wife,UNCHANGED,Farmere,Farmer Wife
Farmerr's Son,2,Farmerr's Son,UNCHANGED,Farmerr's,Farmer's Son
Farmers Daughter Schollar,2,Farmer's Daughter Schollar,POSSESSIVE,Schollar,Farmer's Daughter Scholar
Farmers Daughter Sholar,2,Farmer's Daughter Sholar,POSSESSIVE,Sholar,Farmer's Daughter Scholar
Farmers Son Sholar,2,Farmer's Son Sholar,POSSESSIVE,Sholar,Farmer's Son Scholar
Farmier,2,Farmier,UNCHANGED,Farmier,Farmer
Farr Son,2,Farr Son,UNCHANGED,Farr,Farm Son
Fireman (M.G.W.R),2,Fireman M.G.W.R,NORMALIZATION,M.G.W.R,Fireman M.G.W.R
Fish Curier,2,Fish Curier,UNCHANGED,Curier,Fish Curer
Fish Dealor,2,Fish Dealor,UNCHANGED,Dealor,Fish Dealer
Fitter Aprentie,2,Fitter Aprentie,UNCHANGED,Aprentie,Fitter Apprentice
Flas Spreader,2,Flas Spreader,UNCHANGED,Flas,Flax Spreader
Flax Drsser,2,Flax Drsser,UNCHANGED,Drsser,Flax Dresser
Flax Prepaier,2,Flax Prepaier,UNCHANGED,Prepaier,Flax Preparer
Flax Preperer,2,Flax Preperer,UNCHANGED,Preperer,Flax Preparer
Flax Raugher,2,Flax Raugher,UNCHANGED,Raugher,Flax Rougher
Flax Roagher,2,Flax Roagher,UNCHANGED,Roagher,Flax Rougher
Flax Rongher,2,Flax Rongher,UNCHANGED,Rongher,Flax Rougher
Flax Skutcher,2,Flax Skutcher,UNCHANGED,Skutcher,Flax Scutcher
Flax Spinnar,2,Flax Spinnar,UNCHANGED,Spinnar,Flax Spinner
Flax Spinnear,2,Flax Spinnear,UNCHANGED,Spinnear,Flax Spinner
Flax Sppiner,2,Flax Sppiner,UNCHANGED,Sppiner,Flax Spinner
Fleax Dresser,2,Fleax Dresser,UNCHANGED,Fleax,Flax Dresser
Foldier,2,Foldier,UNCHANGED,Foldier,Folder
Foodman Domestic Servant,2,Foodman Domestic Servant,UNCHANGED,Foodman,Footman Domestic Servant
Forman Carpenter,2,Forman Carpenter,UNCHANGED,Forman,Foreman Carpenter
Foul Dealour,2,Foul Dealour,UNCHANGED,Dealour,Foul Dealer
Foundrey Labourer,2,Foundrey Labourer,UNCHANGED,Foundrey,Foundry Labourer
Foundry Laburer,2,Foundry Laburer,UNCHANGED,Laburer,Foundry Labourer
Fowl Byer,2,Fowl Byer,UNCHANGED,Byer,Fowl Buyer
Fowl Cuyer,2,Fowl Cuyer,UNCHANGED,Cuyer,Fowl Buyer
Fowl Mearchant,2,Fowl Mearchant,UNCHANGED,Mearchant,Fowl Merchant
Frarm Servant,2,Frarm Servant,UNCHANGED,Frarm,Farm Servant
French Polasher,2,French Polasher,UNCHANGED,Polasher,French Polisher
Frengh Polisher,2,Frengh Polisher,UNCHANGED,Frengh,French Polisher
Frinch Polisher,2,Frinch Polisher,UNCHANGED,Frinch,French Polisher
Friut Vendor,2,Friut Vendor,UNCHANGED,Friut,Fruit Vendor
Fruit Vindor,2,Fruit Vindor,UNCHANGED,Vindor,Fruit Vendor
Fruite Dealer,2,Fruite Dealer,UNCHANGED,Fruite,Fruit Dealer
Frut Dealer,2,Frut Dealer,UNCHANGED,Frut,Fruit Dealer
Ganeral Labourer,2,Ganeral Labourer,UNCHANGED,Ganeral,General Labourer
Gardaner,2,Gardaner,UNCHANGED,Gardaner,Gardener
Garden Labouer,2,Garden Labouer,UNCHANGED,Labouer,Garden Labourer
Gardenar Domestic Servant,2,Gardenar Domestic Servant,STANDARD,Gardenar,Gardener Domestic Servant
Gardener D.Servant,2,Gardener D.Servant,UNCHANGED,D.Servant,Gardener Servant
Gardener Domestic Servent,2,Gardener Domestic Servent,UNCHANGED,Servent,Gardener Domestic Servant
Gardener Domestick Servant,2,Gardener Domestick Servant,UNCHANGED,Domestick,Gardener Domestic Servant
Gardener-Domestic Seravnt,2,Gardener Domestic Seravnt,NORMALIZATION,Seravnt,Gardener Domestic Servant
Gardener-Domestic Svt,2,Gardener Domestic Svt,NORMALIZATION,Svt,Gardener Domestic St
Gardiner (Domestic Servant),2,Gardiner Domestic Servant,NORMALIZATION,Gardiner,Gardener Domestic Servant
Gardiner D. Servant,2,Gardiner D. Servant,UNCHANGED,Gardiner,Gardener D. Servant
Gardiner Dom Servant,2,Gardiner Dom Servant,UNCHANGED,Gardiner,Gardener Dom Servant
Gardiner Domestic S,2,Gardiner Domestic S,UNCHANGED,Gardiner,Gardener Domestic S
Gardiner Unemployed,2,Gardiner Unemployed,STANDARD,Gardiner,Gardener Unemployed
Gardiner-Domestic,2,Gardiner Domestic,NORMALIZATION,Gardiner,Gardener Domestic
Gardioner,2,Gardioner,UNCHANGED,Gardioner,Gardener
Gas Labouer,2,Gas Labouer,UNCHANGED,Labouer,Gas Labourer
Gas Laboure,2,Gas Laboure,UNCHANGED,Laboure,Gas Labourer
Gas Labrour,2,Gas Labrour,UNCHANGED,Labrour,Gas Labour
Gass Maker,2,Gass Maker,UNCHANGED,Gass,Gas Maker
Gemeral Servant,2,Gemeral Servant,UNCHANGED,Gemeral,General Servant
Genaral Domestic Servant,2,Genaral Domestic Servant,STANDARD,Genaral,General Domestic Servant
Genaral Servant Domestic,2,Genaral Domestic Servant,WORD_ORDER,Genaral,General Domestic Servant
Genearl Laboure,2,Genearl Laboure,UNCHANGED,Genearl; Laboure,General Labourer
Genearl Searvent,2,Genearl Searvent,UNCHANGED,Genearl; Searvent,General Servant
Genearl Servant,2,Genearl Servant,UNCHANGED,Genearl,General Servant
Genelal Labourer,2,Genelal Labourer,UNCHANGED,Genelal,General Labourer
General Domastic Servant,2,General Domastic Servant,UNCHANGED,Domastic,General Domestic Servant
General Domestic Serevant,2,General Domestic Serevant,UNCHANGED,Serevant,General Domestic Servant
General Domestic Sern,2,General Domestic Sern,UNCHANGED,Sern,General Domestic Ser
General Domestick-Servant,2,General Domestick Servant,NORMALIZATION,Domestick,General Domestic Servant
General House Wrk,2,General House Wrk,UNCHANGED,Wrk,General House Work
General Labaour,2,General Labaour,UNCHANGED,Labaour,General Labour
General Labaurer,2,General Labaurer,UNCHANGED,Labaurer,General Labourer
General Lablouer,2,General Lablouer,UNCHANGED,Lablouer,General Labourer
General Laboer,2,General Laboer,UNCHANGED,Laboer,General Labour
General Laboerer,2,General Laboerer,UNCHANGED,Laboerer,General Labourer
General Laborourer,2,General Laborourer,UNCHANGED,Laborourer,General Labourer
General Laboure Unemployed,2,General Laboure Unemployed,UNCHANGED,Laboure,General Labourer Unemployed
General Labourel,2,General Labourel,UNCHANGED,Labourel,General Labourer
General Labourer Unemployd,2,General Labourer Unemployd,UNCHANGED,Unemployd,General Labourer Unemployed
General Labourr,2,General Labourr,UNCHANGED,Labourr,General Labourer
General Labourrer,2,General Labourrer,UNCHANGED,Labourrer,General Labourer
General Labowrer,2,General Labowrer,UNCHANGED,Labowrer,General Labourer
General Laouber,2,General Laouber,UNCHANGED,Laouber,General Labourer
General Laubor,2,General Laubor,UNCHANGED,Laubor,General Labour
General Seravant,2,General Seravant,UNCHANGED,Seravant,General Servant
General Servant Domsty,2,General Servant Domsty,UNCHANGED,Domsty,General Servant Doms
General Servant Unemploye,2,General Servant Unemploye,UNCHANGED,Unemploye,General Servant Unemployed
General Servat Domest,2,General Servat Domest,UNCHANGED,Servat; Domest,General Servant Domes
General Servint,2,General Servint,UNCHANGED,Servint,General Servant
General Servnat,2,General Servnat,UNCHANGED,Servnat,General Servant
General Srt Domestic,2,General Srt Domestic,UNCHANGED,Srt,General St Domestic
Generarl Labourer,2,Generarl Labourer,UNCHANGED,Generarl,General Labourer
Generel Labour,2,Generel Labour,UNCHANGED,Generel,General Labour
Generel Servent,2,Generel Servent,UNCHANGED,Generel; Servent,General Servant
Generial Servant,2,Generial Servant,UNCHANGED,Generial,General Servant
Generl Dealer,2,Generl Dealer,UNCHANGED,Generl,General Dealer
Generl Servent,2,Generl Servent,UNCHANGED,Generl; Servent,General Servant
Generla Labourer,2,Generla Labourer,UNCHANGED,Generla,General Labourer
Generlar Labour,2,Generlar Labour,UNCHANGED,Generlar,General Labour
Genl Servant Domc,2,Genl Servant Domc,STANDARD,Domc,Genl Servant Dom
Genl Servt Unemplayed,2,Genl Servant Unemplayed,ABBREVIATION,Unemplayed,Genl Servant Unemployed
Genl Sevt-Domestic,2,Genl Sevt Domestic,NORMALIZATION,Sevt,Genl Sert Domestic
Genltenman Farmer,2,Genltenman Farmer,UNCHANGED,Genltenman,Gentleman Farmer
Genneral Servant,2,Genneral Servant,UNCHANGED,Genneral,General Servant
Genral Dealer,2,Genral Dealer,UNCHANGED,Genral,General Dealer
Genral Domestic Servant,2,Genral Domestic Servant,STANDARD,Genral,General Domestic Servant
Genral Servant (Domestic),2,Genral Domestic Servant,NORMALIZATION; WORD_ORDER,Genral,General Domestic Servant
Genral Servant-Domestic,2,Genral Domestic Servant,NORMALIZATION; WORD_ORDER,Genral,General Domestic Servant
Genrl Servant. Domestic,2,Genrl Servant. Domestic,UNCHANGED,Genrl,Genl Servant. Domestic
Genrl. Servt-Domestic,2,Genrl. Domestic Servant,ABBREVIATION; NORMALIZATION; WORD_ORDER,Genrl,Genl. Domestic Servant
Gerenal Servant,2,Gerenal Servant,UNCHANGED,Gerenal,General Servant
Gernal Servant Domestic,2,Gernal Domestic Servant,WORD_ORDER,Gernal,Genal Domestic Servant
Gerneral Labourer,2,Gerneral Labourer,UNCHANGED,Gerneral,General Labourer
Gerneral Servant,2,Gerneral Servant,UNCHANGED,Gerneral,General Servant
Glneral Labourer,2,Glneral Labourer,UNCHANGED,Glneral,General Labourer
Gordener,2,Gordener,UNCHANGED,Gordener,Gardener
Green Groicer,2,Green Groicer,UNCHANGED,Groicer,Green Grocer
Grocen Porter,2,Grocen Porter,UNCHANGED,Grocen,Grocer Porter
Grocer Appratice,2,Grocer Appratice,UNCHANGED,Appratice,Grocer Apprentice
Groon Domestic Servant,2,Groon Domestic Servant,UNCHANGED,Groon,Groom Domestic Servant
Guardener,2,Guardener,UNCHANGED,Guardener,Gardener
Guardiner,2,Guardiner,UNCHANGED,Guardiner,Gardener
Hackel Setter,2,Hackel Setter,UNCHANGED,Hackel,Hackle Setter
Hairdressor,2,Hairdressor,UNCHANGED,Hairdressor,Hairdresser
Hardresser,2,Hardresser,UNCHANGED,Hardresser,Hairdresser
Hardward Assistant,2,Hardward Assistant,UNCHANGED,Hardward,Hardware Assistant
Hardware Aprentice,2,Hardware Aprentice,UNCHANGED,Aprentice,Hardware Apprentice
Hardware Assisant,2,Hardware Assisant,UNCHANGED,Assisant,Hardware Assistant
Harnes - Maker,2,Harnes Maker,NORMALIZATION,Harnes,Harness Maker
Hausekeeper,2,Hausekeeper,UNCHANGED,Hausekeeper,Housekeeper
Hem Sitcher,2,Hem Sitcher,UNCHANGED,Sitcher,Hem Stitcher
Hem Sticther,2,Hem Sticther,UNCHANGED,Sticther,Hem Stitcher
Hemstress,2,Hemstress,UNCHANGED,Hemstress,Seamstress
Highter Man,2,Highter Man,UNCHANGED,Highter,Lighter Man
Hockney Car Driver,2,Hockney Car Driver,UNCHANGED,Hockney,Hackney Car Driver
Hores Keeper,2,Hores Keeper,UNCHANGED,Hores,Horse Keeper
Horse Choer,2,Horse Choer,UNCHANGED,Choer,Horse Shoer
Horse Tranier,2,Horse Tranier,UNCHANGED,Tranier,Horse Trainer
Hosery Knitter,2,Hosery Knitter,UNCHANGED,Hosery,Hosiery Knitter
Hosewife,2,Hosewife,UNCHANGED,Hosewife,Housewife
Hosptl Nurse,2,Hosptl Nurse,UNCHANGED,Hosptl,Hospital Nurse
Hotel Proprietior,2,Hotel Proprietior,UNCHANGED,Proprietior,Hotel Proprietor
Hotel Proprioter,2,Hotel Proprioter,UNCHANGED,Proprioter,Hotel Proprietor
Hotel Waiteress,2,Hotel Waiteress,UNCHANGED,Waiteress,Hotel Waitress
Hotel Waitor,2,Hotel Waitor,UNCHANGED,Waitor,Hotel Waiter
Hotele Keeper,2,Hotele Keeper,UNCHANGED,Hotele,Hotel Keeper
Hotell Keeper,2,Hotell Keeper,UNCHANGED,Hotell,Hotel Keeper
Hous Painter,2,Hous Painter,UNCHANGED,Hous,House Painter
House Buisiness,2,House Buisiness,UNCHANGED,Buisiness,House Business
House Dutie,2,House Dutie,UNCHANGED,Dutie,House Duties
House Keeper Domc-Servt,2,Housekeeper Domc Servant,ABBREVIATION; COMPOUND_KEEPER; NORMALIZATION,Domc,Housekeeper Dom Servant
House Maid Domestic Servat,2,House Maid Domestic Servat,STANDARD,Servat,House Maid Domestic Servant
House Maid-Domestic Sevt,2,House Maid Domestic Sevt,NORMALIZATION,Sevt,House Maid Domestic Sert
House Mistrees,2,House Mistrees,UNCHANGED,Mistrees,House Mistress
House Painte,2,House Painte,UNCHANGED,Painte,House Painter
House Propritor,2,House Propritor,UNCHANGED,Propritor,House Proprietor
House-Parlor Maid,2,House Parlor Maid,NORMALIZATION,Parlor,House Parlour Maid
Housekeepe Domestic Servant,2,Housekeepe Domestic Servant,UNCHANGED,Housekeepe,Housekeeper Domestic Servant
Housekeeper Domestic Sevt,2,Housekeeper Domestic Sevt,STANDARD,Sevt,Housekeeper Domestic Sert
Housekeepir,2,Housekeepir,UNCHANGED,Housekeepir,Housekeeper
Housekepeer,2,Housekepeer,UNCHANGED,Housekepeer,Housekeeper
Housekipper,2,Housekipper,UNCHANGED,Housekipper,Housekeeper
Housekper,2,Housekper,UNCHANGED,Housekper,Housekeeper
Housemaid Domc Servt,2,Housemaid Domc Servant,ABBREVIATION,Domc,Housemaid Dom Servant
Housemaid Domestick Servant,2,Housemaid Domestick Servant,UNCHANGED,Domestick,Housemaid Domestic Servant
Housemaid-Domestic Sevt,2,Housemaid Domestic Sevt,NORMALIZATION,Sevt,Housemaid Domestic Sert
Housepeeper,2,Housepeeper,UNCHANGED,Housepeeper,Housekeeper
Housepkeeper,2,Housepkeeper,UNCHANGED,Housepkeeper,Housekeeper
Housewif,2,Housewif,UNCHANGED,Housewif,Housewife
Houshold Duties,2,Houshold Duties,UNCHANGED,Houshold,Household Duties
Houskeepeer,2,Houskeepeer,UNCHANGED,Houskeepeer,Housekeeper
Housmaid-Domestic Servant,2,Housmaid Domestic Servant,NORMALIZATION,Housmaid,Housemaid Domestic Servant
Hrds Man,2,Hrds Man,UNCHANGED,Hrds,Herds Man
Hresemaker,2,Hresemaker,UNCHANGED,Hresemaker,Dressmaker
Husewife,2,Husewife,UNCHANGED,Husewife,Housewife
Incom from Dividends,2,Incom from Dividends,UNCHANGED,Incom,Income from Dividends
Income from Devidends,2,Income from Devidends,UNCHANGED,Devidends,Income from Dividends
Infeant,2,Infeant,UNCHANGED,Infeant,Infant
Interst of Money,2,Interst of Money,UNCHANGED,Interst,Interest of Money
Invailed,2,Invailed,UNCHANGED,Invailed,Invalid
Invalaid,2,Invalaid,UNCHANGED,Invalaid,Invalid
Irion Ship Wright,2,Irion Ship Wright,UNCHANGED,Irion,Iron Ship Wright
Irom Moulder,2,Irom Moulder,UNCHANGED,Irom,Iron Moulder
Iron Dressor,2,Iron Dressor,UNCHANGED,Dressor,Iron Dresser
Iron Moulder in Foundary,2,Iron Moulder in Foundary,UNCHANGED,Foundary,Iron Moulder in Foundry
Iron Torner,2,Iron Torner,UNCHANGED,Torner,Iron Turner
Jounalist,2,Jounalist,UNCHANGED,Jounalist,Journalist
Journelist,2,Journelist,UNCHANGED,Journelist,Journalist
Kichen Maid,2,Kichen Maid,UNCHANGED,Kichen,Kitchen Maid
Kitchan Maid,2,Kitchan Maid,UNCHANGED,Kitchan,Kitchen Maid
Kitchan Maid Domestic Servant,2,Kitchan Maid Domestic Servant,UNCHANGED,Kitchan,Kitchen Maid Domestic Servant
Kitchanmaid Domestic Servant,2,Kitchanmaid Domestic Servant,UNCHANGED,Kitchanmaid,Kitchenmaid Domestic Servant
Kitchemaid Domestic Servant,2,Kitchemaid Domestic Servant,UNCHANGED,Kitchemaid,Kitchenmaid Domestic Servant
Kitchin Maid Domestic Servant,2,Kitchin Maid Domestic Servant,UNCHANGED,Kitchin,Kitchen Maid Domestic Servant
Labaour General,2,Labaour General,UNCHANGED,Labaour,Labour General
Labiour General,2,Labiour General,STANDARD,Labiour,Labour General
Labiourar,2,Labiourar,UNCHANGED,Labiourar,Labourer
Lablor,2,Lablor,UNCHANGED,Lablor,Tailor
Laboerer,2,Laboerer,UNCHANGED,Laboerer,Labourer
Laboorer,2,Laboorer,UNCHANGED,Laboorer,Labourer
Laborer Gass,2,Labourer Gass,AMERICAN_SPELLING,Gass,Labourer Gas
Laborers General,2,Laborers General,UNCHANGED,Laborers,Labourers General
Labororer,2,Labororer,UNCHANGED,Labororer,Labourer
Labororer and Fisherman,2,Labororer and Fisherman,UNCHANGED,Labororer,Labourer and Fisherman
Labors General,2,Labors General,UNCHANGED,Labors,Labours General
Laborur Agr,2,Laborur Agr,UNCHANGED,Laborur,Labour Agr
Labouer Agriculture,2,Labouer Agriculture,UNCHANGED,Labouer,Labourer Agriculture
Labouer in Brewery,2,Labouer in Brewery,UNCHANGED,Labouer,Labourer in Brewery
Labouer in Shipyard,2,Labouer in Shipyard,UNCHANGED,Labouer,Labourer in Shipyard
Labouer in Wine Store,2,Labouer in Wine Store,UNCHANGED,Labouer,Labourer in Wine Store
Labour Aglr,2,Labour Aglr,UNCHANGED,Aglr,Labour Agr
Labour Generl,2,Labour Generl,UNCHANGED,Generl,Labour General
Laboure in Iron Works,2,Laboure in Iron Works,UNCHANGED,Laboure,Labourer in Iron Works
Labourel,2,Labourel,UNCHANGED,Labourel,Labourer
Labourer (Agricrl),2,Labourer Agricrl,NORMALIZATION,Agricrl,Labourer Agric
Labourer (Genlr),2,Labourer Genlr,NORMALIZATION,Genlr,Labourer Genl
Labourer Distellery,2,Labourer Distellery,UNCHANGED,Distellery,Labourer Distillery
Labourer Genrl.,2,Labourer Genrl.,UNCHANGED,Genrl,Labourer Genl.
Labourer in Brewry,2,Labourer in Brewry,UNCHANGED,Brewry,Labourer in Brewery
Labourer in Distilley,2,Labourer in Distilley,UNCHANGED,Distilley,Labourer in Distillery
Labourer in Foundy,2,Labourer in Foundy,UNCHANGED,Foundy,Labourer in Foundry
Labourer in Iorn Works,2,Labourer in Iorn Works,UNCHANGED,Iorn,Labourer in Iron Works
Labourer infoundry,2,Labourer infoundry,UNCHANGED,infoundry,Labourer Foundry
Labourer Ropeworks,2,Labourer Ropeworks,UNCHANGED,Ropeworks,Labourer Ropework
Labourer-Agricl,2,Labourer Agricl,NORMALIZATION,Agricl,Labourer Agric
Laboures D. Servant,2,Laboures D. Servant,UNCHANGED,Laboures,Labourer D. Servant
Labourior,2,Labourior,UNCHANGED,Labourior,Labourer
Labriour Gen,2,Labriour Gen,UNCHANGED,Labriour,Labour Gen
Labrorer,2,Labrorer,UNCHANGED,Labrorer,Labourer
Labrour (Genl),2,Labrour Genl,NORMALIZATION,Labrour,Labour Genl
Labrour Gen,2,Labrour Gen,UNCHANGED,Labrour,Labour Gen
Labrur General,2,Labrur General,UNCHANGED,Labrur,Labour General
Labur General,2,Labur General,UNCHANGED,Labur,Labour General
Lacemakers,2,Lacemakers,UNCHANGED,Lacemakers,Lacemaker
Lambourer,2,Lambourer,UNCHANGED,Lambourer,Labourer
Land Stevart,2,Land Stevart,UNCHANGED,Stevart,Land Stewart
Land Stweard,2,Land Stweard,UNCHANGED,Stweard,Land Steward
