occupation,count,corrected_occupation,change_category
Wool-Spiner,3,Wool Spiner,NORMALIZATION
Woollen Factory-Weaver,3,Woollen Factory Weaver,NORMALIZATION
Yarn Spinner-Mill,3,Yarn Spinner Mill,NORMALIZATION
Yarn Winder-Linen Weaving,3,Yarn Winder Linen Weaving,NORMALIZATION
Yarn-Dresser,3,Yarn Dresser,NORMALIZATION
Yarn-Drier,3,Yarn Drier,NORMALIZATION
Yarn-Reeler,3,Yarn Reeler,NORMALIZATION
(1/2 Time) Doffer in Linen Mill,2,1/2 Time Doffer in Linen Mill,NORMALIZATION
(Agricultural Implement and Seed Merchant),2,Agricultural Implement and Seed Merchant,NORMALIZATION
(Agricultural) Labouring Man,2,Agricultural Labouring Man,NORMALIZATION
(At) Schoolars,2,At Schoolars,NORMALIZATION
(Clk) Canon,2,Clk Canon,NORMALIZATION
(Damask Weaver),2,Damask Weaver,NORMALIZATION
(Doffer in Spinning Mill),2,Doffer in Spinning Mill,NORMALIZATION
(Domestic Servant) Cook,2,Cook Domestic Servant,DICT_LOOKUP; NORMALIZATION
(Domestic) Farm Servant,2,Domestic Farm Servant,NORMALIZATION
(Ex-Teacher) Farmer,2,Ex Teacher Farmer,NORMALIZATION
(F.S.F) Private Income,2,F.S.F Private Income,NORMALIZATION
"(Factory), (Milk) Working",2,"Factory, Milk Working",NORMALIZATION
(General Servant) Domestic,2,General Domestic Servant,DICT_LOOKUP; NORMALIZATION
(General) Servant,2,General Servant,NORMALIZATION
(Genl.) Labourer,2,General Labourer,DICT_LOOKUP; NORMALIZATION
(Grocery) Shop Assistant,2,Grocery Shop Assistant,NORMALIZATION
(House Maid) Domestic Servant,2,House Maid Domestic Servant,NORMALIZATION
(House Property),2,House Property,NORMALIZATION
(House) Carpenter,2,House Carpenter,NORMALIZATION
(Housemaid) Domestic Servant,2,Housemaid Domestic Servant,NORMALIZATION
(Infant None),2,Infant None,NORMALIZATION
(Inft),2,Inft,NORMALIZATION
(Labourer in Factory),2,Labourer in Factory,NORMALIZATION
(Learning) Scholar,2,Learning Scholar,NORMALIZATION
(Linen) Power Loom Weaver,2,Linen Power Loom Weaver,NORMALIZATION
(Linen) Weaver,2,Linen Weaver,NORMALIZATION
(Linen) Winder,2,Linen Winder,NORMALIZATION
(Linen) Yarn Winder,2,Linen Yarn Winder,NORMALIZATION
(Musician) Pianist,2,Musician Pianist,NORMALIZATION
(Nothing),2,Nothing,NORMALIZATION
(Nurse),2,Nurse,NORMALIZATION
(Nurse) Servant,2,Nurse Servant,NORMALIZATION
(Pedlar),2,Pedlar,NORMALIZATION
(Pensioner) R I Constaby,2,Pensioner R I Constaby,NORMALIZATION
(Principal) National Teacher,2,Principal National Teacher,NORMALIZATION
(Retired) Farmer,2,Retired Farmer,NORMALIZATION
(Scholar) Son of F C C,2,Scholar Son of F C C,NORMALIZATION
(Servant Domestic),2,Domestic Servant,DICT_LOOKUP; NORMALIZATION
(Shop) Porter,2,Shop Porter,NORMALIZATION
(Superanneted) Baker,2,Superanneted Baker,NORMALIZATION
(Tobacco) Commercial Traveller,2,Tobacco Commercial Traveller,NORMALIZATION
(U.R.U.I) Students,2,U.R.U.I Students,NORMALIZATION
(Vicar) Clergyman Ch of Ireland,2,Vicar Clergyman Ch of Ireland,NORMALIZATION
(Weaver of Cambric),2,Weaver of Cambric,NORMALIZATION
(Wife of Above),2,Wife of Above,NORMALIZATION
(Winder in Linen Factory),2,Winder in Linen Factory,NORMALIZATION
(Winding in Linen Factory),2,Winding in Linen Factory,NORMALIZATION
A (Swinging Boat Man),2,A Swinging Boat Man,NORMALIZATION
Accountant (Bank),2,Accountant Bank,NORMALIZATION
Accountant (Insurance),2,Accountant Insurance,NORMALIZATION
Accountant-Railway,2,Accountant Railway,NORMALIZATION
Accountant-Unemployed,2,Accountant Unemployed,NORMALIZATION
Ag-Shepherd,2,Ag Shepherd,NORMALIZATION
Agent (Land),2,Agent Land,NORMALIZATION
Agent Clerk (Railway),2,Agent Clerk Railway,NORMALIZATION
Agl Labourer-Unemployed,2,Agl Labourer Unemployed,NORMALIZATION
Agri - Labourer,2,Agricultural Labourer,DICT_LOOKUP; NORMALIZATION
Agricultural Labourer (Pensioned),2,Agricultural Labourer Pensioned,NORMALIZATION
Agricultural Labourer General,2,General Agricultural Labourer,DICT_LOOKUP
Agricultural Labourer-Kerd,2,Agricultural Labourer Kerd,NORMALIZATION
Agricultural-Labour,2,Agricultural Labourer,DICT_LOOKUP; NORMALIZATION
Agricultural-Labr,2,Agricultural Labourer,DICT_LOOKUP; NORMALIZATION
Agriculture-Farming,2,Agriculture Farming,NORMALIZATION
Agril-Labourer,2,Agril Labourer,NORMALIZATION
"Annuity and Interest Curater St. Mary's Church, Newry (Ch. of Ireland)",2,"Annuity and Interest Curater St. Mary's Church, Newry Ch. of Ireland",NORMALIZATION
App-Fitter,2,App Fitter,NORMALIZATION
App-Upholster,2,App Upholster,NORMALIZATION
Apprentice (Chemist),2,Apprentice Chemist,NORMALIZATION
Apprentice (Druggist),2,Apprentice Druggist,NORMALIZATION
Apprentice (Electrical),2,Apprentice Electrical,NORMALIZATION
Apprentice (Fitter),2,Apprentice Fitter,NORMALIZATION
Apprentice (Linen),2,Apprentice Linen,NORMALIZATION
Apprentice (Millinery),2,Apprentice Millinery,NORMALIZATION
Apprentice (Tailoring),2,Apprentice Tailoring,NORMALIZATION
Apprentice Boiler-Maker,2,Apprentice Boiler Maker,NORMALIZATION
Apprentice Cabinet-Maker,2,Apprentice Cabinet Maker,NORMALIZATION
Apprentice Engineer (Marine),2,Apprentice Engineer Marine,NORMALIZATION
Apprentice Iron Ship-Wright,2,Apprentice Iron Ship Wright,NORMALIZATION
Apprentice to Dress-Maker,2,Apprentice to Dress Maker,NORMALIZATION
Apprentice-Compositor,2,Apprentice Compositor,NORMALIZATION
Apprentice-Domestic Servant,2,Apprentice Domestic Servant,NORMALIZATION
Apprentice-Groceris and c,2,Apprentice Groceris and c,NORMALIZATION
Apprentice-Grocery,2,Apprentice Grocery,NORMALIZATION
Apprentice-Plumber,2,Apprentice Plumber,NORMALIZATION
Apprentice-Tailor,2,Apprentice Tailor,NORMALIZATION
Aprentice (Millenery),2,Aprentice Millenery,NORMALIZATION
Army Pensioner (Private),2,Army Pensioner Private,NORMALIZATION
Army Pensioner-Private,2,Army Pensioner Private,NORMALIZATION
Artist (Litho),2,Artist Litho,NORMALIZATION
Artist (Painter) Art Master,2,Artist Painter Art Master,NORMALIZATION
Artist (Pictorial),2,Artist Pictorial,NORMALIZATION
Artist-Musician,2,Artist Musician,NORMALIZATION
Artist-Photographic,2,Artist Photographic,NORMALIZATION
Asle Manufacturer (Master),2,Asle Manufacturer Master,NORMALIZATION
Assistant (Chemists),2,Assistant Chemists,NORMALIZATION
Assistant (Drapery),2,Assistant Drapery,NORMALIZATION
Assistant - Laundress,2,Assistant Laundress,NORMALIZATION
Assistant and H - Keeper,2,Assistant and H Keeper,NORMALIZATION
Assistant Baker-Master,2,Assistant Baker Master,NORMALIZATION
Assistant Dress-Making,2,Assistant Dress Making,NORMALIZATION
Assistant of Excise (I.Revenue),2,Assistant of Excise I.Revenue,NORMALIZATION
Assistant-Groceris and c,2,Assistant Groceris and c,NORMALIZATION
Assists in House-Keeping,2,Assists in House Keeping,NORMALIZATION
Asst Sup Dt (Postel) Gpo Dublin,2,Asst Sup Dt Postel Gpo Dublin,NORMALIZATION
Attending Scholl-Scholars,2,Attending Scholl Scholars,NORMALIZATION
Attending Scool (Scholar),2,Attending Scool Scholar,NORMALIZATION
Attending-School,2,Attending School,NORMALIZATION
Baker-Domestic Servant,2,Baker Domestic Servant,NORMALIZATION
Baker-Retired,2,Baker Retired,NORMALIZATION
Bank-Cashier,2,Bank Cashier,NORMALIZATION
Bank-Porter,2,Bank Porter,NORMALIZATION
Bar - Tender,2,Bar Tender,NORMALIZATION
Bar man,2,Barman,DICT_LOOKUP
Bar Tender (Public House),2,Bar Tender Public House,NORMALIZATION
Barrister (Actual Practice),2,Barrister Actual Practice,NORMALIZATION
Barrister (Not Practising),2,Barrister Not Practising,NORMALIZATION
Barrister (Practising) M A,2,Barrister Practising M A,NORMALIZATION
Barrister at Law (Practicing),2,Barrister at Law Practicing,NORMALIZATION
Barrister-at-Law,2,Barrister at Law,NORMALIZATION
Barrister-at-Law in Actual Practice,2,Barrister at Law in Actual Practice,NORMALIZATION
Bars-Maid,2,Bars Maid,NORMALIZATION
Beaker (Baker),2,Beaker Baker,NORMALIZATION
Beggar-Man,2,Beggar Man,NORMALIZATION
Bettler (Linen),2,Bettler Linen,NORMALIZATION
Bill-Porter,2,Bill Porter,NORMALIZATION
Black - Smith and Farmer,2,Black Smith and Farmer,NORMALIZATION
Black Smith (Docks),2,Black Smith Docks,NORMALIZATION
Black-Smith's Son,2,Black Smith's Son,NORMALIZATION
Black-Smith's Wife,2,Black Smith's Wife,NORMALIZATION
Blacksmith (App),2,Blacksmith App,NORMALIZATION
Blacksmith (Assistant),2,Blacksmith Assistant,NORMALIZATION
Boarding-House,2,Boarding House,NORMALIZATION
Boat - Man,2,Boat Man,NORMALIZATION
Boat Man-Captain,2,Boat Man Captain,NORMALIZATION
Boat-Builder,2,Boat Builder,DICT_LOOKUP; NORMALIZATION
Boat-Owner,2,Boat Owner,NORMALIZATION
Bodymaker-Coach,2,Bodymaker Coach,NORMALIZATION
Boiler - Maker,2,Boiler Maker,NORMALIZATION
Boiler maker (at works),2,Boiler maker at works,NORMALIZATION
Boilermaker-Rivetter in Shipyard,2,Boilermaker Rivetter in Shipyard,NORMALIZATION
Book - Binder,2,Book Binder,NORMALIZATION
Book - Seller,2,Book Seller,NORMALIZATION
Book Binder (Apprentice),2,Book Binder Apprentice,NORMALIZATION
Book-Finisher,2,Book Finisher,NORMALIZATION
Book-Keeper and Cashier,2,Book Keeper and Cashier,NORMALIZATION
Bookbinder - Finisher,2,Bookbinder Finisher,NORMALIZATION
Bookbinder-Master,2,Bookbinder Master,NORMALIZATION
Bookkeeper (Hotel),2,Bookkeeper Hotel,NORMALIZATION
Boot - Maker Master,2,Boot Maker Master,NORMALIZATION
Boot Maker-Master,2,Boot Maker Master,NORMALIZATION
Boot Shoe-Maker,2,Boot Shoe Maker,NORMALIZATION
Boot-Makers Son,2,Boot Makers Son,NORMALIZATION
Boots-Domestic,2,Boots Domestic,NORMALIZATION
Bottle - Maker,2,Bottle Maker,NORMALIZATION
Bottle-Maker,2,Bottle Maker,NORMALIZATION
Brass - Finisher,2,Brass Finisher,NORMALIZATION
Brass-Fitter,2,Brass Fitter,NORMALIZATION
Brassfounder-Master,2,Brassfounder Master,NORMALIZATION
Brick-Layers Labourer,2,Brick Layers Labourer,NORMALIZATION
Bricklayer (Apprentice,2,Bricklayer Apprentice,NORMALIZATION
Bricklayer (Working),2,Bricklayer Working,NORMALIZATION
Bricklayer-Apprentice,2,Bricklayer Apprentice,NORMALIZATION
Bricklayers-Labourer,2,Bricklayers Labourer,NORMALIZATION
Bridewell-Keeper,2,Bridewell Keeper,NORMALIZATION
Builder (Retired),2,Builder Retired,NORMALIZATION
Builder (Stone Mason),2,Builder Stone Mason,NORMALIZATION
Butcher (Assistant),2,Butcher Assistant,NORMALIZATION
Butcher-Domestic Servant,2,Butcher Domestic Servant,NORMALIZATION
Butcher-Master,2,Butcher Master,NORMALIZATION
Butler (Domestic),2,Butler Domestic,NORMALIZATION
Butler (Retired),2,Butler Retired,NORMALIZATION
Butler Domestic-Servant,2,Butler Domestic Servant,NORMALIZATION
Butler-Domestic Ser,2,Butler Domestic Ser,NORMALIZATION
Butler-Domestic Servt,2,Butler Domestic Servt,NORMALIZATION
Butler-Domestic Sevt,2,Butler Domestic Sevt,NORMALIZATION
Butler-Unemployed,2,Butler Unemployed,NORMALIZATION
Butling Engine-Man,2,Butling Engine Man,NORMALIZATION
Butter Merchant (Wholesale),2,Butter Merchant Wholesale,NORMALIZATION
Butter-Maker,2,Butter Maker,NORMALIZATION
Button-Hole Machinist,2,Button Hole Machinist,NORMALIZATION
Button-Holer,2,Button Holer,NORMALIZATION
Butyler-Unemployed,2,Butyler Unemployed,NORMALIZATION
Buyer-Drapery,2,Buyer Drapery,NORMALIZATION
Byre-Man,2,Byre Man,NORMALIZATION
C-Weaver,2,C Weaver,NORMALIZATION
C. Traveller (Spirits),2,C. Traveller Spirits,NORMALIZATION
Cab-Owner and Driver,2,Cab Owner and Driver,NORMALIZATION
Cabinet maker,2,Cabinetmaker,DICT_LOOKUP
Cap-Maker,2,Cap Maker,NORMALIZATION
Car-Man-Dray,2,Car Man Dray,NORMALIZATION
Carder (Tow),2,Carder Tow,NORMALIZATION
Carder (Wool),2,Carder Wool,NORMALIZATION
Caretaker (Farm),2,Caretaker Farm,NORMALIZATION
Caretaker-Domestic,2,Caretaker Domestic,NORMALIZATION
Carman-Milk Factory,2,Carman Milk Factory,NORMALIZATION
Carpenter (Aprentice),2,Carpenter Aprentice,NORMALIZATION
Carpenter (Foreman),2,Carpenter Foreman,NORMALIZATION
Carpenter (General),2,Carpenter General,NORMALIZATION
Carpenter (Hedge),2,Carpenter Hedge,NORMALIZATION
Carpenter - Apprentice,2,Carpenter Apprentice,NORMALIZATION
Carpenter - House,2,Carpenter House,NORMALIZATION
Carpenter - Morher,2,Carpenter Morher,NORMALIZATION
Carpenter-Out of Employment,2,Carpenter Out of Employment,NORMALIZATION
Carpenter-Retired,2,Carpenter Retired,NORMALIZATION
Carpenters apprentice,2,Carpenter's Apprentice,DICT_LOOKUP
Carpet Bag-Maker,2,Carpet Bag Maker,NORMALIZATION
Carriage - Builder,2,Carriage Builder,NORMALIZATION
Carrier (Common),2,Carrier Common,NORMALIZATION
Cart-Wright,2,Cart Wright,NORMALIZATION
Carter (Foundery),2,Carter Foundery,NORMALIZATION
Carter (General),2,Carter General,NORMALIZATION
Carter - Domestic Servt,2,Carter Domestic Servt,NORMALIZATION
Carter Domestic (Servant),2,Carter Domestic Servant,NORMALIZATION
Carter-General Servant,2,Carter General Servant,NORMALIZATION
Cashier-Land Agent's Assistant and Income Tax Recovery and Adjustment Agent,2,Cashier Land Agent's Assistant and Income Tax Recovery and Adjustment Agent,NORMALIZATION
Catholic(R) Priest,2,CatholicR Priest,NORMALIZATION
Cattle - Drover,2,Cattle Drover,NORMALIZATION
Cattle-Dealer and Farmers Son,2,Cattle Dealer and Farmers Son,NORMALIZATION
Cellar-Man,2,Cellar Man,NORMALIZATION
Chef-Domestic,2,Chef Domestic,NORMALIZATION
Chemist-Pharmaceutical,2,Chemist Pharmaceutical,NORMALIZATION
Chief Male (Mariner),2,Chief Male Mariner,NORMALIZATION
Child's Maid-Domestic Servant,2,Child's Maid Domestic Servant,NORMALIZATION
Childmaid-Domestic Servant,2,Childmaid Domestic Servant,NORMALIZATION
Children Maid-Domestic Servant,2,Children Maid Domestic Servant,NORMALIZATION
Childrens Maid-Domestic Servt,2,Childrens Maid Domestic Servt,NORMALIZATION
Childrens Nurse-Domestic Servant,2,Childrens Nurse Domestic Servant,NORMALIZATION
Christian Brother Teacher (Primary),2,Christian Brother Teacher Primary,NORMALIZATION
Civil Servant (Customs),2,Civil Servant Customs,NORMALIZATION
Civil Servant - Post Office Clerk,2,Civil Servant Post Office Clerk,NORMALIZATION
Civil Servant Ireland Revenue Department -2nd Class Officer,2,Civil Servant Ireland Revenue Department 2nd Class Officer,NORMALIZATION
Civil Service (Retired),2,Civil Service Retired,NORMALIZATION
Civil Service (Sorting Clerk),2,Civil Service Sorting Clerk,NORMALIZATION
Clark in Holy Orders (Rector and Rural Dean) Ch of Ireland,2,Clark in Holy Orders Rector and Rural Dean Ch of Ireland,NORMALIZATION
Cleaner - in Mill,2,Cleaner in Mill,NORMALIZATION
Clergyman (C.C.),2,Clergyman C.C.,NORMALIZATION
Clergyman-Church of Ireland M.A. T.C.D.,2,Clergyman Church of Ireland M.A. T.C.D.,NORMALIZATION
Clergyman-Dras,2,Clergyman Dras,NORMALIZATION
Clergyman-Rector,2,Clergyman Rector,NORMALIZATION
Clerk (Bakery),2,Clerk Bakery,NORMALIZATION
Clerk (Builder's),2,Clerk Builder's,NORMALIZATION
Clerk (Builders),2,Clerk Builders,NORMALIZATION
Clerk (Coal Office),2,Clerk Coal Office,NORMALIZATION
Clerk (Com),2,Clerk Com,NORMALIZATION
Clerk (Corporation),2,Clerk Corporation,NORMALIZATION
Clerk (Despatch),2,Clerk Despatch,NORMALIZATION
Clerk (Distillery),2,Clerk Distillery,NORMALIZATION
Clerk (Engineering),2,Clerk Engineering,NORMALIZATION
Clerk (Goods),2,Clerk Goods,NORMALIZATION
Clerk (Grain),2,Clerk Grain,NORMALIZATION
Clerk (Linen Factory),2,Clerk Linen Factory,NORMALIZATION
Clerk (Mill),2,Clerk Mill,NORMALIZATION
Clerk (Municipal),2,Clerk Municipal,NORMALIZATION
Clerk (Out of Employment),2,Clerk Out of Employment,NORMALIZATION
Clerk (Printing Trade),2,Clerk Printing Trade,NORMALIZATION
Clerk (Publishers),2,Clerk Publishers,NORMALIZATION
Clerk (Rent Agent),2,Clerk Rent Agent,NORMALIZATION
Clerk (Retired),2,Clerk Retired,NORMALIZATION
Clerk (Ship Building),2,Clerk Ship Building,NORMALIZATION
Clerk (Shipping Office),2,Clerk Shipping Office,NORMALIZATION
Clerk (Solicitor),2,Clerk Solicitor,NORMALIZATION
Clerk (Stationery),2,Clerk Stationery,NORMALIZATION
Clerk (Telephone),2,Clerk Telephone,NORMALIZATION
Clerk (Timber Trade),2,Clerk Timber Trade,NORMALIZATION
Clerk (Warehouse),2,Clerk Warehouse,NORMALIZATION
Clerk (Writing),2,Clerk Writing,NORMALIZATION
Clerk - Bank of Ireland,2,Clerk Bank of Ireland,NORMALIZATION
Clerk - Commercial,2,Clerk Commercial,NORMALIZATION
Clerk - Insurance,2,Clerk Insurance,NORMALIZATION
Clerk - Linen Business,2,Clerk Linen Business,NORMALIZATION
Clerk - Unemployed,2,Clerk Unemployed,NORMALIZATION
Clerk of Works and District-Council,2,Clerk of Works and District Council,NORMALIZATION
Clerk-Bakery,2,Clerk Bakery,NORMALIZATION
Clerk-Bank of Ireland,2,Clerk Bank of Ireland,NORMALIZATION
Clerk-Bleach Works,2,Clerk Bleach Works,NORMALIZATION
Clerk-Book Keeper,2,Clerk Book Keeper,NORMALIZATION
Clerk-Brewers,2,Clerk Brewers,NORMALIZATION
Clerk-Butter Factory,2,Clerk Butter Factory,NORMALIZATION
Clerk-Coal,2,Clerk Coal,NORMALIZATION
Clerk-Corn Mill,2,Clerk Corn Mill,NORMALIZATION
Clerk-Distillery,2,Clerk Distillery,NORMALIZATION
Clerk-Drapery,2,Clerk Drapery,NORMALIZATION
Clerk-General Post Office,2,Clerk General Post Office,NORMALIZATION
Clerk-Grocers,2,Clerk Grocers,NORMALIZATION
Clerk-in Pawn Office,2,Clerk in Pawn Office,NORMALIZATION
Clerk-Linen Business,2,Clerk Linen Business,NORMALIZATION
Clerk-Office,2,Clerk Office,NORMALIZATION
Clerk-Pawn Office,2,Clerk Pawn Office,NORMALIZATION
Clerk-Provision Store,2,Clerk Provision Store,NORMALIZATION
Clerk-Provision Trade,2,Clerk Provision Trade,NORMALIZATION
Clerk-Rope Works,2,Clerk Rope Works,NORMALIZATION
Clerk-Shipping Office,2,Clerk Shipping Office,NORMALIZATION
Clerk-Shop,2,Clerk Shop,NORMALIZATION
Clerk-Stationery,2,Clerk Stationery,NORMALIZATION
Clerk-Stockbroker,2,Clerk Stockbroker,NORMALIZATION
Clerk-Telegraph Dept,2,Clerk Telegraph Dept,NORMALIZATION
Clerk-Telegraphist,2,Clerk Telegraphist,NORMALIZATION
Clerk-Transport,2,Clerk Transport,NORMALIZATION
Clerk-Warehouse,2,Clerk Warehouse,NORMALIZATION
Clerk-Wine Merchant,2,Clerk Wine Merchant,NORMALIZATION
Clerkess (Stationer),2,Clerkess Stationer,NORMALIZATION
Clerkess (Wareroom),2,Clerkess Wareroom,NORMALIZATION
Clock - Repairer,2,Clock Repairer,NORMALIZATION
Clock-Maker,2,Clockmaker,DICT_LOOKUP; NORMALIZATION
Clog - Maker,2,Clog Maker,NORMALIZATION
Cloth - Passer,2,Cloth Passer,NORMALIZATION
Cloth Finisher (Bleach),2,Cloth Finisher Bleach,NORMALIZATION
Coach - Maker,2,Coachmaker,DICT_LOOKUP; NORMALIZATION
Coach Builder (Body Maker),2,Coach Builder Body Maker,NORMALIZATION
Coach Builder (Master),2,Coach Builder Master,NORMALIZATION
Coach Man - Domestic,2,Coach Man Domestic,NORMALIZATION
Coach-man Domestic Servant,2,Coach man Domestic Servant,NORMALIZATION
Coach-Man's Daughter,2,Coach Man's Daughter,NORMALIZATION
Coachman (Unemployed),2,Coachman Unemployed,NORMALIZATION
Coachman - Domestic Svt,2,Coachman Domestic Svt,NORMALIZATION
Coachman - Unemployed,2,Coachman Unemployed,NORMALIZATION
Coachman-(Domestic Servant),2,Coachman Domestic Servant,NORMALIZATION
Coachman-Dom Servt,2,Coachman Dom Servt,NORMALIZATION
Coachman-Dom-Servt,2,Coachman Dom Servt,NORMALIZATION
Coachman-Dom. Servt,2,Coachman Dom. Servt,NORMALIZATION
Coachman-Domestic S,2,Coachman Domestic S,NORMALIZATION
Coachman-Domestic Servt.,2,Coachman Domestic Servt.,NORMALIZATION
Coachman-Servant,2,Coachman Servant,NORMALIZATION
Coachman-Servant Domestic,2,Coachman Servant Domestic,NORMALIZATION
Coachman-Unemployed,2,Coachman Unemployed,NORMALIZATION
Coal Carrier - (Drayman),2,Coal Carrier Drayman,NORMALIZATION
Coal Porter-Laborer,2,Coal Porter Laborer,NORMALIZATION
Coal-Carter,2,Coal Carter,NORMALIZATION
Coal-Miner,2,Coal Miner,NORMALIZATION
Coast Guard-Boatman,2,Coast Guard Boatman,NORMALIZATION
Coffin-Maker,2,Coffin Maker,NORMALIZATION
Collar and Cuffs Turner-out,2,Collar and Cuffs Turner out,NORMALIZATION
Collector-Tolls,2,Collector Tolls,NORMALIZATION
Colonel (Retired),2,Colonel Retired,NORMALIZATION
Color Sergt (Infantry),2,Color Sergt Infantry,NORMALIZATION
Com-Clerk,2,Com Clerk,NORMALIZATION
Coml (Flour) Traveller,2,Coml Flour Traveller,NORMALIZATION
Commander Royal Navy (Retired),2,Commander Royal Navy Retired,NORMALIZATION
Commercial Clerk (Brewers),2,Commercial Clerk Brewers,NORMALIZATION
Commercial Clerk (Coal Trade),2,Commercial Clerk Coal Trade,NORMALIZATION
Commercial Clerk (Distillery),2,Commercial Clerk Distillery,NORMALIZATION
Commercial Clerk (Draper),2,Commercial Clerk Draper,NORMALIZATION
Commercial Clerk (Hardware),2,Commercial Clerk Hardware,NORMALIZATION
Commercial Clerk (Linen Factory),2,Commercial Clerk Linen Factory,NORMALIZATION
Commercial Clerk (Marine Insurance),2,Commercial Clerk Marine Insurance,NORMALIZATION
Commercial Clerk (Painting),2,Commercial Clerk Painting,NORMALIZATION
Commercial Clerk (Tea Trade),2,Commercial Clerk Tea Trade,NORMALIZATION
Commercial Clerk (Wine and Spirit),2,Commercial Clerk Wine and Spirit,NORMALIZATION
Commercial Clerk (Woollen),2,Commercial Clerk Woollen,NORMALIZATION
Commercial Clerk-Flour,2,Commercial Clerk Flour,NORMALIZATION
Commercial Clerk-Linen Bleaching,2,Commercial Clerk Linen Bleaching,NORMALIZATION
Commercial Clerk-Newspaper,2,Commercial Clerk Newspaper,NORMALIZATION
Commercial Clerk-Printing,2,Commercial Clerk Printing,NORMALIZATION
Commercial Clerk-Shipping,2,Commercial Clerk Shipping,NORMALIZATION
Commercial Clerk-Stationery,2,Commercial Clerk Stationery,NORMALIZATION
Commercial Clerks (Biscuit factory),2,Commercial Clerks Biscuit factory,NORMALIZATION
Commercial Traveller (Boots),2,Commercial Traveller Boots,NORMALIZATION
Commercial Traveller (Brewery),2,Commercial Traveller Brewery,NORMALIZATION
Commercial Traveller (Glass),2,Commercial Traveller Glass,NORMALIZATION
Commercial Traveller (Linen),2,Commercial Traveller Linen,NORMALIZATION
Commercial Traveller (Provisions),2,Commercial Traveller Provisions,NORMALIZATION
Commercial Traveller (Stationery),2,Commercial Traveller Stationery,NORMALIZATION
Commercial Traveller-Drapery,2,Commercial Traveller Drapery,NORMALIZATION
Commercial Traveller-Grocery,2,Commercial Traveller Grocery,NORMALIZATION
Commercial Traveller-Tea,2,Commercial Traveller Tea,NORMALIZATION
Compositor - Printer,2,Compositor Printer,NORMALIZATION
Compositor-Printing,2,Compositor Printing,NORMALIZATION
Confectioners (Assistant),2,Confectioners Assistant,NORMALIZATION
Constable (R I C),2,Constable R I C,NORMALIZATION
Constable (R.I.C),2,Constable R.I.C,NORMALIZATION
Constable (R.I.C.),2,Constable R.I.C.,NORMALIZATION
Convict-Dealer Small Wares,2,Convict Dealer Small Wares,NORMALIZATION
Convict-Farmer,2,Convict Farmer,NORMALIZATION
Convict-Pickpocket,2,Convict Pickpocket,NORMALIZATION
Convict-Shoemaker,2,Convict Shoemaker,NORMALIZATION
Cook (Dom Servt),2,Cook Dom Servt,NORMALIZATION
Cook (Domestic Servt),2,Cook Domestic Servant,DICT_LOOKUP; NORMALIZATION
Cook (Servant Domestic),2,Cook Servant Domestic,NORMALIZATION
Cook (Unemployed),2,Cook Unemployed,NORMALIZATION
Cook - D Servant,2,Cook D Servant,NORMALIZATION
Cook - Retired,2,Cook Retired,NORMALIZATION
Cook D-Servant,2,Cook D Servant,NORMALIZATION
Cook Dom-Servant,2,Cook Dom Servant,NORMALIZATION
Cook- Domestic,2,Cook Domestic,NORMALIZATION
Cook-Dom. Servt.,2,Cook Dom. Servt.,NORMALIZATION
Cook-Domestic Sent,2,Cook Domestic Sent,NORMALIZATION
Cook-Domestic servant,2,Cook Domestic servant,NORMALIZATION
Cook-Domestic Servant (Unemployed),2,Cook Domestic Servant Unemployed,NORMALIZATION
Cook-Domestic Srvt,2,Cook Domestic Srvt,NORMALIZATION
Cook-Housekeeper Domestic Servant,2,Cook Housekeeper Domestic Servant,NORMALIZATION
Cook-Servant Domestic,2,Cook Servant Domestic,NORMALIZATION
Cooper (Master),2,Cooper Master,NORMALIZATION
Cooper-Journeyman,2,Cooper Journeyman,NORMALIZATION
Core-Maker at Works,2,Core Maker at Works,NORMALIZATION
Corn Dealer-Shop Keeper,2,Corn Dealer Shop Keeper,NORMALIZATION
Corn-Merchant,2,Corn Merchant,NORMALIZATION
Corset-Maker,2,Corset Maker,NORMALIZATION
Cotton Weaver (Retired),2,Cotton Weaver Retired,NORMALIZATION
Cotton-Drawer in,2,Cotton Drawer in,NORMALIZATION
Creamery Engine-Driver,2,Creamery Engine Driver,NORMALIZATION
Crochet-Lace,2,Crochet Lace,NORMALIZATION
Curate (Church of Ireland),2,Curate Church of Ireland,NORMALIZATION
Curate (Clergyman),2,Curate Clergyman,NORMALIZATION
Cutter (Cloth),2,Cutter Cloth,NORMALIZATION
Cutter (Tailor),2,Cutter Tailor,NORMALIZATION
Cutter (Tailors),2,Cutter Tailors,NORMALIZATION
Cutton-Holer Machine,2,Cutton Holer Machine,NORMALIZATION
Cycle Maker (Employe),2,Cycle Maker Employe,NORMALIZATION
Cycle Maker (Master),2,Cycle Maker Master,NORMALIZATION
D Servant (Cook),2,D Servant Cook,NORMALIZATION
D Servant (General),2,D Servant General,NORMALIZATION
D Servant-Cook,2,D Servant Cook,NORMALIZATION
D Servant-Housemaid,2,D Servant Housemaid,NORMALIZATION
D-Servant,2,Domestic Servant,DICT_LOOKUP; NORMALIZATION
Da? (Flowers),2,Da? Flowers,NORMALIZATION
Dairy - Woman,2,Dairy Woman,NORMALIZATION
Dairy Boy-Domestic,2,Dairy Boy Domestic,NORMALIZATION
