occupation,count,corrected_occupation,change_category
Boatman in Coast Guard Service,1,Boatman in Coast Guard Service,UNCHANGED
Boatman in Coastguard,1,Boatman in Coastguard,UNCHANGED
Boatman in H M Coast Guard,1,Boatman in H M Coast Guard,UNCHANGED
Boatman in H. M. Coastguard,1,Boatman in H. M. Coastguard,UNCHANGED
Boatman in Hill Customs,1,Boatman in Hill Customs,UNCHANGED
Boatman K. M. Coast Guard,1,Boatman K. M. Coast Guard,UNCHANGED
Boatman on Conoll,1,Boatman on Conoll,UNCHANGED
Boatman or Waterman,1,Boatman or Waterman,UNCHANGED
Boatman Scholar,1,Boatman Scholar,UNCHANGED
Boatman Seaman,1,Boatman Seaman,UNCHANGED
Boatman to C.C.S. Packet Co,1,Boatman to C.C.S. Packet Co,UNCHANGED
Boatman's Daughter,1,Boatman's Daughter,UNCHANGED
"Boatman, At School",1,"Boatman, At School",UNCHANGED
"Boatman, At Scool",1,"Boatman, At Scool",UNCHANGED
Boatman. H. M. Coast Guard,1,Boatman. H. M. Coast Guard,UNCHANGED
Boatmand,1,Boatmand,UNCHANGED
Boatmane Coast Guard Service,1,Boatmane Coast Guard Service,UNCHANGED
Boatmans Widow,1,Boatmans Widow,UNCHANGED
Boatmas Wife,1,Boatmas Wife,UNCHANGED
Boatmen Coast Guard,1,Boatmen Coast Guard,UNCHANGED
Boatright,1,Boatright,UNCHANGED
Boats,1,Boats,UNCHANGED
Boats Fireman,1,Boats Fireman,UNCHANGED
Boats in Hotel,1,Boats in Hotel,UNCHANGED
Boats Man Retired No Work,1,Boats Man Retired No Work,UNCHANGED
Boatsman B,1,Boatsman B,UNCHANGED
Boatsman H.M. Coastguard,1,Boatsman H.M. Coastguard,UNCHANGED
Boatswain Seaman,1,Boatswain Seaman,UNCHANGED
Boatswine,1,Boatswine,UNCHANGED
Boax Maker,1,Boax Maker,UNCHANGED
Bobb in Builder,1,Bobb in Builder,UNCHANGED
Bobb? Co?,1,Bobb? Co?,UNCHANGED
Bobbin Bilder,1,Bobbin Bilder,UNCHANGED
Bobbin Borer,1,Bobbin Borer,UNCHANGED
Bobbin Boy,1,Bobbin Boy,UNCHANGED
Bobbin Boy in Flax Mill,1,Bobbin Boy in Flax Mill,UNCHANGED
Bobbin Builder in Flax Mill,1,Bobbin Builder in Flax Mill,UNCHANGED
Bobbin Builder in Mill,1,Bobbin Builder in Mill,UNCHANGED
Bobbin Builder in Spinning Room,1,Bobbin Builder in Spinning Room,UNCHANGED
Bobbin Carrier in Rope Work,1,Bobbin Carrier in Rope Work,UNCHANGED
Bobbin Carrier in Rope Workes,1,Bobbin Carrier in Rope Workes,UNCHANGED
Bobbin Carrier in Rope Works,1,Bobbin Carrier in Rope Works,UNCHANGED
Bobbin Carrier in Spg Mill,1,Bobbin Carrier in Spg Mill,UNCHANGED
Bobbin Carrison in Rope Factory,1,Bobbin Carrison in Rope Factory,UNCHANGED
Bobbin Cleaner,1,Bobbin Cleaner,UNCHANGED
Bobbin Cleaner in Factory,1,Bobbin Cleaner in Factory,UNCHANGED
Bobbin Cleaner in Mill,1,Bobbin Cleaner in Mill,UNCHANGED
Bobbin Cleaner in Spinning Mill,1,Bobbin Cleaner in Spinning Mill,UNCHANGED
Bobbin Eager in Flax Spinning Mill,1,Bobbin Eager in Flax Spinning Mill,UNCHANGED
Bobbin Factory,1,Bobbin Factory,UNCHANGED
Bobbin Maker in Spinning Room,1,Bobbin Maker in Spinning Room,UNCHANGED
Bobbin Manufacturer,1,Bobbin Manufacturer,UNCHANGED
Bobbin Office,1,Bobbin Office,UNCHANGED
Bobbin Packer in Factory,1,Bobbin Packer in Factory,UNCHANGED
Bobbin Packer in Sping Mill,1,Bobbin Packer in Sping Mill,UNCHANGED
Bobbin Piller,1,Bobbin Piller,UNCHANGED
Bobbin Server,1,Bobbin Server,UNCHANGED
Bobbin Shop Manager,1,Bobbin Shop Manager,UNCHANGED
Bobbin Tearer,1,Bobbin Tearer,UNCHANGED
Bobbin Turner in Factory,1,Bobbin Turner in Factory,UNCHANGED
Bobbin Turner Unemployed,1,Bobbin Turner Unemployed,UNCHANGED
Bobbin Weaver,1,Bobbin Weaver,UNCHANGED
Bobbin Winder in Rope Factory,1,Bobbin Winder in Rope Factory,UNCHANGED
Bobbin Winder in Rope Worker,1,Bobbin Winder in Rope Worker,UNCHANGED
Bobbin Winder in Rope Workers,1,Bobbin Winder in Rope Workers,UNCHANGED
Bobbin Winder in Woollen Factory,1,Bobbin Winder in Woollen Factory,UNCHANGED
Bobbin Winder Spinniny Mill,1,Bobbin Winder Spinniny Mill,UNCHANGED
Bobbin Winner,1,Bobbin Winner,UNCHANGED
Bobbin Worker in a Factory,1,Bobbin Worker in a Factory,UNCHANGED
Bobbiner,1,Bobbiner,UNCHANGED
Bobbing Clerk in Factory,1,Bobbing Clerk in Factory,UNCHANGED
Bobbing Winder,1,Bobbing Winder,UNCHANGED
Boben Winder in Factory,1,Boben Winder in Factory,UNCHANGED
Bobin Carrier in Factory,1,Bobin Carrier in Factory,UNCHANGED
Bobin Winder in Linen Factory,1,Bobin Winder in Linen Factory,UNCHANGED
Bobn Winer in Mill,1,Bobn Winer in Mill,UNCHANGED
Bobon Carrier,1,Bobon Carrier,UNCHANGED
Boby,1,Boby,UNCHANGED
Bocomurer,1,Bocomurer,UNCHANGED
Boddy Maker,1,Boddy Maker,UNCHANGED
Bodginghouse Keeper,1,Bodginghouse Keeper,UNCHANGED
Bodice Maker,1,Bodice Maker,UNCHANGED
Bodie Maker,1,Bodie Maker,UNCHANGED
Boding House Kent,1,Boding House Kent,UNCHANGED
Body,1,Body,UNCHANGED
Body Coach Builder,1,Body Coach Builder,UNCHANGED
Body maker,1,Body maker,UNCHANGED
Body Maker Apprentice,1,Body Maker Apprentice,UNCHANGED
Body Sealing in Milk Factory,1,Body Sealing in Milk Factory,UNCHANGED
Bodymaker at Coachmakers,1,Bodymaker at Coachmakers,UNCHANGED
Bodymaker Coachmaker,1,Bodymaker Coachmaker,UNCHANGED
Boet Maker,1,Boet Maker,UNCHANGED
Boffin builder,1,Boffin builder,UNCHANGED
Boffing Mistress in Flax Spinning Mill,1,Boffing Mistress in Flax Spinning Mill,UNCHANGED
Bog Copyist: H M Stationery,1,Bog Copyist: H M Stationery,UNCHANGED
Bog Labourer,1,Bog Labourer,UNCHANGED
Bog Maker,1,Bog Maker,UNCHANGED
Bog Manager,1,Bog Manager,UNCHANGED
Bog Oak Carcer,1,Bog Oak Carcer,UNCHANGED
Bog Oak Carirer in Own Home,1,Bog Oak Carirer in Own Home,UNCHANGED
Bog Oak Carrier,1,Bog Oak Carrier,UNCHANGED
Bog Oak Carver Apprentice to Father,1,Bog Oak Carver Apprentice to Father,UNCHANGED
Bog Oak Corver,1,Bog Oak Corver,UNCHANGED
Bog Oaks Carver,1,Bog Oaks Carver,UNCHANGED
Bog Rangers Wife,1,Bog Rangers Wife,UNCHANGED
Bogie Boy,1,Bogie Boy,UNCHANGED
Bogsak Turner,1,Bogsak Turner,UNCHANGED
Bogwood Merchant,1,Bogwood Merchant,UNCHANGED
Boilarmaker in Iron Works,1,Boilarmaker in Iron Works,UNCHANGED
Boiledmaker,1,Boiledmaker,UNCHANGED
Boilemaker Retired,1,Boilemaker Retired,UNCHANGED
Boilemakers Helper,1,Boilemakers Helper,UNCHANGED
Boilemarker's Assistant,1,Boilemarker's Assistant,UNCHANGED
Boiler and ? Page Carner,1,Boiler and ? Page Carner,UNCHANGED
Boiler and Engine Driver,1,Boiler and Engine Driver,UNCHANGED
Boiler and Steam Pipe Corarer at Ships Works and Factories,1,Boiler and Steam Pipe Corarer at Ships Works and Factories,UNCHANGED
Boiler and Steam Pipe Cover Master,1,Boiler and Steam Pipe Cover Master,UNCHANGED
Boiler and Steam Pipe Coverer,1,Boiler and Steam Pipe Coverer,UNCHANGED
Boiler Apprentice,1,Boiler Apprentice,UNCHANGED
Boiler Attendant in Linen Factory,1,Boiler Attendant in Linen Factory,UNCHANGED
Boiler Attending,1,Boiler Attending,UNCHANGED
Boiler Boy,1,Boiler Boy,UNCHANGED
Boiler Builder,1,Boiler Builder,UNCHANGED
Boiler Coverman,1,Boiler Coverman,UNCHANGED
Boiler Cutter,1,Boiler Cutter,UNCHANGED
Boiler Fireman,1,Boiler Fireman,UNCHANGED
Boiler Firer,1,Boiler Firer,UNCHANGED
Boiler Helper,1,Boiler Helper,UNCHANGED
Boiler in Linen Works,1,Boiler in Linen Works,UNCHANGED
Boiler Inspector for Insurance Co,1,Boiler Inspector for Insurance Co,UNCHANGED
Boiler Labour Unemployed,1,Boiler Labour Unemployed,UNCHANGED
Boiler Macker,1,Boiler Macker,UNCHANGED
Boiler Makeing,1,Boiler Makeing,UNCHANGED
Boiler MaKer,1,Boiler MaKer,UNCHANGED
Boiler Maker and Prenter,1,Boiler Maker and Prenter,UNCHANGED
Boiler Maker and Shipyd,1,Boiler Maker and Shipyd,UNCHANGED
Boiler Maker and Soldier,1,Boiler Maker and Soldier,UNCHANGED
Boiler maker apprentice,1,Boiler maker apprentice,UNCHANGED
Boiler Maker Assistance,1,Boiler Maker Assistance,UNCHANGED
Boiler Maker Assistant,1,Boiler Maker Assistant,UNCHANGED
Boiler Maker Assistant at Manufactory Works Inches,1,Boiler Maker Assistant at Manufactory Works Inches,UNCHANGED
Boiler Maker at Foundry,1,Boiler Maker at Foundry,UNCHANGED
Boiler Maker at Railway Works,1,Boiler Maker at Railway Works,UNCHANGED
Boiler maker at Works,1,Boiler maker at Works,UNCHANGED
Boiler Maker Houlder Up,1,Boiler Maker Houlder Up,UNCHANGED
Boiler Maker in Engin Works,1,Boiler Maker in Engin Works,UNCHANGED
Boiler Maker in Foundry,1,Boiler Maker in Foundry,UNCHANGED
Boiler Maker in Iron Works,1,Boiler Maker in Iron Works,UNCHANGED
Boiler Maker in Linen Factory,1,Boiler Maker in Linen Factory,UNCHANGED
Boiler Maker in Ry Works,1,Boiler Maker in Ry Works,UNCHANGED
Boiler Maker in S.N. Railway,1,Boiler Maker in S.N. Railway,UNCHANGED
Boiler Maker In Ship Yard,1,Boiler Maker In Ship Yard,UNCHANGED
Boiler Maker in Shop,1,Boiler Maker in Shop,UNCHANGED
Boiler Maker Labourer,1,Boiler Maker Labourer,UNCHANGED
Boiler Maker Not Employed,1,Boiler Maker Not Employed,UNCHANGED
Boiler Maker or Riveter,1,Boiler Maker or Riveter,UNCHANGED
Boiler Maker Rialet and Leater,1,Boiler Maker Rialet and Leater,UNCHANGED
Boiler Maker Rivetter,1,Boiler Maker Rivetter,STANDARD
Boiler Maker Shipt,1,Boiler Maker Shipt,UNCHANGED
Boiler Maker wrieter,1,Boiler Maker wrieter,UNCHANGED
Boiler Maker's Apprentace,1,Boiler Maker's Apprentace,UNCHANGED
Boiler Maker's Assist,1,Boiler Maker's Assist,UNCHANGED
"Boiler Maker, Riveter",1,"Boiler Maker, Riveter",UNCHANGED
Boiler Makers,1,Boiler Makers,UNCHANGED
Boiler Makers Apprentice at Works,1,Boiler Makers Apprentice at Works,UNCHANGED
Boiler Makers Assistant,1,Boiler Makers Assistant,UNCHANGED
Boiler Makers Help,1,Boiler Makers Help,UNCHANGED
Boiler Mason,1,Boiler Mason,UNCHANGED
Boiler Plater at Works,1,Boiler Plater at Works,UNCHANGED
Boiler Sealer,1,Boiler Sealer,UNCHANGED
Boiler Smith at Works,1,Boiler Smith at Works,UNCHANGED
Boiler Smyth Assistant at Works,1,Boiler Smyth Assistant at Works,UNCHANGED
Boiler Steam Pipe Coveres,1,Boiler Steam Pipe Coveres,UNCHANGED
Boiler Stoker in Distillery,1,Boiler Stoker in Distillery,UNCHANGED
Boilermaker App,1,Boilermaker App,UNCHANGED
Boilermaker Apprentice,1,Boilermaker Apprentice,UNCHANGED
Boilermaker Assistant,1,Boilermaker Assistant,UNCHANGED
Boilermaker at R Shop,1,Boilermaker at R Shop,UNCHANGED
Boilermaker do Shipyard,1,Boilermaker do Shipyard,UNCHANGED
Boilermaker Helpers Labourer,1,Boilermaker Helpers Labourer,UNCHANGED
Boilermaker in Ship Yarn,1,Boilermaker in Ship Yarn,UNCHANGED
Boilermaker on Employed,1,Boilermaker on Employed,UNCHANGED
Boilermaker Out of Employment,1,Boilermaker Out of Employment,UNCHANGED
Boilermaker Out of Employment Through Sick?,1,Boilermaker Out of Employment Through Sick?,UNCHANGED
Boilermaker Rivetter in Slupyl,1,Boilermaker Rivetter in Slupyl,UNCHANGED
Boilermaker Shipyd,1,Boilermaker Shipyd,UNCHANGED
Boilermaker Unemployed,1,Boilermaker Unemployed,UNCHANGED
Boilermaker's Heater Boy,1,Boilermaker's Heater Boy,UNCHANGED
Boilermaker's Helper,1,Boilermaker's Helper,UNCHANGED
"Boilermaker, Apprentice",1,"Boilermaker, Apprentice",UNCHANGED
Boilermakers App at Works,1,Boilermakers App at Works,UNCHANGED
Boilermakers Appreater,1,Boilermakers Appreater,UNCHANGED
Boilermakers Apprentice,1,Boilermakers Apprentice,UNCHANGED
Boilermakers Helper,1,Boilermakers Helper,UNCHANGED
Boilermakers Labourer in Ship Yd,1,Boilermakers Labourer in Ship Yd,UNCHANGED
Boilermakerswife,1,Boilermakerswife,UNCHANGED
Boilerman,1,Boilerman,UNCHANGED
Boilerminder,1,Boilerminder,UNCHANGED
Boilers Maker Helper on Island,1,Boilers Maker Helper on Island,UNCHANGED
Boilers Maker's Helper,1,Boilers Maker's Helper,UNCHANGED
Boilershop Labourer,1,Boilershop Labourer,UNCHANGED
Boilersmith,1,Boilersmith,UNCHANGED
Boiles Maker,1,Boiles Maker,UNCHANGED
Boilesmaker Apprentice,1,Boilesmaker Apprentice,UNCHANGED
Boiling Manager in Linen Factory,1,Boiling Manager in Linen Factory,UNCHANGED
Boilis Maker Helper,1,Boilis Maker Helper,UNCHANGED
Boilkermaker,1,Boilkermaker,UNCHANGED
Boiller Maker Ap,1,Boiller Maker Ap,UNCHANGED
Boilor Maker Keeper,1,Boilor Maker Keeper,UNCHANGED
Boilor's Makers Helper at Works,1,Boilor's Makers Helper at Works,UNCHANGED
Boilr Maker,1,Boilr Maker,UNCHANGED
Boinbarding of Royal Artillery,1,Boinbarding of Royal Artillery,UNCHANGED
Boker Apprentice,1,Boker Apprentice,UNCHANGED
Bokers Clerk,1,Bokers Clerk,UNCHANGED
Bokers Labourer,1,Bokers Labourer,UNCHANGED
Bokler,1,Bokler,UNCHANGED
Boksellar,1,Boksellar,UNCHANGED
Bolders Clerk,1,Bolders Clerk,UNCHANGED
Boldier Furlough,1,Boldier Furlough,UNCHANGED
Boldier Private in Hland Light Infantry,1,Boldier Private in Hland Light Infantry,UNCHANGED
Bolen Maker,1,Bolen Maker,UNCHANGED
Bolier Landry Grocer,1,Bolier Landry Grocer,UNCHANGED
Boliner Winner,1,Boliner Winner,UNCHANGED
Boller,1,Boller,UNCHANGED
Boller Boy Linen Mill,1,Boller Boy Linen Mill,UNCHANGED
Bollhanger Unemployed,1,Bollhanger Unemployed,UNCHANGED
Bolliermaker,1,Bolliermaker,UNCHANGED
Bollor Maker,1,Bollor Maker,UNCHANGED
Bolt Forger,1,Bolt Forger,UNCHANGED
Bolt Maker Iron Works,1,Bolt Maker Iron Works,UNCHANGED
Bolt Screwer,1,Bolt Screwer,UNCHANGED
Bolter Laberur,1,Bolter Laberur,UNCHANGED
Bomb at Dier Royal Garrison Artillery,1,Bomb at Dier Royal Garrison Artillery,UNCHANGED
Bomb R. Aritillery,1,Bomb R. Aritillery,UNCHANGED
Bombadier R F A,1,Bombadier R F A,UNCHANGED
Bombadier R.R.A.,1,Bombadier R.R.A.,UNCHANGED
Bombadier Royal Artillery R Reserve,1,Bombadier Royal Artillery R Reserve,UNCHANGED
Bombardier,1,Bombardier,UNCHANGED
Bombardier R.F.A.,1,Bombardier R.F.A.,UNCHANGED
Bombardier Royal Field Artillery,1,Bombardier Royal Field Artillery,UNCHANGED
Bombardier Royal Garrison Artillery,1,Bombardier Royal Garrison Artillery,UNCHANGED
"Bombardier, Royal Artilboy",1,"Bombardier, Royal Artilboy",UNCHANGED
Bombarior Royal Regt of Militery,1,Bombarior Royal Regt of Militery,UNCHANGED
Bomber Soldier Army,1,Bomber Soldier Army,UNCHANGED
Bomble Wicklow Arty Militia,1,Bomble Wicklow Arty Militia,UNCHANGED
Bombo and Dier Saddler R F A,1,Bombo and Dier Saddler R F A,UNCHANGED
Bombr. R.F.A,1,Bombr. R.F.A,UNCHANGED
Bon Folder,1,Bon Folder,UNCHANGED
Bon Secours Nun,1,Bon Secours Nun,UNCHANGED
Bon Secours Socur,1,Bon Secours Socur,UNCHANGED
Bon Serour Nun,1,Bon Serour Nun,UNCHANGED
Bonas Apprentic to Printer Compositer,1,Bonas Apprentic to Printer Compositer,UNCHANGED
Bonch of Ireland,1,Bonch of Ireland,UNCHANGED
Bond ?,1,Bond ?,UNCHANGED
Bond Clerk,1,Bond Clerk,UNCHANGED
Bond Sirgh Hins Jasdy,1,Bond Sirgh Hins Jasdy,UNCHANGED
Bond Store,1,Bond Store,UNCHANGED
Bond Store Labourer,1,Bond Store Labourer,UNCHANGED
Bond Store Porter,1,Bond Store Porter,UNCHANGED
Bonded Store Assistant,1,Bonded Store Assistant,UNCHANGED
Bonded Store Clerk,1,Bonded Store Clerk,UNCHANGED
Bonded Store Labourer,1,Bonded Store Labourer,UNCHANGED
Bonded Store Porter,1,Bonded Store Porter,UNCHANGED
Bonded Warehouse Foreman,1,Bonded Warehouse Foreman,UNCHANGED
Bonded Warehouse Keeper,1,Bonded Warehouse Keeper,UNCHANGED
Bonded Warehouse Sert,1,Bonded Warehouse Sert,UNCHANGED
Bonded Warehousekeeper Clerk,1,Bonded Warehousekeeper Clerk,UNCHANGED
Bonderstore Clerk,1,Bonderstore Clerk,UNCHANGED
Bonding Warehouse Keeper,1,Bonding Warehouse Keeper,UNCHANGED
Bonds Royal Artillery,1,Bonds Royal Artillery,UNCHANGED
Bondstore,1,Bondstore,UNCHANGED
Bondstore Labourer,1,Bondstore Labourer,UNCHANGED
Bone Manure Labourer,1,Bone Manure Labourer,STANDARD
Boned Army Pensioner,1,Boned Army Pensioner,UNCHANGED
Boner,1,Boner,UNCHANGED
Boneste at Law Ba Tca,1,Boneste at Law Ba Tca,UNCHANGED
Bonfolder,1,Bonfolder,UNCHANGED
Bonn,1,Bonn,UNCHANGED
Bonnet Cleaner,1,Bonnet Cleaner,UNCHANGED
Bonnet Maker and ?,1,Bonnet Maker and ?,UNCHANGED
Bonnetmaker,1,Bonnetmaker,UNCHANGED
Bonse Coure Nurse,1,Bonse Coure Nurse,UNCHANGED
Boo. Man,1,Boo. Man,UNCHANGED
Boo?,1,Boo?,UNCHANGED
Boock Binder,1,Boock Binder,UNCHANGED
Bood and Shoe Maker,1,Bood and Shoe Maker,UNCHANGED
Bood Keeper,1,Bood Keeper,UNCHANGED
Bood Maker,1,Bood Maker,UNCHANGED
Boods Hotel,1,Boods Hotel,UNCHANGED
Book Agents Wife,1,Book Agents Wife,UNCHANGED
Book and House Draper Sellor,1,Book and House Draper Sellor,UNCHANGED
Book and National Benefit Trust Agent,1,Book and National Benefit Trust Agent,UNCHANGED
Book and Picture Hawker,1,Book and Picture Hawker,UNCHANGED
Book and Shoemaker,1,Book and Shoemaker,UNCHANGED
Book and Song Seller,1,Book and Song Seller,UNCHANGED
Book and Stock Thread Manufacture,1,Book and Stock Thread Manufacture,UNCHANGED
Book Bander,1,Book Bander,UNCHANGED
Book Binder and Finisher,1,Book Binder and Finisher,UNCHANGED
Book Binder Fawards,1,Book Binder Fawards,UNCHANGED
Book Binder Finisher,1,Book Binder Finisher,UNCHANGED
Book Binder Fowarder,1,Book Binder Fowarder,UNCHANGED
Book Binder Master,1,Book Binder Master,UNCHANGED
Book Binder Master General Servant,1,Book Binder Master General Servant,UNCHANGED
Book Binder Trade,1,Book Binder Trade,UNCHANGED
Book Binder Unemploy,1,Book Binder Unemploy,UNCHANGED
Book Binderess,1,Book Binderess,UNCHANGED
Book Binders Clerk,1,Book Binders Clerk,UNCHANGED
Book Binders Finisher,1,Book Binders Finisher,UNCHANGED
Book Bindery Factory,1,Book Bindery Factory,UNCHANGED
Book Binding at Frame in Spinning Mill,1,Book Binding at Frame in Spinning Mill,UNCHANGED
Book Binding Trade,1,Book Binding Trade,UNCHANGED
Book Buider,1,Book Buider,UNCHANGED
Book Butcher,1,Book Butcher,UNCHANGED
Book Canvansser,1,Book Canvansser,UNCHANGED
Book Canvassor,1,Book Canvassor,UNCHANGED
Book Cartaker,1,Book Cartaker,UNCHANGED
Book Cashire,1,Book Cashire,UNCHANGED
Book Closer Seamstress,1,Book Closer Seamstress,UNCHANGED
Book Cover Cutter,1,Book Cover Cutter,UNCHANGED
Book dealer,1,Book dealer,UNCHANGED
Book Domestic Servant,1,Book Domestic Servant,STANDARD
Book Draper,1,Book Draper,UNCHANGED
Book F?lder,1,Book F?lder,UNCHANGED
Book Feder,1,Book Feder,UNCHANGED
Book Fewer,1,Book Fewer,UNCHANGED
Book Folder and Sewer,1,Book Folder and Sewer,UNCHANGED
Book Folder Empd,1,Book Folder Empd,UNCHANGED
Book Folder in Printing Works,1,Book Folder in Printing Works,UNCHANGED
Book Folder Not Employed,1,Book Folder Not Employed,UNCHANGED
Book folding,1,Book folding,UNCHANGED
Book Foldy,1,Book Foldy,UNCHANGED
Book Folow,1,Book Folow,UNCHANGED
Book General,1,Book General,UNCHANGED
Book Keepers,1,Book Keepers,UNCHANGED
Book Keepers Clerk,1,Book Keepers Clerk,UNCHANGED
Book Keeping Clerk,1,Book Keeping Clerk,UNCHANGED
Book Keper,1,Book Keper,UNCHANGED
Book Kpr and Cashier,1,Book Kpr and Cashier,UNCHANGED
Book Labouer,1,Book Labouer,UNCHANGED
Book labourer,1,Book labourer,UNCHANGED
Book Machinest,1,Book Machinest,UNCHANGED
Book maker,1,Book maker,UNCHANGED
Book Maker Clerk,1,Book Maker Clerk,UNCHANGED
Book Manager,1,Book Manager,UNCHANGED
Book Manufacturer,1,Book Manufacturer,UNCHANGED
Book Manufacturing Manager,1,Book Manufacturing Manager,UNCHANGED
Book Mistress in N. S.,1,Book Mistress in N. S.,UNCHANGED
Book Moulder,1,Book Moulder,UNCHANGED
Book of Ireland,1,Book of Ireland,UNCHANGED
Book P,1,Book P,UNCHANGED
Book Publisher,1,Book Publisher,UNCHANGED
Book Publisher's Manager,1,Book Publisher's Manager,UNCHANGED
Book Publisher's Secretary,1,Book Publisher's Secretary,UNCHANGED
Book Reeper Florists Establishment,1,Book Reeper Florists Establishment,UNCHANGED
Book Salesman,1,Book Salesman,STANDARD
Book Salt Miner,1,Book Salt Miner,UNCHANGED
Book seller,1,Book seller,UNCHANGED
Book Seller and C,1,Book Seller and C,UNCHANGED
Book Seller and Newyark,1,Book Seller and Newyark,UNCHANGED
Book Seller and Publisher,1,Book Seller and Publisher,UNCHANGED
Book Seller and Shop Assistant,1,Book Seller and Shop Assistant,UNCHANGED
Book Seller and Stabouer,1,Book Seller and Stabouer,UNCHANGED
Book Seller and Statue Maker,1,Book Seller and Statue Maker,UNCHANGED
Book Seller Cashier,1,Book Seller Cashier,UNCHANGED
Book Seller Draper and Stationer,1,Book Seller Draper and Stationer,UNCHANGED
Book Seller Etc,1,Book Seller Etc,UNCHANGED
Book Seller Master,1,Book Seller Master,UNCHANGED
Book Seller's Assistant,1,Book Seller's Assistant,UNCHANGED
Book Sellers Assistant,1,Book Sellers Assistant,UNCHANGED
Book Sellers Clerk,1,Book Sellers Clerk,UNCHANGED
Book Servey,1,Book Servey,UNCHANGED
Book Source,1,Book Source,UNCHANGED
Book Stall Clark,1,Book Stall Clark,UNCHANGED
Book Stall Manager,1,Book Stall Manager,UNCHANGED
Book Stall Mistress,1,Book Stall Mistress,UNCHANGED
Book Stetcher in Factory,1,Book Stetcher in Factory,UNCHANGED
Book Store Shop Assistant,1,Book Store Shop Assistant,UNCHANGED
Book Stores Annuities,1,Book Stores Annuities,UNCHANGED
Book Tolder,1,Book Tolder,UNCHANGED
Book Trade Publishers,1,Book Trade Publishers,UNCHANGED
Book Trade Shop Man,1,Book Trade Shop Man,UNCHANGED
Book Traveller,1,Book Traveller,UNCHANGED
Book. Keeper in Factory,1,Book. Keeper in Factory,UNCHANGED
Bookbender,1,Bookbender,UNCHANGED
Bookbinder Finisher,1,Bookbinder Finisher,STANDARD
Bookbinder Husband,1,Bookbinder Husband,UNCHANGED
Bookbinder's Apprentice,1,Bookbinder's Apprentice,UNCHANGED
Bookbinder's Blocker,1,Bookbinder's Blocker,UNCHANGED
Bookbinding Blocker,1,Bookbinding Blocker,UNCHANGED
"Bookbinding, Paper Ruler",1,"Bookbinding, Paper Ruler",UNCHANGED
Booke Binder,1,Booke Binder,UNCHANGED
Booke Dealer,1,Booke Dealer,UNCHANGED
Booke Keeper,1,Booke Keeper,UNCHANGED
Bookeeper Assistant,1,Bookeeper Assistant,UNCHANGED
Bookeeper Bookeeper Clerk,1,Bookeeper Bookeeper Clerk,UNCHANGED
Bookeeper County Council Office,1,Bookeeper County Council Office,UNCHANGED
Bookeeper Domestic Servant,1,Bookeeper Domestic Servant,UNCHANGED
Bookeeper Draterfoundry,1,Bookeeper Draterfoundry,UNCHANGED
Bookeeper Grocery,1,Bookeeper Grocery,UNCHANGED
Bookeeper in Brewrey,1,Bookeeper in Brewrey,UNCHANGED
Bookeeper in Carn Mill,1,Bookeeper in Carn Mill,UNCHANGED
Bookeeper in Chandlery Business,1,Bookeeper in Chandlery Business,UNCHANGED
Bookeeper in Linen Warehouse,1,Bookeeper in Linen Warehouse,UNCHANGED
Bookeeper in Mineral Water Trade,1,Bookeeper in Mineral Water Trade,UNCHANGED
Bookeeper in Newspaper office,1,Bookeeper in Newspaper office,UNCHANGED
Bookeeper in Provision and Spirit Store,1,Bookeeper in Provision and Spirit Store,UNCHANGED
Bookeeper in Public Health Office,1,Bookeeper in Public Health Office,UNCHANGED
Bookeeper in Shop,1,Bookeeper in Shop,UNCHANGED
Bookeeper in Tailoring Trade,1,Bookeeper in Tailoring Trade,UNCHANGED
Bookeeper Merchants Office,1,Bookeeper Merchants Office,UNCHANGED
Bookeeper Office Assistant,1,Bookeeper Office Assistant,UNCHANGED
Bookeeper Un Employed,1,Bookeeper Un Employed,UNCHANGED
Bookeeper's Apprentice,1,Bookeeper's Apprentice,UNCHANGED
Bookeeping,1,Bookeeping,UNCHANGED
Bookeller,1,Bookeller,UNCHANGED
"Bookepper, Linen Trade",1,"Bookepper, Linen Trade",UNCHANGED
Booker Dealer,1,Booker Dealer,UNCHANGED
Booker Maker,1,Booker Maker,UNCHANGED
Bookes Maker,1,Bookes Maker,UNCHANGED
Bookfalder,1,Bookfalder,UNCHANGED
Bookfoilder,1,Bookfoilder,UNCHANGED
Bookfolder at Factory,1,Bookfolder at Factory,UNCHANGED
Bookfoldering,1,Bookfoldering,UNCHANGED
Bookfolding,1,Bookfolding,UNCHANGED
Bookholder,1,Bookholder,UNCHANGED
Booking Clerk M.G.W.R,1,Booking Clerk M.G.W.R,UNCHANGED
Booking Clerk on Rly Line,1,Booking Clerk on Rly Line,UNCHANGED
Booking Clerks,1,Booking Clerks,UNCHANGED
Booking Office Railway Clerk,1,Booking Office Railway Clerk,UNCHANGED
"Bookkeeper ""Drapers""",1,"Bookkeeper ""Drapers""",UNCHANGED
Bookkeeper and Cashier Brick Wks,1,Bookkeeper and Cashier Brick Wks,UNCHANGED
Bookkeeper and Commercial Traveller Wholesale Tea Trade,1,Bookkeeper and Commercial Traveller Wholesale Tea Trade,UNCHANGED
Bookkeeper and General Clerk Solicitor's Office,1,Bookkeeper and General Clerk Solicitor's Office,UNCHANGED
