occupation,count,corrected_occupation,change_category
Farmer and Shoemaker,1116,Farmer and Shoemaker,STANDARD
Saddler,1093,Saddler,UNCHANGED
Soldier,1086,Soldier,UNCHANGED
Cotton Weaver,1069,Cotton Weaver,STANDARD
Stitcher,1057,Stitcher,UNCHANGED
Winder,1042,Winder,UNCHANGED
Carman,1036,Carman,UNCHANGED
Commercial Traveller,1035,Commercial Traveller,STANDARD
Railway Clerk,1011,Railway Clerk,STANDARD
Spade Maker,1011,Spade Maker,STANDARD
No Employment,994,No Employment,STANDARD
Bootmaker,991,Bootmaker,STANDARD
Hemstitcher,991,Hemstitcher,UNCHANGED
Housekeeper and Knitter,987,Housekeeper and Knitter,STANDARD
Steward and Farm Manager,987,Steward and Farm Manager,UNCHANGED
Housekeeping,963,Housekeeping,UNCHANGED
Printer,961,Printer,UNCHANGED
Harness Maker,958,Harness Maker,STANDARD
Engine Driver,932,Engine Driver,STANDARD
Miller,866,Miller,UNCHANGED
Land Steward,858,Land Steward,STANDARD
Grocer's Assistant,856,Grocer's Assistant,STANDARD
Pedlar,850,Pedlar,STANDARD
Washerwoman,846,Washerwoman,UNCHANGED
Linen Winder,841,Linen Winder,STANDARD
Sewer,841,Sewer,UNCHANGED
Rural Postman,840,Rural Postman,STANDARD
Bank Clerk,837,Bank Clerk,STANDARD
Seaman,832,Seaman,UNCHANGED
Fish Dealer,820,Fish Dealer,STANDARD
Not at School,813,Not at School,STANDARD
Barmaid,806,Barmaid,STANDARD
Hospital Nurse,804,Hospital Nurse,STANDARD
House Maid Domestic Servant,803,House Maid Domestic Servant,STANDARD
Dividends,786,Dividends,UNCHANGED
Engine Fitter,775,Engine Fitter,STANDARD
Unemployed,768,Unemployed,UNCHANGED
Dairy Maid,765,Dairy Maid,STANDARD
Boatman,762,Boatman,UNCHANGED
Car Owner,761,Car Owner,STANDARD
Cook Domestic,747,Cook Domestic,STANDARD
House Carpenter,746,House Carpenter,STANDARD
Medical Student,744,Medical Student,UNCHANGED
Coach Builder,729,Coach Builder,STANDARD
Farmer Labourer,714,Farmer Labourer,STANDARD
Boot and Shoe Maker,712,Boot and Shoe Maker,STANDARD
Iron Moulder,710,Iron Moulder,STANDARD
Book Folder,705,Book Folder,STANDARD
Factory Hand,702,Factory Hand,STANDARD
Compositor,700,Compositor,UNCHANGED
Coal Miner,697,Coal Miner,STANDARD
Coal Labourer,696,Coal Labourer,STANDARD
Spirit Merchant,678,Spirit Merchant,STANDARD
Shop Porter,673,Shop Porter,STANDARD
Farm Labour,670,Farm Labour,STANDARD
Fireman,667,Fireman,UNCHANGED
Mendicant,662,Mendicant,UNCHANGED
No,658,No,UNCHANGED
Engine Fitter at Works,655,Engine Fitter at Works,STANDARD
French Polisher,655,French Polisher,STANDARD
Farmer Sister,647,Farmer Sister,STANDARD
Engineer,640,Engineer,UNCHANGED
Sawyer,637,Sawyer,UNCHANGED
Van Man,635,Van Man,STANDARD
Carrier,631,Carrier,UNCHANGED
Wool Spinner,628,Wool Spinner,STANDARD
Coach Painter,626,Coach Painter,STANDARD
Reeler,626,Reeler,UNCHANGED
Road Contractor,623,Road Contractor,STANDARD
Retired Grocer,622,Retired Grocer,STANDARD
Brewery Labourer,621,Brewery Labourer,STANDARD
House Servant,620,House Servant,STANDARD
Builder,619,Builder,UNCHANGED
Religious,615,Religious,UNCHANGED
Washer Woman,608,Washer Woman,STANDARD
Railway Servant,603,Railway Servant,STANDARD
Telegraphist,595,Telegraphist,UNCHANGED
Groom Domestic Servant,593,Groom Domestic Servant,STANDARD
Slater,592,Slater,STANDARD
Fitter,589,Fitter,UNCHANGED
Fowl Dealer,585,Fowl Dealer,STANDARD
Linen Lapper,585,Linen Lapper,STANDARD
Music Teacher,582,Music Teacher,STANDARD
Game Keeper,573,Game Keeper,STANDARD
Boarder,570,Boarder,STANDARD
Interest of Money,567,Interest of Money,STANDARD
Veiner,567,Veiner,UNCHANGED
Iron Turner,566,Iron Turner,STANDARD
Herdsman,560,Herdsman,UNCHANGED
Factory Girl,557,Factory Girl,STANDARD
Monitress,557,Monitress,UNCHANGED
Smith,555,Smith,UNCHANGED
Houskeeper,554,Houskeeper,UNCHANGED
Publican and Farmer,548,Publican and Farmer,STANDARD
Insurance Agent,546,Insurance Agent,UNCHANGED
Boiler Maker,545,Boiler Maker,STANDARD
Dairyman,543,Dairyman,UNCHANGED
Civil Engineer,541,Civil Engineer,STANDARD
Labourer in Iron Works,540,Labourer in Iron Works,STANDARD
Stonecutter,540,Stonecutter,UNCHANGED
Waiter,538,Waiter,UNCHANGED
Linen Spinner,534,Linen Spinner,STANDARD
Shipwright,534,Shipwright,STANDARD
Lace Worker,528,Lace Worker,STANDARD
Railway Guard,526,Railway Guard,STANDARD
Butler,525,Butler,STANDARD
F Daughter,524,F Daughter,STANDARD
Parlour Maid Domestic Servant,524,Parlour Maid Domestic Servant,STANDARD
Nothing,523,Nothing,STANDARD
