NAME,gender,1996_count,1997_count,1998_count,1999_count,2000_count,count,90sCount
AARIV,M,0,0,0,0,0,17,0
AARIYA,F,0,0,0,0,0,77,0
AARIYAH,F,0,0,0,0,0,10,0
AARIYAN,M,0,0,0,0,0,61,0
AARIZ,M,0,0,0,0,0,365,0
AARNA,F,0,0,0,0,0,147,0
AARNAV,M,0,0,0,0,0,77,0
AARO,M,0,0,0,0,0,3,0
AAROHI,F,0,0,0,0,0,53,0
AARON-JAY,M,0,0,0,0,0,7,0
AARONJIT,M,0,0,3,0,0,3,3
AARON-JOHN,M,0,0,0,0,0,3,0
AARON-JUNIOR,M,0,0,0,0,0,10,0
AARON-LEE,M,0,0,3,0,0,3,3
AARONVEER,M,0,4,0,3,0,14,7
AAROON,M,0,3,3,0,0,12,6
AARSH,M,0,0,0,0,0,3,0
AARTHI,F,0,0,4,0,0,7,4
AARUHI,F,0,0,0,0,0,3,0
AARUN,M,5,0,4,4,4,46,17
AARUSAN,M,0,0,0,0,0,3,0
AARUSH,M,0,0,0,0,0,327,0
AARUSHI,F,0,0,0,0,0,115,0
AARVI,F,0,0,0,0,0,23,0
AARVIN,M,0,0,0,0,0,7,0
AARYA,F,0,0,0,0,0,312,0
AARYA,M,0,0,0,0,0,45,0
AARYAHI,F,0,0,0,0,0,3,0
AARYAN,M,0,0,3,3,0,818,6
AARYANA,F,0,0,0,0,0,3,0
AARYANNA,F,0,0,0,0,0,3,0
AARYAV,M,0,0,0,0,0,13,0
AARYN,M,0,0,0,0,0,6,0
AARYUN,M,0,0,0,0,0,3,0
AARYZ,M,0,0,0,0,0,3,0
AARZO,F,0,0,0,0,0,3,0
AARZOO,F,0,0,0,4,6,29,10
AARZU,F,0,0,0,0,0,6,0
AASHA,F,0,0,0,0,3,35,3
AASHI,F,0,0,0,0,0,80,0
AASHIKA,F,0,0,0,0,0,13,0
AASHIR,M,0,0,0,5,0,66,5
AASHISH,M,0,3,0,0,0,25,3
AASHIYANA,F,0,0,0,0,0,3,0
AASHMAN,M,0,0,0,0,0,3,0
AASHNA,F,0,0,3,0,0,66,3
AASHNI,F,0,0,3,3,0,30,6
AASHRITHA,F,0,0,0,0,0,4,0
AASHRIYA,F,0,0,0,0,0,3,0
AASHVI,F,0,0,0,0,0,24,0
AASIA,F,0,4,4,0,0,56,8
AASIF,M,0,0,0,0,0,6,0
AASIM,M,5,4,6,6,0,107,21
AASIYA,F,3,0,7,5,6,160,21
AASIYAH,F,3,8,8,8,8,305,35
AASTHA,F,0,0,0,0,0,19,0
AATHAVAN,M,0,0,0,0,0,7,0
AATHAVI,F,0,0,0,0,0,3,0
AATHIRA,F,0,0,0,0,0,4,0
AATHISH,M,0,0,0,0,0,3,0
AATIF,M,6,0,4,5,3,51,18
AATIFA,F,0,0,0,0,0,3,0
AATIKA,F,0,3,3,0,0,31,6
AATIKAH,F,4,0,0,4,3,58,11
AATIQA,F,0,0,0,0,0,8,0
AATIQAH,F,0,3,0,0,0,11,3
AATISH,M,4,0,0,0,0,4,4
AAVA,F,0,0,0,0,0,16,0
AAVAI,M,0,0,0,0,0,4,0
AAVISH,M,0,0,0,0,0,3,0
AAVNI,F,0,0,0,0,0,4,0
AAVYA,F,0,0,0,0,0,8,0
AAYA,F,0,0,0,0,0,46,0
AAYAAN,M,0,0,0,0,0,38,0
AAYAH,F,0,0,0,0,0,78,0
AAYAN,M,0,0,0,0,0,935,0
AAYANA,F,0,0,0,0,0,10,0
AAYANSH,M,0,0,0,0,0,15,0
AAYAT,F,0,0,0,0,0,177,0
AAYATH,F,0,0,0,0,0,4,0
AAYDEN,M,0,0,0,0,0,6,0
AAYESHA,F,3,0,0,0,0,14,3
AAYLA,F,0,0,0,0,0,34,0
AAYLIAH,F,0,0,0,0,0,3,0
AAYMA,F,0,0,0,0,0,3,0
AAYRA,F,0,0,0,0,0,6,0
AAYRAH,F,0,0,0,0,0,3,0
AAYSHA,F,0,0,0,0,0,12,0
AAYUSH,M,3,4,0,4,0,242,11
AAYUSHI,F,0,0,0,0,0,35,0
AAYZA,F,0,0,0,0,0,4,0
AAZAN,M,0,0,0,0,0,3,0
AAZEEN,F,0,0,0,0,0,7,0
ABA,F,0,0,0,0,3,9,3
ABAAN,M,0,0,0,0,0,67,0
ABAAS,M,0,0,4,5,4,28,13
ABAGAEL,F,0,0,0,4,0,4,4
ABAIGEAL,F,0,0,0,0,0,3,0
ABAN,M,0,0,0,0,0,32,0
ABANOUB,M,3,0,0,0,0,3,3
ABBAAS,M,0,3,0,3,0,27,6
ABBASS,M,0,3,0,0,0,3,3
ABBEE,F,3,0,0,3,0,6,6
ABBEYGAYLE,F,4,0,0,0,0,4,4
ABBEY-LEIGH,F,0,0,0,0,0,8,0
ABBEY-LOUISE,F,0,0,0,3,0,3,3
ABBIE-GAIL,F,0,0,0,0,4,4,4
ABBIEGAYLE,F,0,0,3,0,0,3,3
ABBIE-GAYLE,F,3,0,0,0,0,3,3
ABBIE-GRACE,F,0,0,0,0,0,3,0
ABBIE-JAI,F,0,0,0,0,0,3,0
ABBIE-JANE,F,0,0,0,0,0,3,0
ABBIE-LEA,F,0,0,0,0,0,3,0
ABBIE-LEE,F,0,0,0,0,4,4,4
ABBIELOUISE,F,0,0,3,0,0,3,3
ABBIE-MAI,F,0,0,0,0,0,6,0
