NAME,gender,count,90sCount,AdjustedCount
ALESIA,F,160,11,160
ALESSANDRA,F,415,107,415
ALESSI,F,7,7,7
ALESSIA,F,1026,113,1026
ALETHEA,F,197,42,197
ALETIA,F,6,3,6
ALEX,F,2957,1202,2957
ALEXA,F,3419,166,3419
ALEXANDRA,F,19405,6429,19405
ALEXANDREA,F,69,37,69
ALEXANDRIA,F,1087,418,1087
ALEXI,F,365,0,122
ALEXIA,F,3306,281,3306
ALEXIE,F,267,3,267
ALEXINA,F,14,8,14
ALEXIS,F,4876,275,4876
ALEXUS,F,166,3,166
ALEYA,F,87,8,87
ALEYNA,F,320,22,320
ALEYSHA,F,128,42,128
ALFIE,F,20,5,20
ALI,F,16,3,16
ALIA,F,887,191,887
ALIAH,F,139,29,139
ALICA,F,40,0,13
ALICE,F,49691,10630,49691
ALICEA,F,20,8,20
ALICE-LOUISE,F,3,3,3
ALICE-ROSE,F,44,5,44
ALICIA,F,11626,2992,11626
ALICJA,F,1280,26,1280
ALIDA,F,7,4,7
ALIDIA,F,3,3,3
ALIESHA,F,249,52,249
ALIKA,F,68,12,68
ALIMA,F,305,80,305
ALIMAH,F,84,13,84
ALINA,F,2094,288,2094
ALINE,F,53,6,53
ALIS,F,110,15,110
ALISA,F,739,94,739
ALISCIA,F,12,3,12
ALISE,F,174,11,174
ALISHA,F,13304,3323,13304
ALISHAH,F,149,35,149
ALISHA-MARIE,F,29,6,29
ALISHBA,F,1209,20,1209
ALISHIA,F,276,116,276
ALISIA,F,309,41,309
ALISON,F,10337,615,10337
ALISSA,F,853,97,853
ALISSIA,F,426,19,426
ALITA,F,12,4,12
ALIVIA,F,734,67,734
ALIX,F,822,396,822
ALIXANDRA,F,30,18,30
ALIYA,F,1555,247,1555
ALIYAH,F,3417,489,3417
ALIYSHA,F,30,7,30
ALIYYAH,F,109,26,109
ALIZA,F,1775,41,1775
ALIZE,F,40,3,40
ALLANA,F,338,90,338
ALLANAH,F,237,83,237
ALLANNA,F,12,9,12
ALLANNAH,F,59,9,59
ALLEGRA,F,604,57,604
