firstNameCap,count
ELLA,402
ROSEANNA,395
ANGELA,393
DANL,393
MORTIMER,393
SYDNEY,393
FREDK,390
BRIDGID,385
JOSHUA,385
SINON,384
LIZZY,381
SARRAH,381
MAT,380
ELISA,379
DAISY,378
GILBERT,378
LIZIE,378
JOHNSTON,376
ROSIE,374
WILSON,372
MAGIE,370
BELINDA,369
IRENE,368
KATTY,368
PADDY,368
MAGRET,367
MICHAIL,364
DORAH,363
VALENTINE,363
JENNY,360
JOSIE,359
MARYAN,358
ANDY,353
ANNEY,353
REDMOND,350
MADELINE,348
RACHAEL,344
MARGERT,340
GRETTA,339
FLORRIE,338
EASTER,337
HUMPHREY,336
MINA,336
AGNUS,332
EILY,332
ELLAN,331
MURIEL,331
BIDDY,330
LIZA,327
OLIVIA,325
BEE,324
FLORA,322
LOUISE,321
AUGUSTINE,320
JONATHAN,320
ALLEN,318
SUSANA,317
ALEXR,316
BERTIE,316
ELLENOR,316
CATHERINA,315
PHIL,314
CONNELL,312
GARRET,309
SUSANNAH,296
FRANCESS,294
LEONARD,294
LAURANCE,291
KITTY,290
ABBEY,288
HANNAGH,288
JANNIE,287
ROSANNE,283
ELENA,280
CHARLEY,279
EMELY,279
FANNEY,277
CONNOR,276
ROSEANN,275
CORNEILUS,271
DINAH,269
LOUSIA,269
BLANCHE,266
MADGIE,266
EDDY,263
MATHIAS,263
STANLEY,263
ELIZZA,262
ROSA,262
ELIZZIE,261
FRANCIES,261
HONOUR,259
LEZZIE,258
RODY,258
ALLAN,256
BARTLE,256
OWN,256
KATHRINE,254
ROSANA,253
RUBY,253
MC,252
ADELINE,251
LIZZE,250
TERESSA,250
ARABELLA,247
ELENOR,247
MARGRETTA,247
CONDY,246
GORGE,246
WILLAM,245
BEDELIA,244
PHOEBE,244
SALLY,243
ABBY,242
BRIDGIT,242
CHRISTINE,240
EVELEEN,236
LESLIE,236
ALPHONSUS,235
UNITY,235
DANIAL,234
CORNELUIS,233
GERALDINE,233
TERRENCE,233
CHARLOTT,232
MILDRED,232
JOHANAH,231
NANNO,231
CATHREN,227
DOROTHEA,227
GREGORY,225
LAWERENCE,222
ROBINA,222
ABBIE,220
PAULINE,220
LAVINIA,218
GORDON,217
META,217
ELIZIA,216
ROSINA,215
THOMPSON,214
CATH,212
JERH,212
MARGARETTA,212
ARCHY,211
CECILY,210
EARNEST,209
CATHERNE,207
DOUGLAS,206
MARCUS,205
BRIDGT,204
JEAN,203
VERONICA,203
