NAME,count
ARMEN,1
ARMIN,117
ARNAUD,37
ARNAV,481
ARNE,33
ARNIE,182
ARNO,20
ARNOLD,3165
ARO,18
ARON,1685
AROON,24
ARPAD,2
ARRAN,1809
ARREN,54
ARRIE,4
ARRON,2100
ARRUN,19
ARRY,63
ARSALAAN,69
ARSALAN,188
ARSHAD,88
ARSLAAN,46
ARSLAN,148
ART,170
ARTE,1
ARTEM,28
ARTHUR,40055
ARTIE,27
ARTUR,391
ARTURO,87
ARTY,5
ARUN,1419
ARUNDEEP,87
ARVIN,337
ARVIND,113
ARVINDER,17
ARWEL,83
ARWYN,39
ARYA,347
ARYAMAN,15
ARYAN,2637
ARYEH,89
ASA,786
ASAD,749
ASAM,33
ASGHAR,9
ASH,204
ASHA,69
ASHANTI,3
ASHAR,123
ASHBY,4
ASHDON,188
ASHER,1588
ASHFAQ,44
ASHFORD,7
ASHIL,3
ASHIR,55
ASHISH,74
ASHLEA,3
ASHLEE,171
ASHLEIGH,210
ASHLEY,15705
ASHLIE,7
ASHLIN,22
ASHLY,9
ASHOK,14
ASHRAF,281
ASHRAFUL,30
ASHTON,8410
ASHUR,1
ASHVIK,3
ASHVIN,138
ASHWIN,496
ASIF,272
ASIM,615
ASLAM,23
ASLAN,65
ASRIEL,1
ASSAD,56
ASSAM,1
ASSAN,4
ASSER,1
ASSIM,8
ASTEN,19
ASTIN,56
ASTON,2551
ASWIN,57
ATEEQ,53
ATHANASIOS,29
ATHAR,9
ATHELSTAN,1
ATIF,329
ATILA,2
ATILLA,47
ATISH,10
ATLAS,17
ATLEY,1
ATREYU,4
ATTICUS,374
ATTILA,24
ATUL,6
AUBREY,293
AUDEN,19
AUGUST,119
AUGUSTAS,27
AUGUSTIN,91
AUGUSTINE,138
AUGUSTUS,359
AUREL,10
AURELIO,14
AURON,5
AUSTEN,402
AUSTIN,6322
AUSTYN,117
AVAIS,41
AVERY,50
AVI,326
AVIEL,2
AVINASH,130
AVRAHAM,100
AVRAM,29
AVROHOM,218
AWAIS,1005
AWEN,2
AWESOME,4
AXEL,688
AXL,128
AXTON,6
AYAN,694
AYAZ,287
AYDAN,256
AYDEN,1437
AYDIN,689
AYMAN,1426
AYMEN,257
AYNSLEY,5
AYOBAMI,66
AYODEJI,134
AYODELE,71
AYOMIDE,436
AYOMIKUN,65
AYOOLA,27
AYOTUNDE,40
AYOUB,389
AYRON,20
AYRTON,514
AYUB,813
AYUSH,420
AYYUB,312
AZAAN,904
AZAD,137
AZAM,52
AZARIAH,30
AZEEM,290
AZEEZ,19
AZHAR,198
AZHARUL,8
AZIAH,14
AZIM,113
AZIZ,203
AZIZUL,7
AZIZUR,19
AZLAN,47
AZRAEL,2
AZRIEL,8
BABAJIDE,14
BABAK,12
BABAR,16
BABATUNDE,79
BABOUCARR,30
BABY,171
BADEN,90
BADER,58
BADR,68
BAHRAM,10
BAILEE,181
BAILEIGH,32
BAILEY,13857
BAILEY-JAMES,56
BAILIE,100
BAILLIE,79
BAILY,105
BALAL,42
BALDEEP,29
BALDWIN,1
BALIN,6
BALJEET,12
BALJINDER,9
BALRAJ,248
BALTAZAR,1
BALTHAZAR,38
BAMIDELE,23
BAPTISTE,46
BARACK,9
BARAKA,3
BARAN,341
BARCLAY,55
BARDIA,22
BARIS,125
BARKLEY,17
BARNABAS,285
BARNABY,3330
BARNEY,1166
BARNIE,3
BARNY,7
BARON,48
BARRIE,1559
BARRINGTON,12
BARRY,12623
BART,10
BARTEK,29
BARTHOLOMEW,146
BASEL,2
BASHEER,5
BASHIR,124
BASIL,1560
BASIM,9
BASIT,74
BASSAM,38
BASSEL,3
BASTIAN,15
BASTIEN,5
BATU,7
BAXTER,309
BAYLEE,228
BAYLEIGH,78
BAYLEY,743
BAYLIE,31
BAZIL,2
BEAR,38
BEAU,3220
BEAUMONT,12
BEAUREGARD,1
BEAUX,3
BECK,261
BECKETT,18
BECKHAM,54
BEDE,75
