NAME,gender,count,90sCount,AdjustedCount
AANIS,M,3,0,1
AANISAH,F,59,38,59
AANISHA,F,3,0,1
AANIYA,F,31,0,10
AANIYAH,F,34,0,11
AANVI,F,6,0,2
AANYA,F,522,8,522
AAQIB,M,136,22,136
AAQIL,M,36,0,12
AARA,F,43,0,14
AARABI,F,7,0,2
AARADHYA,F,71,0,24
AARAIZ,M,3,0,1
AARALYN,F,3,0,1
AARANI,F,10,0,3
AARATHANA,F,3,0,1
AARAV,M,1058,0,353
AAREN,M,27,4,27
AAREZ,M,13,0,4
AARIA,F,49,0,16
AARIAH,F,10,0,3
AARIAN,M,50,0,17
AARIANA,F,10,0,3
AARIB,M,45,0,15
AARIC,M,3,0,1
AARIF,M,25,10,25
AARIFA,F,3,0,1
AARIFAH,F,68,7,68
AARIKA,F,12,0,4
AARIN,M,26,0,9
AARINI,F,6,0,2
AARIS,M,4,0,1
AARISH,M,25,0,8
AARISHA,F,3,0,1
AARIT,M,5,0,2
AARIV,M,17,0,6
AARIYA,F,77,0,26
AARIYAH,F,10,0,3
AARIYAN,M,61,0,20
AARIZ,M,365,0,122
AARNA,F,147,0,49
AARNAV,M,77,0,26
AARO,M,3,0,1
AAROHI,F,53,0,18
AARON-JAY,M,7,0,2
AARONJIT,M,3,3,3
AARON-JOHN,M,3,0,1
AARON-JUNIOR,M,10,0,3
AARON-LEE,M,3,3,3
AARONVEER,M,14,7,14
AAROON,M,12,6,12
AARSH,M,3,0,1
AARTHI,F,7,4,7
AARUHI,F,3,0,1
AARUN,M,46,17,46
AARUSAN,M,3,0,1
AARUSH,M,327,0,109
AARUSHI,F,115,0,38
AARVI,F,23,0,8
AARVIN,M,7,0,2
AARYA,F,312,0,104
AARYA,M,45,0,15
AARYAHI,F,3,0,1
AARYAN,M,818,6,818
AARYANA,F,3,0,1
AARYANNA,F,3,0,1
AARYAV,M,13,0,4
AARYN,M,6,0,2
AARYUN,M,3,0,1
AARYZ,M,3,0,1
AARZO,F,3,0,1
AARZOO,F,29,10,29
AARZU,F,6,0,2
AASHA,F,35,3,35
AASHI,F,80,0,27
AASHIKA,F,13,0,4
AASHIR,M,66,5,66
AASHISH,M,25,3,25
AASHIYANA,F,3,0,1
AASHMAN,M,3,0,1
AASHNA,F,66,3,66
AASHNI,F,30,6,30
AASHRITHA,F,4,0,1
AASHRIYA,F,3,0,1
AASHVI,F,24,0,8
AASIA,F,56,8,56
AASIF,M,6,0,2
AASIM,M,107,21,107
AASIYA,F,160,21,160
AASIYAH,F,305,35,305
AASTHA,F,19,0,6
AATHAVAN,M,7,0,2
AATHAVI,F,3,0,1
AATHIRA,F,4,0,1
AATHISH,M,3,0,1
AATIF,M,51,18,51
AATIFA,F,3,0,1
AATIKA,F,31,6,31
AATIKAH,F,58,11,58
AATIQA,F,8,0,3
AATIQAH,F,11,3,11
AATISH,M,4,4,4
AAVA,F,16,0,5
AAVAI,M,4,0,1
AAVISH,M,3,0,1
AAVNI,F,4,0,1
AAVYA,F,8,0,3
AAYA,F,46,0,15
AAYAAN,M,38,0,13
AAYAH,F,78,0,26
AAYAN,M,935,0,312
AAYANA,F,10,0,3
AAYANSH,M,15,0,5
