occupationClaude,count
Labouerers,3
Labour Aculter,3
Labour Domestic Servant,3
Labour Iron Work,3
Labour Man,3
Labour Master,3
Labour Water Works,3
Labour in Farm,3
Labour in Iron Work,3
Labour on Railway,3
Laboura,3
Laboure Brewery,3
Laboure Wife,3
Laboure's Daughter,3
Labourer Agl Wife,3
Labourer Agra,3
Labourer Agrel,3
Labourer Agricrl,3
Labourer Agricul.,3
Labourer Agricultual,3
Labourer Agricultul,3
Labourer Baker,3
Labourer Bleach Works,3
Labourer Boiler Shop,3
Labourer Bread Server,3
Labourer Brewery Employe,3
Labourer Build,3
Labourer Butcher,3
Labourer Cordite Factory,3
Labourer Corn Store,3
Labourer Councle,3
Labourer D.Servant,3
Labourer Dairy,3
Labourer Dairyman,3
Labourer Distilery,3
Labourer Domestic Sert,3
Labourer Farmer's Son,3
Labourer Flax,3
Labourer Foreman,3
Labourer Form,3
Labourer G. N. R,3
Labourer Gas House,3
Labourer Gas Work,3
Labourer Gasworks,3
Labourer Genal,3
Labourer Genarl,3
Labourer Geneal,3
Labourer General Domestic,3
Labourer Generl.,3
Labourer Genlr,3
Labourer Gent,3
Labourer Ghus,3
Labourer Herd,3
Labourer In Iron Works,3
Labourer Iron Worker,3
Labourer Labourer,3
Labourer Limestone Quarry,3
Labourer Malt House,3
Labourer Mason's,3
Labourer Mother,3
Labourer Night Watchman,3
Labourer Plumbers,3
Labourer Pork Store,3
Labourer Pottery,3
Labourer Queens Island,3
Labourer Railway Man,3
Labourer Road Making,3
Labourer Soap Works,3
Labourer Steel Works,3
Labourer Stonebreak,3
Labourer Tanyard,3
Labourer Tram,3
Labourer Water Works,3
Labourer Window Cleaner,3
Labourer Works at Bleach Green,3
Labourer and Farm,3
Labourer and Mason,3
Labourer and Servant,3
Labourer and Shepherd,3
Labourer at Bleach Green,3
Labourer at Chemical Works,3
Labourer at Coal,3
Labourer at Distillery,3
Labourer at Dock,3
Labourer at Harbour,3
Labourer at Machines,3
Labourer farm,3
Labourer in Bottle Factory,3
Labourer in Brewary,3
Labourer in Brick Factory,3
Labourer in Builders Yard,3
Labourer in Cement Work,3
Labourer in Chemical Work,3
Labourer in Chemical Yard,3
Labourer in Cloth Factory,3
