occupationClaude,count
Kennel Huntman,1
Kennel Huntsman,1
Kennel Servant,1
Kennell Keeper,1
Kennell Man,1
Kennell Man Feeding Hounds,1
Kennels Huntsman,1
Keper,1
Keper Daughter,1
Keping House,1
Keps Hous,1
Keps House,1
Kept House,1
Kept House for Husband,1
Kept a Cabin,1
Kept by Charity,1
Kept by Sister,1
Kept by Son in Law,1
Kept by Son in law,1
Kept by a Brother,1
Kept by a Friend,1
Kept by her Son in law,1
Kept by her Sons No Occupation,1
Kept of Relatives,1
Keptliy Daughter,1
Keptly Relative,1
Kerchief Folder,1
Kerengerandthouse,1
Kern Stitcher,1
Kern Winder,1
Kerner out in Workman,1
Kerry Knitter,1
Key Porter,1
Key labourer,1
Keys House,1
Kiarrie,1
Kichen Maid Domestic Servant,1
Kichenmaid Domestic Servant,1
Kichn Maid Dom,1
Kid,1
Kid Cutcher and Labourer,1
Kiddel Maker,1
Kids Car Driver,1
Kieveman,1
Kiggler,1
Kilchen Boy,1
Kiling Rabbits,1
Kill Burner,1
Killanney,1
Killarney Asylum Pensioner,1
Killn Man,1
Kilman Com Mills,1
Kiln Boy,1
Kiln Man Corn Mill,1
Kiln Man Domestic Servant,1
Kiln Man and Agrcult Labourer,1
Kiln Man in Belleek Pottery,1
Kiln Man in Corn Mill,1
Kiln Man in born Mill,1
Kiln Man's Son,1
Kilnman Corn Mill,1
Kilnman Domestic Servant,1
Kilnman and Labourer,1
Kilnman in Pottery,1
Kilnmans Daughter,1
Kilnmon,1
Kilnonan in Corn Mill,1
Kiluman,1
Kin Smith,1
Kindercarter Teacher,1
Kindergarten Governess,1
Kindly clarify the following doubts,1
Kinerant,1
Kinerant Violinist,1
King and Seal Engraver,1
King's Counsel,1
King's Counsel M A,1
King's Counsel in Practice,1
King's Counsel. In Actual Practice,1
King's Messenger,1
King's Scholar Training College,1
Kingat Bachlor I P Managing Director City of Dublin Steam ?,1
Kinght Hospital Nurse,1
Kings Bench Clerk Four Courts,1
Kings Co,1
Kings College Cambridge Undergraduates,1
Kings Comorl,1
Kings Connal or Practice,1
Kings Council,1
Kings Council in Actual Mecher,1
Kings Counsel IP,1
Kings Counsel In Actual Practice,1
Kings Counsel JP is in only Partial Practise at the Bar,1
Kings Counsel Practicing,1
Kings Counsel Practising,1
Kings Counsel Retired From Practise,1
Kings Counsel and Practising Barrister,1
Kings Counsel and Second Sergeant at Law Retired from Practice,1
Kings Counsel in Actual Practice,1
Kings Counsil M A S S D,1
Kings Counsil Practising,1
Kings County Event to Practice,1
Kings L. Guards,1
Kings Rends Office,1
Kinner,1
Kinnetter,1
Kinotter,1
Kinsters Smoother,1
Kint and Sew,1
Kinting Labour,1
Kipien House,1
Kitch Maid Domestic,1
Kitch. Md. D. S,1
Kitchan Maid Dom Servant,1
Kitchan Maid Dom Servt,1
Kitchan Maid Domestic Servant Not Employed,1
Kitchan Maid Servant,1
Kitchan Porter,1
Kitchanmaid Domestic Sernt,1
Kitcheen Maid Domestic Servant,1
Kitchemaid,1
Kitcheman Domestic Serv,1
Kitchen Apprentice,1
Kitchen Attendant,1
Kitchen Cook,1
Kitchen Domestic Maid,1
Kitchen Gardener,1
Kitchen Girl D S,1
Kitchen Girl Dom Servant,1
Kitchen Girl Domestic,1
Kitchen Help,1
Kitchen Laundry Maid,1
Kitchen M Dometic Servant,1
Kitchen Mad Domestic Servt,1
Kitchen Maid ?,1
Kitchen Maid Asylum,1
Kitchen Maid Cook Domestic Servt,1
Kitchen Maid D Ser,1
Kitchen Maid D Sert,1
Kitchen Maid D Servt,1
Kitchen Maid D. S,1
Kitchen Maid D. Sert,1
Kitchen Maid D. Srvt,1
Kitchen Maid Do Servt,1
Kitchen Maid Doemstic Servant,1
Kitchen Maid Dom Sert,1
Kitchen Maid Dom Servt.,1
Kitchen Maid Dom Sevt,1
Kitchen Maid Dom. Servant,1
Kitchen Maid Dom. Servt.,1
Kitchen Maid Domc Servant,1
Kitchen Maid Domc Servt,1
Kitchen Maid Domestic S.,1
Kitchen Maid Domestic Serant,1
Kitchen Maid Domestic Serv,1
Kitchen Maid Domestic Sevat,1
Kitchen Maid Domestic Svt,1
Kitchen Maid Dtc Servt,1
