occupationClaude,count
Nurse and Domestic Servant,15
Nursery Labourer,15
Obstetric Nurse,15
Office Keeper,15
P L Weaver,15
Park Butcher,15
Penitent All Laundresses Employed in Good Shephrd Convent,15
Pensioner's Daughter,15
Pensioners Son,15
Photography,15
Pianist,15
Pig Drover,15
Pipe Layer,15
Pork Merchant,15
Post Office Asst,15
Post Office Pensioner,15
Postal Messenger,15
Postal and Telegraph Clerk,15
Private Life,15
Process Server,15
Provision Store,15
R. I. Constabulary,15
Railway Employee,15
Railway Surface Man,15
Raily Porter,15
Religions of order St John of God,15
Religious Community Srs of Mercy,15
Religious Presentation Order,15
Retired Clergyman,15
Retired Mason,15
Retired National School Teacher,15
Retired Pilot,15
Returned American,15
Rly Station Master,15
Rover in Flax Mill,15
Rural Letter Carrier,15
S. holder,15
Saddlier,15
Saw Mill Labourer,15
School Boys,15
Seamstreess,15
Seemster,15
Sergeant R. I. C,15
Shcholar,15
Shipyard Driller,15
Shirt Factory Manager,15
Shop Assistant Tobacconist,15
Shopboy,15
Shopkeeper Daughter,15
Shorthand and Typewriter,15
Sisters of Mercy Superioress Religious,15
Slator and Plasterer,15
Smiths Labourer,15
Smoothers,15
Solicitor's Assistant,15
Solicitors Articled Clerk,15
Solictor,15
Spinner in Spining Mill,15
Spinning Mill,15
Stitchers,15
Tailer,15
Tailor's Son,15
Tan Yard Labourer,15
Teacher N. S,15
Teaching Order of Nuns,15
Teaching Sisterhood,15
Teaching in Schools,15
Telegraph Learner,15
Telephone Inspector,15
Ticket Writer,15
Tobacco Manufacturer,15
Tobacco Packer,15
Tram Car Conductor,15
Traveller Pedlar,15
Travler,15
Twine Baller,15
Under Gardener,15
Van Conductor,15
Van man,15
"Veiner, Linen Factory",15
Ware House Man,15
Warehouseman Drapery,15
Wareroom Girl,15
Weaver in Tweed Factory,15
Winder Flax,15
Wire Weaver,15
Worker in Tobacco Factory,15
Working in the House,15
at School,15
Agl Labour,14
Agricul Labour,14
Agricultural Lab.,14
Agricultural Labourers Widow,14
Angler,14
Apprentice Brass Finisher,14
Apprentice Shipwright,14
Apprentice to Hardware,14
Armey Pensioner,14
Army Pensioner and General Labourer,14
Army Schoolmaster,14
Assistant Butcher,14
Assistant Post Mistress,14
Assisting Mother,14
Asst Farmer,14
At Schooll,14
Attending Chool,14
Authoress,14
Bank Teller,14
Banker's Clerk,14
Bankers Clerk,14
Barrister in Actual Practice,14
Beetler Linen,14
Begger Woman,14
Bettler,14
Bicycle Maker,14
Black Smiths Daughter,14
Blacksmith Wife,14
Blacksmith's Apprentice,14
Bleach Worker,14
Bleach Works,14
Blouse Maker,14
Boatman and Farmer,14
Boats Man,14
Boot Assistant,14
Boot Shop Manager,14
Boot Top Cutter,14
Bread Driver,14
Brewery Labour,14
Brick Burner,14
Brick Layer's Labourer,14
Broom Maker,14
Builder and Farmer,14
Button Holer,14
Cab and Car Owner,14
Carmelite Men,14
Carmilite Man,14
Carpenter General,14
Carriage Fitter,14
Carriage Smith,14
Cashier Bank of Ireland,14
Clergyman of Church of Ireland,14
Clerk Apprentice,14
Clerk Linen Factory,14
Clerk in Railway,14
Clerk in Shirt Factory,14
Cloth Dyer,14
Coachman D S,14
Coachman's Wife,14
Commercial Clerk Draper,14
Conductor,14
Constable,14
Cooke Domestic,14
Corkcutter,14
Corporation Official,14
Corporation Watchman,14
Costermonger,14
Cotton Reeler,14
Cow Boy,14
Cushion Maker,14
Cycle Manufacturer,14
Cycle Repairer,14
Dairy Girl,14
Dairy Man's Daughter,14
Dealer in Fish and C,14
Domestic Servant Kitchenmaid,14
Domestick,14
Draper Shop Assistant,14
Draper and Publican,14
Draper and c,14
Drapers Saleswoman,14
Dreesmaker,14
Dressmaker at Home,14
Driller Ship Yard,14
Druggist Apprentice,14
Eggler,14
Engineer's Apprentice,14
Engineering Student,14
Factory Machinest,14
Famer's Son,14
Famers Wife,14
Farm Labourer Wife,14
Farm Labourer's Daughter,14
Farm Servant General,14
Farm labourer,14
Farmer Dauther,14
Farmer Servants,14
Farmer and Bailiff,14
Farmer and Caretaker,14
Farmer and Dressmaker,14
Farmer and Pensioner,14
Farmer and Relieving Officer,14
Farmer daughter,14
Farmer'ess,14
Farmers Dr,14
Farmers Son Labourer,14
Farmers Uncle,14
Farming Work,14
Farmrs Son,14
Fitter in Factory,14
