occupationClaude,count
Insurance Surveyor,4
Interest House Property,4
Interest of Money No Occupation,4
Interest on Home Property,4
Invalided Soldier,4
Ireland Revenue Officer 1st Class,4
Irion Moulder,4
Irish Inspector of School,4
Irish Lace Making,4
Irish Land Commission,4
Iron Finisher,4
Iron Machinist,4
Iron Mongers Apprentice,4
Iron Planer,4
Iron Plater,4
Iron Turner in Mill,4
Iron moulder,4
Ironmongers Clerk,4
J P Income From House Property,4
J P and Farmer,4
J. P. Farmer,4
J. P. Land Agent,4
J.P Farmer,4
J.P. Gentleman Farmer,4
J.P. Land Owner,4
J.P. Merchant,4
J.P. and Farmer,4
Jacob's Factory,4
Jam Maker,4
Jarvey Man,4
Jarvy,4
Jeweller Apprentice,4
Jewellery Traveller,4
Jobbing Gardener,4
Jobbing Smith,4
Jobing Smith,4
Joiner On Strike,4
Journeyman Painter,4
Junier Clerk,4
Junior Teacher,4
Jute Factory Labour,4
Jute Operator,4
Jute Setter,4
Jute Softner,4
Keep House for Brother,4
Kennelman,4
Kindergarten Teacher,4
Kitchen Gardner,4
Kitchen Maid D,4
Kitchen Maid Domestic Sert,4
Kitchen Servant,4
Kitchen maid,4
Kitchenmaid D S,4
Kitchenmaid Servant,4
Knitter Stocking,4
Knitter and Sewer,4
Knitting Factory,4
Knitting Sewing,4
L Farmer,4
L Printer,4
L Weaver Linen,4
Lab Wife,4
Laberiour,4
Laberors Wife,4
Laberour Agric,4
Laberour Agricultural,4
Laberourer,4
Labler,4
Labo,4
Laborar,4
Laborer Carrier,4
Laborer Wife,4
Laborers,4
Laboriour,4
Laborurer,4
Labouer Dock,4
Labouer Genl,4
Labouers Wife,4
Labour Agrl.,4
Labour Builder,4
Labour Corporation,4
Labour Foundry,4
Labour Gas Works,4
Labour Generally,4
Labour Genl.,4
Labour Gl,4
Labour Railway,4
Labour in Bleach Works,4
Labour in Gas Works,4
Laboure Farm,4
Labourer Ag.,4
Labourer Agriclt,4
Labourer Agricultur,4
Labourer Army Pensioner,4
Labourer Attending Masons,4
Labourer Bottling Store,4
Labourer Brevery,4
Labourer Brick Layers,4
Labourer Coal Quay,4
Labourer Coal Yard,4
Labourer D.S,4
Labourer Engine Works,4
Labourer Flax Rougher,4
Labourer Flour Mills,4
Labourer Foundary,4
Labourer Foundry Iron,4
Labourer General Labourer,4
Labourer Gl.,4
Labourer Goss,4
Labourer Ironworks,4
Labourer Itinerant,4
Labourer Lamplighter,4
Labourer Lime Works,4
Labourer Manure Works,4
Labourer Pensioner,4
Labourer Platers Helper,4
Labourer Quarryman,4
Labourer Quary,4
Labourer Surface Man,4
Labourer Surfaceman,4
Labourer Wine Porter,4
Labourer Yard Man,4
Labourer Yardman,4
Labourer Yarn Bundler,4
Labourer and Army Pensioner,4
Labourer and Carman,4
Labourer and Dealer,4
Labourer and Shopkeeper,4
Labourer at Gas Works,4
Labourer at Iron Foundry,4
Labourer at Mill,4
Labourer at Saw Mill,4
Labourer at Shipyard,4
Labourer in Bleach and Dye Works,4
Labourer in Bond Store,4
Labourer in Cement Mills,4
Labourer in City Council,4
Labourer in Dairy Yard,4
Labourer in Iron Yard,4
Labourer in Jute Works,4
Labourer in Laundry,4
Labourer in Mines,4
Labourer in Nursery,4
Labourer in Printing Works,4
Labourer in Soap Work,4
Labourer in Spinning Factory,4
Labourer in Steel Works,4
Labourer in Stone Yard,4
Labourer in Stores,4
Labourer in Timber yard,4
Labourer in Warehouse,4
Labourer in Wool Factory,4
Labourer in a Corn Mill,4
Labourer in a Flour Mill,4
Labourer not Employed,4
Labourer of Land,4
Labourer on Farmer,4
Labourer on Land,4
