occupationClaude,count
Biscuit Manufacturer Agent,1
Biscuit Manufacturer J. P,1
Biscuit Manufacturer's Clerk,1
Biscuit Ornamentar,1
Biscuit Ornamenter in Factory,1
Biscuit Ornemetal,1
Biscuit Pack in Factory,1
Biscuit Packer Factory,1
Biscuit Packer Man,1
Biscuit Packer in Marsh and Co Factor,1
Biscuit Packer ploys,1
Biscuit Packet,1
Biscuit Paker,1
Biscuit Picker,1
Biscuit Sarter,1
Biscuit Sorter,1
Biscuit Tacker,1
Biscuit Tin Cleaner,1
Biscuit Van Driver,1
Biscuit and Cake Packer,1
Biscuit factory girl,1
Biscuit of Nackerin Jacob Factory,1
Biscuit's Commercial Traveller,1
Biscuite Baker,1
Biscuite Machine Labourer,1
Biscuites Baker Departmental Manager,1
Biscuits Factory Packers,1
Biscuits and Cakes Commercial Traveller,1
Biscut Factory Laborer,1
Biscut Factory Woman,1
Biscut Goes to Factory,1
Biscut Maker,1
Biscute Factory Worker,1
Biscute Packer,1
Biscutt Packer,1
Bisfiller Clk Manager,1
Bishop Ch of Ireland,1
Bishop Church of Ireland,1
Bishop Retired,1
Bishop Retired of the Church of Ireland Doctor of Diversity,1
Bishop of Clerker Church of Ireland,1
Bishop of Cloyne,1
Bishop of Down and Connor and Drumore in Church of Ireland,1
Bishop of Elphin,1
Bishop of Kerry,1
Bishop of Killalae,1
Bishop of Limerick,1
Bishop of Meath,1
Bishop of Ossory,1
Bishop of Trapery po?,1
Bishop of Willamina,1
Bishop's Curate,1
Biskcut Weaver,1
Bisket Factory,1
Bisket Factory Labour,1
Bisket Factory Worker,1
Bisness in Factory,1
Bissim Maker,1
Bister Maker,1
Bit and S?yrups,1
Bit and Stirrup Manufacturer,1
Biuscuit Factory,1
Biusket Packer,1
Bizzan Maker,1
Bk Corter,1
Bk Folder and Driver,1
Bk Laborer Clerk,1
Bk Labourer A S Corp,1
Bk Sellers Office Clerk,1
Bk Sergeant,1
Bk Sergt A. L. Carps,1
Bk Sergt Ri Consty,1
Bk Servant T.R.I.C,1
Bk Smith's Daughter,1
Bk Smyth,1
Bk Warden,1
Bk Warden Aseaps,1
Bk Wardens Wife,1
Bk. Servant,1
Bk. Warden,1
Bks Clerk in Military,1
Bl Labourer,1
Bl Smith and Weaving Factory,1
Bl'k Smith's Apprentice,1
Bl. Smith,1
Bl?n Superintending,1
Bla Smith,1
Blac,1
Blac and Farmer Farmer Wife,1
Blach Smith,1
Blached Line Yarn Finisher,1
Blacher Yarn,1
Blaching Labourer,1
Black Borer,1
Black Green Labourer,1
Black Lead Maker,1
Black Linen Dyer,1
"Black Master, Smith",1
Black Printer Cotton,1
Black Printer in Works,1
Black S Apprentice,1
Black Sith,1
Black Smith Apprentic,1
Black Smith Aprentice,1
