occupationClaude,count
Manager Hosiery Factory,1
Manager Hotel,1
Manager House,1
Manager House Farnishing,1
Manager House farm?,1
Manager Household,1
Manager Houser,1
Manager Hydropathic Establish,1
Manager I'Hara's Blind and Shutter Factory,1
Manager Ibrex Store,1
Manager Ice Factory,1
Manager Importer Coal,1
Manager Indestries,1
Manager Ins Co,1
Manager Insurance Coy,1
Manager Ira Trade,1
Manager Irish Twins Newspaper,1
Manager Ironmonger,1
Manager Ironmongers,1
Manager Iver Lighters,1
Manager Jewellery Est,1
Manager Jewellery Estabiliment,1
Manager Jewelles,1
Manager Joining Works,1
Manager Knitter Industry,1
Manager Lead Works,1
Manager Leather and Boot Dept.,1
Manager Leather and Boot Shop,1
Manager Lemster Boot Co,1
Manager Lever Bros Ld Branch Dublin Office Soap Manufacturer,1
Manager Licd Public House,1
Manager Licensed Public House,1
Manager Line Creamery,1
Manager Linen ?,1
Manager Linen Hdkf Business,1
Manager Linen Hkg Laundry,1
Manager Linen Merchant,1
Manager Linen Stitching Factory,1
Manager Linen Wareroom,1
Manager Linen Warhouseman,1
Manager Linen Wearing Factory,1
Manager Livery Business,1
Manager Loan Co,1
Manager Loan Office,1
Manager Longford ?,1
Manager Machinery W House,1
Manager Maet Houses,1
Manager Malone Reformatory,1
Manager Manufactory Confectioner,1
Manager Match Factory,1
Manager Med Press,1
Manager Mercantle Office,1
Manager Merchant Room,1
Manager Meter Works,1
Manager Milk Factory,1
Manager Mill,1
Manager Mineral Water and Beer Battling,1
Manager Munster Lenistor Bank,1
Manager Munster and Leinster Bank Lel Bandon,1
Manager Music Shop,1
Manager Musical Depot,1
Manager N R Jacob and Co,1
Manager National,1
Manager Natl Bank,1
Manager New Spinning Mill,1
Manager Oatmeal Mill,1
Manager Office,1
Manager Oil Works,1
Manager Oyster,1
Manager Oyster Saloon,1
Manager P B,1
Manager P House,1
Manager Palace Theatre,1
Manager Pawn Berkers Office,1
Manager Pawn Broker's,1
Manager Pawn Office,1
Manager Piano Warehouse Linen Business,1
Manager Postery ?,1
Manager Printing Dept,1
Manager Printing Trade,1
Manager Printworks,1
Manager Provincial Bank,1
Manager Provision Business,1
Manager Provision Warehouse,1
Manager Provison Store,1
Manager Public Company,1
Manager Public Ho,1
Manager Public Laundry,1
Manager Publicans Assistant,1
Manager Publichouse,1
Manager R l Y Club,1
Manager Rainforte Warehouse,1
Manager Ready Made Clothing Manufactory,1
Manager Ref and Reving,1
Manager Refresh Rooms,1
Manager Retail Spirit Bus,1
Manager Retired Bank,1
Manager Salmon Fishery,1
Manager Saw Mill,1
Manager Sawmill,1
Manager Seed Establishment,1
Manager Serv mills,1
Manager Servants Agency,1
Manager Sewing Machine Cycle,1
Manager Shert Factory,1
Manager Shirt and Collar Factory and Laundry,1
Manager Shirt and Cotton Factory,1
Manager Shoe Factory,1
Manager Shoe Trade,1
Manager Shop Book Keeper,1
Manager Shop Works,1
Manager Silver and Electric Plate,1
