occupationClaude,count
Commercial Book Keeper,6
Commercial Clerk Brewers,6
Commercial Clerk Linen Factory,6
Commercial Clerk Newspaper,6
Commercial Clerk Wine Trade,6
Commercial Traveller Brewery,6
Commercial Traveller Paper,6
Commercial Traveller Provisions,6
Commercial Travler,6
Commericial Clerk,6
Commison Agent,6
Comn Agent,6
Confectionery Shop Assistant,6
Const R.I.Consty,6
Constable R.I C,6
Constable R.I. Constby,6
Constable in R I C,6
Constable of R. I. C,6
Constables Daughter,6
Constables Son,6
Contracter,6
Cook Cutter,6
Cook Dom Sert,6
Cook General Domestic Servant,6
Cook Keeper,6
Cook in Hotel,6
Cook not Employed,6
Cook. D. Servant,6
Cooking,6
Cooper Brewery,6
Cop Winder,6
Cordwainer,6
Cork Cutter Master,6
Corporation,6
Corporation Inspector,6
Cottier and Agricultural Labourer,6
Cotton Beetler,6
Cotton Finisher,6
Cotton Sprigger,6
Cotton Weaver Unemployed,6
Cotton Weaver in Mill,6
Cotton Winder in Mill,6
Couper,6
Creamery Man,6
Crocheter and Lace,6
Crocheting,6
D General Servant,6
D M P Constable,6
D Servant H Keeper,6
D. Servant General,6
Dack Labourer,6
Daily work,6
Dairey Man,6
Dairy Maid Domestic Servt,6
Dairy Mans Wife,6
Dairymans Wife,6
Damack Weaver,6
Damask Card Cutter,6
Damask Cutter,6
Damask Worker,6
Damask Worker in Mill,6
Dealer Fruit and C,6
Dealer Hardware,6
Dealer Provision,6
Dealer in Furniture,6
Dealer in Small Waves,6
Dealers Wife,6
Delivery Porter,6
Delivery Van Driver,6
Demostic Servant,6
Dentist Apprentice,6
Deriving Income from Dividends,6
Deriving Income from Interest of Money,6
Dess Maker,6
Director of Public Companies,6
Dispatch Clerk,6
Distellery Labourer,6
Distiller's Clerk,6
Distillers Agent,6
Distillery Manager,6
District Inspector Royal Irish Constabulary,6
District Midwife,6
Dividends Interest,6
Dividends and Interest of Money,6
Dm Servant,6
Doch Labourer,6
Docks Labourer,6
Doctors Daughter,6
Doctors Wife,6
Doffer Factory,6
Doffer Yarn,6
Doffer in Linen Factory,6
Domest Servt,6
Domestic Gardener Servant,6
Domestic General Labourer,6
Domestic Genl,6
Domestic Gl Servant,6
Domestic Groom Servant,6
Domestic House Wife,6
Domestic Laundress,6
Domestic Parlourmaid,6
Domestic Servant Out of Employment,6
Domestic Servant P Maid,6
Domestic Servant Scullery Maid,6
Domestic Servant Stable Boy,6
Domestic Servant and Cook,6
Domestic Servt. General,6
Domestic St,6
Domestic Unemployed,6
Domestic and Farm Servant,6
Domestics,6
Dormitory Maid,6
Draftsman,6
