occupationClaude,count
A Brass Finisher,1
A Brick Layer,1
A Bricklayers,1
A Builders Labourer,1
A Bundler in the Mill Spinning,1
A Cambric Server,1
A Carder in A Spinning Mill,1
A Cart Benter,1
A Catter,1
A Coachman,1
A Coachman Domestic Servant,1
A Compositor,1
A Cooper and Labourer,1
A Corker,1
A Corn Miller,1
A Cot Man,1
A Cotter,1
A Cottier Having No Occupation,1
A Cottler,1
A Country Tenant,1
A Cripple No Occupation,1
A Cutter in Shirt Factory,1
A Dairy Fire Man,1
A Dealer Also Delph,1
A Dealer in Groceries and Provision,1
A Desling Woman,1
A Doffer of Flax,1
A Drawer in Flax Spinning Mill,1
A Dressmaker,1
A Driller,1
A E R Labourer,1
A Factory Worker,1
A Farm Daughter,1
A Farm Laboure,1
A Farmer Labourer,1
A Farmer Shop Keeper,1
A Farmer Svt,1
A Farmer's Boy,1
A Farmer's Servant,1
A Farmers Mother,1
A Farmers Svt,1
A Farmour,1
A Farnerr,1
A Feeder to a Printer,1
A Fires Man,1
A Fish Dealer,1
A Fish Saleswoman,1
A Flax Dresser,1
A Flax Spinner,1
A Flower Maker,1
A Folder,1
A Foreman Over Works,1
A Fruiter,1
A G A. Domestic,1
A G L Labour,1
A G R L Farm Labourer,1
A Gaffer of Gassworks,1
A Gardener,1
A General Agent and Business Man,1
A General Altround May,1
A General Farm Servant,1
A General Hand in Warehouse,1
A General Laborer,1
A General Labour,1
A General Servant Domes,1
A General Svt,1
A Gricultural Labourer,1
A Grocer Assistant,1
A Groom,1
A Guinness Son and Co Ltd,1
A Hamp,1
A Hand Loom Weaver,1
A Hard,1
A Hard Tryer in Spinning Mill Worker,1
A Help,1
A Help H Keeper,1
A Helper in Restarant,1
A Helper on Farm,1
A Helper on House,1
A Hemstitcher,1
A Herd Farmer,1
A Herd's Man,1
A Hird,1
A Home Worker,1
A Hous Keeper,1
A House Atender,1
A House Holder,1
A House Holder Only,1
A House Keepper,1
A House Maid Domest,1
A House Painter,1
A Housekeeper Servant,1
A Hundred of Dividends,1
A Iron Moulder,1
A Juneir Worker in a Sewing Factory,1
A Kantic Cable Operator,1
A Knight's Widow,1
A L Daughter,1
A Labbor,1
A Laborrer,1
A Labour Daughter,1
A Labour on the Council,1
A Laboure,1
A Labourer Daughter,1
A Labourer Farm,1
A Labourer In Foundry,1
A Labourer and Scholar,1
A Labourer and Small Shop,1
A Labourer in Linen Coy,1
A Labourer in Linen Cy,1
A Labourer in Mill,1
A Labourer in Woolen Mill,1
A Labouring Boy,1
A Labrour,1
A Lady Artist,1
A Lady Living on Interest of Money,1
A Lady None,1
A Lady of means,1
A Lady's Maid,1
"A Lady, No Occupation",1
A Laibourer,1
A Lalbour,1
A Laour,1
A Lengin House Work,1
A Linen Weaver,1
A Linen Wever,1
A Linen Winder in Factory,1
A Little Shop,1
A Luck Smiths Holper,1
A M,1
A M I C E Engineer and Architect to the earl of ?,1
A M I P Solicitor,1
A M Schoolmaster,1
A Magistrate,1
A Maiden Lady Work,1
A Man About his Labourer,1
A Market Man,1
A Mason,1
A Master's Son,1
A Measurer in Domask and Linen Factory,1
A Mesenger,1
A Message Boy,1
A Message boy,1
A Militia Man,1
A Militiaman,1
A Milker and Assistant,1
A Milker and Creamery Boy,1
A Mill Doffer,1
A Mill Labourer,1
A Miller,1
A Miller in the Mill,1
A Milliner,1
A Millinery Sh,1
A Molder,1
A Moulder,1
A National School Teacher,1
A Navvy Labourer,1
A Navy Pensioner,1
A Needle Work Chequer or Examiner in Wareroom,1
A Netter,1
A News Paper Seller,1
A None Occupied by Self Annuity Interest Dividends No Occupation,1
A P Boiler Maker,1
A P Carpenter,1
A P Painter,1
A P. Dressmaker,1
A P. Machine Printer,1
A Painter,1
A Parish Pricot,1
A Past Labourer,1
A Patient,1
A Penchoner,1
A Pensioned Matron of Workhouse,1
A Pensioner,1
A Pensioner 2and K L K,1
A Pensioner Army,1
A Pensioner R I R,1
A Pensioner from the American Army,1
A Pensr and Cooper,1
A Person Living Private Having ? Annuity for life,1
A Photograph,1
A Pin Boy,1
A Plasterer,1
A Plate Layer,1
A Ploughman,1
A Police Carry,1
A Poor Dependant,1
A Poor Man Wanting Charity and Lodings,1
A Poor Pauper,1
A Porter for a Publican,1
A Porter in Drapery Establishment,1
A Post Man,1
A Post and Land Agents,1
A Postman,1
A Postmestress,1
A Poultry Feeding,1
A Prentice Ship Reviter,1
A Preparer,1
A Preparer in Mill,1
A Printer,1
A Printer Upholstress,1
A Private Militar,1
A Publican,1
A Quay Labour Unemployed,1
A R,1
A R Postman,1
A Railway Porter,1
A Reeler,1
A Reeler in Mill Linen,1
A Reeller Flax,1
A Religions of the Order of Mercy,1
A Retired Agricultural Labourer,1
A Retired Clergyman of the Church of England,1
A Retired Dealer,1
A Retired Farmer and J.P,1
A Retired Merchant,1
A Road Man,1
A Roman Catholic C.C.,1
A Ruler in Mill,1
A S C and T Post Office,1
A S Gardener,1
A S?other,1
A Sailor,1
A Salor,1
A Sawyer,1
A Scholar Son,1
A School Pubil,1
A School Teacher,1
A Schoralar,1
A Sclolar,1
A Seaman,1
A Seller of Cokes Sweets ie,1
A Sergt R.I.C.on Pension and a Farmer,1
A Sergt in the R.I.C,1
A Sheppered,1
A Shoe Maker,1
A Sholar,1
A Shollar,1
A Shop Girl,1
A Shop Keeper Pensioner from R I C,1
A Slaters Labourer,1
A Small Dealer,1
A Small Pension,1
A Smith Helper,1
A Smyth,1
A Smyth By Trade,1
A Soldier,1
A Soldier in 3rd Hussars on Furlough,1
A Spiner,1
A Spinner Flax,1
A Spinner in Woolen Factory,1
A Spinner of Wool,1
A Spreader in A Spinning Mill,1
A Spreader in Spinning Mill,1
A Spriger,1
A Stable Man,1
A State Co Work,1
A Steam Liser,1
A Stitcher,1
A Stoker in his Magesty Service,1
A Stone Mason a Time ago now a Farmer,1
A Student of Medicine,1
A Student of Theology,1
A Superannuated Troope from Dal Police and Farmer,1
A Supt Telegraphs,1
A Taxing Martin of the High Court of Instin Ireland,1
A Tea Traveller,1
A Teacher National School,1
A Telephone Operate,1
A Tenter,1
A Travellar,1
A Travelling Vagrant,1
A Twine Baller,1
A Vagrant,1
A Van Man,1
A Vice Folder,1
A Visitor,1
A Washer,1
A Water Woman,1
A Weaver 'Linen',1
A Weaver Lin,1
A Weft Winder,1
A Weighing Clerk,1
A Widow Farmer,1
A Widow Shores,1
A Winder in Factory,1
A Winder in Linen Factory,1
A Wool Finisher,1
A Woolen Weaver,1
A Woolen Winder,1
A Worker in a wood Factory,1
A Yearly Income No Occuption,1
A herdsman,1
A labourer,1
A nun,1
"A, S, H,",1
A. Agricultural Labourer,1
A. B Mariner Irish Lights Service,1
"A. B, R. N. R",1
A. B. Landowner and Farmer,1
A. B. R. N.,1
A. B. S. S. Moya,1
A. B. Seamon,1
A. Carpenter,1
A. Clergyman f Church of Ireland,1
A. Clhg Factory Meshinest,1
A. Cook,1
