occupationClaude,count
Unknown,886439
Scholar,869893
Farmer,390224
Farmer's Son,230064
Farmer's Daughter,172080
Housekeeper,133414
Agricultural Labourer,82585
Labourer,77350
Farm Servant,67653
General Labourer,63183
Domestic Servant,50041
Seamstress,43423
Farmer's Wife,41753
General Domestic Servant,40355
Dressmaker,39456
Farm Labourer,38689
Servant,22391
Carpenter,18696
General Servant,17434
Pupil,15575
Shop Assistant,14606
No Occupation,14427
Linen Weaver,13028
Shopkeeper,11512
Tailor,11225
Blacksmith,10465
Shoemaker,9075
Fisherman,8673
Farmer's Sister,8605
Housewife,8546
Retired Farmer,8429
Clerk,7604
Laundress,7422
Infant,7393
Nil,7304
Cook Domestic Servant,6891
Baker,6382
Attending School,6305
School,5778
At School,5505
Wife,5352
Grocer,5314
Mill Worker,4569
Shepherd,4554
Farmer's Brother,4434
Charwoman,4201
School Boy,4117
Student,4101
Bootmaker,4067
Milliner,4032
Publican,4020
Assistant,3947
Teacher,3941
Draper's Assistant,3920
National Teacher,3783
Painter,3734
Draper,3726
Machinist,3661
Gardener,3613
Butcher,3530
Postman,3495
Labourer's Wife,3421
Nurse,3380
Grocer's Assistant,3360
Cook,3297
Mason,3189
Herd,3185
Coachman,3036
Cattle Dealer,2997
Dealer,2994
Carter,2991
Housemaid,2967
Farmer Wife,2935
Nurse Domestic Servant,2924
Car Driver,2884
School Girl,2796
Weaver,2765
Bricklayer,2751
Caretaker,2679
Railway Porter,2665
Cooper,2618
Groom,2569
No Business,2490
Domestic,2398
Messenger,2380
Farming,2338
Child,2310
House Painter,2246
Housework,2216
Tailoress,2201
Stonemason,2102
Flax Spinner,2092
Sailor,2078
Schoolteacher,2059
Plumber,2022
Spinner,2003
Farmers,1920
Cambric Weaver,1911
Plasterer,1885
Damask Weaver,1880
Army Pensioner,1826
Bookkeeper,1819
National Schoolteacher,1759
Quay Labourer,1746
Daughter,1735
Gardener Domestic Servant,1728
House Keeping,1725
Flax Dresser,1721
Housemaid Domestic Servant,1685
Spinster,1671
Van Driver,1668
Joiner,1649
Merchant,1597
Stone Cutter,1578
Governess,1556
Dock Labourer,1550
Coachman Domestic Servant,1536
Yarn Winder,1519
Factory Worker,1502
Wool Weaver,1492
Railway Labourer,1485
Knitter,1477
Char Woman,1467
Printer Compositor,1427
Weaver Linen,1427
Son,1424
Apprentice,1416
Message Boy,1409
Going to School,1406
Sister of Mercy,1383
Embroiderer,1379
Retired Labourer,1361
Shirt Maker,1345
No Profession,1333
Barmaid,1329
Confectioner,1312
Accountant,1309
Farmer Servant,1293
Solicitor,1287
Cabinetmaker,1282
Visitor,1250
Linnen Weaver,1226
Porter,1224
Tinsmith,1213
Labourer's Daughter,1198
Farmer's Servant,1187
Victualler,1173
Gardner,1163
Commercial Clerk,1149
Musician,1143
Spirit Dealer,1143
Lady,1142
Farmeress,1135
Smoother,1129
At Home,1125
Farmer and Cattle Dealer,1121
Farmer and Shoemaker,1117
Saddler,1093
Soldier,1086
Cotton Weaver,1078
Shopman Grocery,1067
Hairdresser,1058
Stitcher,1057
Winder,1042
