occupationClaude,count
Grocer and Farmer's Son,2
Grocer and Gen Dealer,2
Grocer and General Dealers Son,2
Grocer and General Trader,2
Grocer and Grain Dealer,2
Grocer and Hardware Apprentice,2
Grocer and Hardware Mcht,2
Grocer and Hardware Merch,2
Grocer and Hardware Mercht,2
Grocer and Leather Merchant,2
Grocer and Licensed Ventner,2
Grocer and Manager,2
Grocer and Pension Dealer,2
Grocer and Post Mistress,2
Grocer and Postmaster,2
Grocer and Postmistress,2
Grocer and Poulterer,2
Grocer and Prov. Dealer,2
Grocer and Provision Man,2
Grocer and Provision Shop Keeper,2
Grocer and Provisions Merchant,2
Grocer and Publican Shoe Keeper,2
Grocer and Publicer,2
Grocer and Puplican,2
Grocer and Retired Sergt R.I.C,2
Grocer and Shop Assistant,2
Grocer and Shop Keeper,2
Grocer and Spirit Assistant,2
Grocer and Spirit Meht,2
Grocer and Spirit Mer,2
Grocer and Spirit Merch,2
Grocer and Spirit Merct,2
Grocer and Spirit Trader,2
Grocer and Spirits,2
Grocer and Sprit Mercht,2
Grocer and Spt Mercht,2
Grocer and Stationer,2
Grocer and Surveyor,2
Grocer and Tea Agent,2
Grocer in Provision,2
Grocer or Shop Keeper,2
Grocer's Apprentice Unemployed,2
Grocer's Asst Unemployed,2
Grocer's Bookkeeper,2
Grocer's Boy,2
Grocer's Clerk Unemployed,2
Grocer's Daug,2
Grocer's Draper,2
Grocer's Foreman,2
Grocer's Labourer,2
Grocer's Packer,2
Grocer's Servant,2
"Grocer, Wine and Spirit Dealer",2
Grocers Accountant,2
Grocers App,2
Grocers Apprintice,2
Grocers Ass,2
Grocers Assestant,2
Grocers Assisstant,2
Grocers Assist Dist Councillor,2
Grocers Assistant and Publican,2
Grocers Assistant unemployed,2
Grocers Asst Unemployed,2
Grocers Asst. Unemployed,2
Grocers Asstnt,2
Grocers Carter,2
Grocers Cash Boy,2
Grocers Messenger Boy,2
Grocers Porterer,2
Grocers Portler,2
Grocers Poster,2
Grocers Poter,2
Grocers Shop Boy,2
Grocers Spirit Merchant,2
Grocers Store Keeper,2
Grocers Vandriver,2
Grocers and Bakers Assistant,2
Grocers and Publican Assistant,2
Grocers and Shop Assistant,2
Grocers and Spirit Merchant,2
Grocers and Spirit Shop Assistant,2
Grocers apprentice,2
Grocers assist,2
Grocery Asst,2
Grocery Porter,2
Grocery Retail,2
Grocery Saleswoman,2
Grocery Shop Manager,2
Grocery Sperit and Provision Dealer,2
Grocery Spirit Assist,2
Grocery and Dairy Keeper,2
Grocery and H,2
Grocery and Hardware Business,2
Grocery and Shopkeeper,2
Grocery and Spirit,2
Grocery and Spirit Business,2
Grocery and Spirit Dealer,2
Grocery's Assistant,2
Groces Assistants,2
Grocey,2
Grocors Assistant,2
Grocr and Farmer,2
Groger,2
Grom and Coachman,2
Groocer,2
Groom D. S.,2
Groom Do Servt,2
Groom Domest Servt,2
Groom Domestic Srvt,2
Groom Domestic servant,2
Groom Labourer,2
Groom Merchant,2
Groom Tram Stables,2
Groom Wife,2
Groom and C,2
Groom and Coach Man,2
Groom and Coachman Domestic,2
Groom and General Servt,2
Groom and Valet,2
Groom and Valet Domestic Servant,2
Groom etc.,2
Groom in Circus,2
Groom in Stables,2
Groom of Horses Domestic Servant,2
Groom on Stud Farm,2
Groom. Domestic Servt,2
Groome Domestic S,2
Groome and Coachman Domestic Servant,2
Grooms,2
Groon Domestic Servant,2
Groon and Coachman,2
Ground Rents and Houses,2
Grovers Assistant,2
Grown Apprentice,2
Gt West Riding Regt,2
Guard Railway,2
Guardener,2
Guardian,2
Guardiner,2
Guinness Pensioner,2
Gun Makers Ass,2
Gunn Procer,2
Gunner Atillery,2
Gunner Irish Light,2
Gunner R. Artillery,2
Gunner Wicklow Arty Militia,2
Gunsmith Machanic,2
H ?perty Dividens None,2
H Duties,2
H Loom Weaver Wool,2
H M Coast Guard,2
H Missionary,2
H Painter Sc,2
H Parlourmaid,2
H Smoother,2
H Sticher,2
H W,2
H and Parlour Maid,2
H wife,2
H. Chef Smoother,2
H. M. Postman,2
H. Maid D. Servant,2
H. Maid Servant,2
H. Painter,2
H.M. Customs,2
H?telspring,2
HRP Ornamentor,2
HS Smoother and Finisher,2
Haberdarker,2
Hack Car Proprietor,2
Hackel Setter,2
Hackeler,2
Hackeny Driver,2
Hacker in Linen Factory,2
Hackle Boy Mill,2
Hackle Driller,2
Hackle Letter,2
Hackle and Mill Maker,2
Hacklemaking,2
Hackler Linen Factory,2
Hackler Linen Mill,2
Hackler Unemployed,2
Hackler in Flax Factory,2
Hackler in Spinning Mill,2
Hackler in Thread Factory,2
Hackling Machine Boy,2
Hackling Machine Master,2
Hackling Master,2
Hackney Car,2
Hackney Car Owner and Driver,2
Hackney Car owner,2
Hackny Car driver,2
Hacksters Shop,2
Haiberr,2
Hair Dress,2
Hair Dresser and C,2
Hair Dressing,2
Hair Felter,2
Hair Maker,2
Haircutter,2
Hairdresse Perfumers,2
Hairdresser's Asst,2
Hairdressers Apprentice,2
Hairdressing,2
Hairdressing Apprentice,2
Hairdressor,2
Hale Porter,2
Half Time Mill,2
Half Time Spinner,2
Half Time Worker in Spg Mill and Scholar,2
Half Time in Spin Mill,2
Half Time in Spinning Mill,2
Half Timer Doffer,2
Half timer,2
Half timer in mill,2
Halftime Millworker,2
Halftime Sp R,2
Halftimer in Spinning Mill,2
Hall Maid Asylum,2
Hall Maid Domestic,2
Hall Porter Asylum,2
Hall Porter Domestic,2
Hall Porter Hotel,2
Hall School,2
Hall and Pantry Boy Domestic Servant,2
Hallboy Domestic Servant,2
Hamers Maker,2
Hammer Boy,2
Hand Embroarder,2
Hand Embrodere,2
Hand Hemstitcher,2
Hand Kerchef Cutter,2
Hand Kerchef Machinast,2
Hand Kercheif Ornamentor,2
Hand Kerchief Factoy,2
Hand Kerchief Hemsticher,2
Hand Kerchief Printer,2
Hand Kerchief Weaver,2
Hand Kerchief and Linen Merchant,2
Hand Sower,2
Hand Steward,2
Hand Warper,2
Handerchief Smoother,2
Handk Folder,2
Handkarchief Embroiderer,2
Handkercheif Smoother,2
Handkercheif Work in Wareroom,2
Handkerchief,2
Handkerchief Counter,2
Handkerchief Flowerer,2
Handkerchief Hemmer,2
Handkerchief Maker,2
Handkerchief Ornamentar,2
Handkerchief Server,2
Handkerchief Trade,2
Handkerchief Vice Folder,2
Handkerchief Wareroom Worker,2
Handkerchiefs,2
Handkerchiefs Veiner,2
Handkerchif Folder,2
Handkerchif Veiner,2
Handkershief Stitcher,2
Handkf Folders,2
Handkhif Veiner,2
Handle Holder 1/2 Time in Flax Mill,2
Handling Frames in Bleach and Dye Works,2
Handloom Damask Weaver,2
Hank Winder in Linen Factory,2
Hanker Chiff Worker,2
Hankercheif Smoother,2
Hankerchief Embroiderer,2
Hankerchief Embroidrer,2
Hankerchief Ormanter,2
Hankerchief Ornementer,2
Hankerchief Sticher,2
Hankhefs Veiner,2
Harbour Clerk,2
Harbour Labour,2
Harbour Policeman,2
Harbour Porter,2
Hard Builder,2
Hard Farm Servant,2
Hard and Shepherd,2
Hardresser,2
Hardward Assistant,2
Hardward Clerk,2
Hardware Aprentice,2
Hardware Assisant,2
Hardware Assistant Unemployed,2
Hardware Assistant in Shop,2
Hardware Broker,2
Hardware Buisness,2
Hardware Merchant and Grocer,2
Hardware Merchant and Posting ?,2
Hardware Porterer,2
Hardware Sales Man,2
Hardware Shop Girl,2
Hardware Shop Porter,2
Hardware Trader,2
Hardware and China Merchant,2
Hardware and Delpts,2
Hardware and Grocery,2
Hardware and Seed Merchant,2
Hardware assistant,2
Hardware etc Clerk,2
Harins Maker,2
Harnesmaker and Farmer,2
Harness Apprentice,2
Harness M,2
Harness Maker Apprentice,2
Harness Maker Unemployed,2
Harness Maker and Saddler,2
Harness Maker's Wife,2
Harness Makers Wife,2
Harness Making,2
Harness Manufacturer,2
Harness Stitcher,2
Harness Tier,2
Harter,2
Has Income from Houses,2
Has an Annuity,2
Hase Keeper,2
Haskney Car Owner,2
Hassock Maker,2
Hastler,2
Hat Maker,2
Hat and Cap Manufacturer,2
Hatcher,2
Hatler,2
Hatter Master,2
Hatters Assistant,2
Hauker,2
Hauler,2
Hausekeeper,2
Having House Property,2
Hawker Dealer,2
Hawker Tin Ware,2
Hawker of Hardware,2
Hawker of Tea,2
Hawker of Ten Ware,2
Hawker of Tin Ware,2
Hawkers Assistant,2
Haxter,2
Hay Manger,2
Hay and Corn Broke,2
Hay and Straw Dealer,2
Hay and Straw Merchant,2
Hb Master's Boatman,2
Hd Constabulary Pensioner,2
Hdk Folder,2
Hdkf Smoother in Linen Wareroom,2
Hdkf Stitcher,2
Hdkfs Veiner,2
He Works on the Farm,2
Head Boots,2
Head Coachman,2
Head Constable,2
Head Constable Royal Irish Constabulary,2
Head Dress Maker,2
Head Groom Domestic Servant,2
Head House,2
Head Master of Model School,2
Head Mistress,2
Head Nurse in Fever Hospital,2
Head Nurse in Infirmary,2
Head Postman G P O,2
Head Preparing Master in Flax Spg Mill,2
Head Stable Man,2
Head Waiter Hotel,2
Head and Caretaker,2
