occupationClaude,count
Peers Wife,1
Peety Sessions Clerk,1
Peforater in Linen Trade,1
Peg Dealer,1
Peg maker,1
Peicer Spin R,1
Peicer in Spinning Mill,1
Pen ? in Cattle Market,1
Penceling Shirts,1
Pench Polishe,1
Penchener,1
Penchiner from. L. Asylum,1
Pencil Porter,1
Pencinor,1
Pencinor H M Customs,1
Pencioners of the Church,1
Pendenlist Agent,1
Peninsoner C.V,1
Peninsor R I. C,1
Penioner,1
Penioners Wife,1
Penishinerr,1
Penishoner,1
Penisoner,1
Penisonier 8th Fast Regi?,1
Penors Wife,1
Pens N Board,1
Pensener from D M P,1
Pensenior Army,1
Pensenor from His Majestys Army,1
Penshinor and Interest Fro Money,1
Penshinor's Daughter Interest of Money,1
Penshioned Ex H. Constable R I C.,1
Penshioner Army,1
Penshioner R J C,1
Penshioner and Ex Soldier,1
Penshioner from Army Field Artillery,1
Pensier Royse Navy,1
Pensined Adjutant of Militia and G.P.,1
Pensiner From R.I.C,1
Pensiner R I C,1
Pensiner R. A,1
Pensiner R.I.C,1
Pensiner from Royal Artillary,1
Pensinon R. I. Constabulery and Farmer,1
Pensinor Army,1
Pensinor Land Income from Coys Labourer,1
Pensinor N. Education,1
Pensinor Port and Docks,1
Pensinor R. I. Constaby,1
Pensinor R.I.C.,1
Pensinor from R I C,1
Pensinor from R.I.C,1
Pensinor from R.I.R 2nd Battalion,1
Pensinors R.N.,1
Pensinors Son,1
Pension 27th R I I,1
Pension Annuity and Trading Divs,1
Pension Coast Gurad Officer,1
Pension Cork Harbour Board,1
Pension D.M.P. House Agent,1
Pension Dividends,1
Pension From 89t Foot,1
Pension From Army,1
Pension From Indian Civil Service Etc,1
Pension From Navy,1
Pension From R I Consty,1
Pension From The American Government,1
Pension Inland Revenue Late Lieutenant R.P. Dividints and C,1
Pension Labourer,1
Pension Pilot,1
Pension Postman,1
Pension R I C,1
Pension R J County,1
Pension Sergeant,1
Pension Sergt Major Army Head Porter Rl Coll Sc I,1
Pension Sergt R Aety,1
Pension and Bank Shares,1
Pension and Cardriver,1
Pension and House Keeper,1
Pension from ?,1
Pension from American Army,1
Pension from Army,1
Pension from Cost Gurds,1
Pension from D.M.P.,1
Pension from Earl of Ekillen,1
Pension from Govern,1
Pension from Money,1
Pension from Nanny,1
Pension from Navy,1
Pension from R.I.C.,1
Pension from St Edmondsbury Property at Lucan,1
Pension from Ulster Bank,1
Pension from War Office,1
Pension from a Bank,1
Pension of 3rd Reg Farm Servant ?,1
Pensionar From the R.I.Constabulary and Land Holder,1
Pensionar R.A. Gesnnor,1
Pensionar U.S. Navy,1
Pensiond Teacher,1
Pensione Army,1
Pensione Nat.Teacher,1
Pensione from Army,1
Pensioned Army School Mistress,1
Pensioned Asst. Surveyer Ex.,1
Pensioned Brewery Timekeeper,1
Pensioned Brigade Sergt Major Royal Arty,1
Pensioned C.G. Officer,1
Pensioned Ch B in Charge C Gerand,1
Pensioned Chf of C P,1
Pensioned Chf offr R. N.,1
Pensioned Chief Officer,1
Pensioned Engine Driver,1
Pensioned Ex Clerk,1
Pensioned Ex Constable R.I.C.,1
Pensioned From R J C,1
Pensioned Govt H M T High Testimonials,1
"Pensioned Hd. Con, R.I.C",1
Pensioned Light Keeper,1
Pensioned M. P. London,1
Pensioned N Teacher,1
Pensioned Nat School Teacher,1
Pensioned Nat Teacher,1
Pensioned National Teacher,1
Pensioned Officer Cash Guards,1
Pensioned Police Sergenat,1
Pensioned Postman,1
Pensioned Result Magte,1
Pensioned School Master,1
Pensioned School Mistress,1
Pensioned Sergt Arty,1
Pensioned Sergt Gram Army,1
Pensioned Sergt. from Royal Artillery,1
Pensioned Sight Keeper,1
Pensioned Station of Coast Guard,1
Pensioned Teacher Nat Board,1
Pensioned Teacher of National School,1
Pensioned Warcant Office Royal Navy,1
Pensioned army Schoolmaker,1
Pensioned from Army,1
Pensioned from H M Coast Guard,1
Pensioned from R.I. Const,1
Pensioned from Royal Artilley,1
Pensioneer,1
Pensioner 1/13 Foot,1
Pensioner 100 Foot,1
Pensioner 100 Prince of Wales Reg Shoe Maker,1
Pensioner 103rd,1
Pensioner 107th Regiment,1
Pensioner 109 Regt,1
Pensioner 109th Foot,1
Pensioner 10th Foot Color Sergt,1
Pensioner 10th Foot Reg,1
Pensioner 16 Lancers Port Railway Porter,1
Pensioner 16 Pigment,1
Pensioner 18th R Irish,1
Pensioner 18th Reg Food,1
Pensioner 18th Royal Irish,1
Pensioner 19 Hussars Cotton Weaver,1
Pensioner 1st 10th Foot,1
Pensioner 1st 11 Fort Agricultural Labourer,1
Pensioner 1st 19th Yorkshire Reg Farmer,1
Pensioner 1st Bat Gardan Higheanders,1
Pensioner 1st Battalior Staffordshire Regiment,1
Pensioner 1st Battallion 1st Sumrnet Set,1
Pensioner 1st Battn. Buffs,1
Pensioner 1st Bt Royan Regt,1
Pensioner 1st Royal Irish and Agricultural Labourer,1
Pensioner 1st Royal Scotts,1
Pensioner 1st Royal Seats,1
Pensioner 20 Boat Rgt,1
Pensioner 20th Hussars,1
Pensioner 21 R I Fusre,1
Pensioner 27 Inniskelley,1
Pensioner 27th Inniskillings,1
Pensioner 28th Foot Lodge Keeper P L,1
Pensioner 2nd 14th Foot,1
Pensioner 2nd Battalion 1st Foot,1
Pensioner 2nd Battaltior 3rd Buffs,1
Pensioner 2nd Bde D I D R A and Shop Keeper,1
Pensioner 2nd Dorset,1
Pensioner 2nd Mc Sat Late Army Staff,1
Pensioner 2nd Northampton,1
Pensioner 2nd Oxford Reg Infantry,1
Pensioner 2nd Royal Inneskelling Fusilier,1
Pensioner 2nd Royal Minister and Fusiliers,1
Pensioner 31st Regiment a Foot,1
Pensioner 33 Foot,1
Pensioner 33 rd Rigement,1
Pensioner 33rd Foot,1
Pensioner 34th Royal Artillery,1
Pensioner 38 Foot Saffordshire Regt,1
Pensioner 3rd Buffs Infantry,1
Pensioner 4 Battalion Rifle Brigade,1
Pensioner 40th Foot,1
Pensioner 44 Regd Foot,1
Pensioner 44th,1
Pensioner 45 Registrate,1
Pensioner 46 Foot Gate and Lime Keeper,1
Pensioner 49th Foot,1
Pensioner 4th R I Lees,1
Pensioner 5 Foot,1
Pensioner 54th Foot,1
Pensioner 58 Regt Foot,1
Pensioner 58th Infantry,1
Pensioner 59 Foot and Tailor,1
Pensioner 5th Bdn R. I. F,1
Pensioner 5th Bn Cons Rang,1
Pensioner 5th Tragoon Gds Car Owner,1
Pensioner 61st Regt U. S. A.,1
Pensioner 62nd Foot R,1
Pensioner 63rd Fort,1
Pensioner 68 L.I.,1
Pensioner 6th Innestillen Dragoons,1
Pensioner 6th Innishilling Dragoods Farmer,1
Pensioner 73 Highland Light Infantry,1
Pensioner 75 Food Batt,1
Pensioner 7th Hus?,1
Pensioner 81st,1
Pensioner 85th Foot,1
Pensioner 86 Regt,1
Pensioner 86 Regt aldershot Agricultural Labourer,1
Pensioner 86th Foot,1
Pensioner 87 R.I Fusileor,1
Pensioner 87th RJ Fus?,1
Pensioner 88 Reg. Fort,1
Pensioner 88 Regt Foot,1
Pensioner 88th Regt,1
Pensioner 89 Foot Mill Worker,1
Pensioner 89th,1
Pensioner 8th Foot,1
Pensioner 94th Fort,1
Pensioner 94th Regt,1
Pensioner 95 Regemant,1
Pensioner 95 Regt,1
Pensioner 99th D E,1
Pensioner ?,1
Pensioner ? R S Regt,1
Pensioner ? Sergeant in R.I.C,1
Pensioner A B From Navy and Coastguard,1
Pensioner A.S. Corps,1
"Pensioner Agl and Co, Ltd",1
Pensioner Amy,1
Pensioner Arm 55th Regiment,1
Pensioner Army 104th,1
Pensioner Army 15th Foot,1
Pensioner Army 1st 24th Private,1
Pensioner Army 54th Infantry Regiment,1
Pensioner Army 56 Foot,1
Pensioner Army 81st Regt,1
Pensioner Army 88 Reg,1
Pensioner Army Canteen Manager,1
Pensioner Army Employment Nil,1
Pensioner Army From,1
Pensioner Army General Labourer,1
Pensioner Army Gunner R. A.,1
Pensioner Army Infantry Rifle Brigade. Quarter Master Serjeant,1
Pensioner Army Kings Own,1
Pensioner Army Messenger RSE Office,1
Pensioner Army Sergeant,1
Pensioner Army Sergt Mager,1
Pensioner Army Serr,1
Pensioner Army adjutant Gl. Department,1
Pensioner Army from 45th Foots ?,1
Pensioner Army from 45th Regiment of Infantry,1
Pensioner Artillery,1
Pensioner Asylum Biker,1
Pensioner Attendant from Asylum,1
Pensioner B A,1
Pensioner Barrack Labourer,1
Pensioner British Armey,1
Pensioner British Army,1
Pensioner C Guard,1
Pensioner C S Grdinance Survey Department,1
Pensioner C. M. Rifles Cope Colony South Africa,1
Pensioner Cak R N,1
Pensioner Cantebury Depot Cavaloy,1
Pensioner Care Taker,1
Pensioner Carlow Asylum,1
Pensioner Carpenter R H M School,1
Pensioner Carpl Infantry,1
Pensioner Cavalery Tobacco Commercial Clerk,1
Pensioner Cavalry,1
Pensioner Chief Officier of Court Gardens,1
Pensioner Clerk,1
Pensioner Clerk Rawl,1
Pensioner Coach Man Domestic Servent,1
Pensioner Coast Bd? Rl Artillery,1
Pensioner Collector General Office,1
Pensioner Commissioner,1
Pensioner Const Dm Police,1
Pensioner Constabalary,1
Pensioner Constable from R.I.C.,1
Pensioner Constabulary,1
Pensioner Constry,1
Pensioner Cork City Arty Sn Dn Rl Arty,1
Pensioner Crone Army Farm Labourer,1
Pensioner Custom Watcher C Sergt R I Rifles,1
Pensioner Customs,1
Pensioner Cvl Service,1
Pensioner D M P and General Labourer,1
Pensioner D M Poter,1
Pensioner D N Police,1
Pensioner D. M P.,1
Pensioner D. M. P,1
Pensioner D. M. Police,1
Pensioner D.I.R.I. Constable,1
Pensioner D.M.P and Local Government Board,1
Pensioner D.N.P,1
Pensioner D.W and W. Ry Co.,1
Pensioner D.W.P,1
Pensioner Distillery Labourer,1
Pensioner District Asylum,1
Pensioner Dragoons Cavlery,1
Pensioner Driving Infantry,1
Pensioner Dublin Fuiorder,1
Pensioner Dublin Police,1
Pensioner E Genl,1
Pensioner E Sergt R I C Not Employed,1
Pensioner E. Lancashire Reg,1
Pensioner E.I. Coy,1
Pensioner East Lancashires,1
Pensioner East Survey Regiment,1
Pensioner English Armey,1
Pensioner English Army Infantry,1
Pensioner English Police,1
Pensioner English and American Army,1
Pensioner Enniskillen Fusiliers,1
Pensioner Ex Endcard R I,1
Pensioner Ex H C R I C,1
Pensioner Ex H.C.R.I.C,1
Pensioner Ex Hd Con R I Constabulary,1
"Pensioner Ex Head Constable, R.I.Constabulary",1
Pensioner Ex N Teacher,1
Pensioner Ex N. T,1
Pensioner Ex R. I. C,1
Pensioner Ex R. I. Consty Sheriffs Bailiff and Civil Bill Officer,1
Pensioner Ex R.I.C,1
Pensioner Ex R.I.C.,1
Pensioner Ex Segt R. I. Constaby,1
Pensioner Ex Segt R.I.C,1
Pensioner Ex Serg R. I. C,1
Pensioner Ex Serg. R. A.,1
Pensioner Ex Sergant R I C,1
Pensioner Ex Sergeant R. I. C.,1
Pensioner Ex Sergeant R.I.C,1
Pensioner Ex Sergt R I C Caretaker G P O,1
Pensioner Ex Sergt R I C and Gamekeeper,1
Pensioner Ex Sergt R. I. C,1
Pensioner Ex Sergt R.I.C,1
Pensioner Ex Sergt R.I.C.,1
Pensioner Ex Sergt. R.I.C and Farmer,1
Pensioner Ex Sergt. R.I.C.,1
Pensioner Ex Srgt. R. I. C,1
Pensioner Ex or Retired Nat. Teacher,1
"Pensioner Ex, Sergt Rt Consty",1
Pensioner Ex. Dist. Drapr R.I.Constabulary,1
Pensioner Ex. Hd. Const. R.I.C.,1
Pensioner Ex. Schoolmaster,1
Pensioner Ex. Segt. R.I.C and Farmer,1
Pensioner Ex. Serg. R.I.C,1
Pensioner Ex. Sergt R.I.C.,1
Pensioner Excise Revens,1
Pensioner Exprison Warder,1
Pensioner F. E.,1
Pensioner Farm the R.I.C,1
Pensioner Farmer Infantry,1
Pensioner First West York,1
Pensioner Foot Commissionaire,1
Pensioner Foreign Civil Servant,1
Pensioner Foreman Labourer,1
Pensioner Foreman of Works,1
Pensioner Form R.I.C,1
Pensioner Formerly Overseer of Labourers Rathmines District Counsil,1
Pensioner From,1
Pensioner From 10th Fort Regent,1
Pensioner From 1st Leinster Regt,1
Pensioner From 1st Life Gde Forester,1
Pensioner From 1st Warwick Regl,1
Pensioner From 23 Regiment,1
Pensioner From 45th Reg,1
Pensioner From 57 Infantry,1
Pensioner From Army 31st Foot,1
Pensioner From Army 88 Connarighter Rangers,1
Pensioner From Army R Irish Fusilients,1
Pensioner From Army Service Corp,1
"Pensioner From Army, and Rag Father",1
Pensioner From Bank of Ireland,1
Pensioner From Board of National Education,1
Pensioner From Both Royal Rifles,1
Pensioner From Brewery,1
Pensioner From British Guiana Police,1
Pensioner From Constabulary,1
Pensioner From Customs Hon,1
Pensioner From D M P,1
Pensioner From D M P Police,1
Pensioner From D.M.P,1
Pensioner From D.W and W R.,1
Pensioner From Educated Board,1
Pensioner From Governess,1
Pensioner From J and J Murphys Brewery,1
Pensioner From Light Ship Service,1
Pensioner From Lunatic Asylum,1
Pensioner From Messrs Guinness and co,1
Pensioner From Mineral Water Manufactory,1
Pensioner From Office of Clerk Relty Seaman,1
Pensioner From Prison Board,1
Pensioner From Prison Ser,1
Pensioner From Prison Service,1
Pensioner From R I C and Civil Bill Officer,1
Pensioner From R I Constabaly,1
Pensioner From R I Constabuly,1
Pensioner From R I Constaby,1
Pensioner From R I Cony,1
Pensioner From R.I. Const.,1
Pensioner From R.I. Constabulary,1
Pensioner From Rl Artillery,1
Pensioner From Royal Artilery,1
Pensioner From Royal Artillery,1
Pensioner From Royal Arty,1
Pensioner From Shipping Company,1
Pensioner From Sligo Union Workhouse,1
Pensioner From The Dublin Metropolitan Police,1
Pensioner From army,1
Pensioner From the 38 Foot,1
Pensioner From the Army 41st Walch,1
Pensioner From the D.M Police and Farmer,1
Pensioner From the Navy,1
Pensioner From the R I C,1
Pensioner From the R.I.C,1
Pensioner From the R.I.C.,1
Pensioner From the Royal Artillery Carpenter,1
Pensioner Fron R.K.,1
Pensioner Fusillers 2nd.Varthu?d,1
