occupationClaude,count
Tea Merchant and R.P.M.,1
Tea Merchant and Wholesale Grocer,1
Tea Merchant's Assistant,1
Tea Merchants Apprentice,1
Tea Merchants Assistant,1
Tea Merchants Clarkess,1
Tea Merchants Porter,1
Tea Mercht,1
Tea Merchts Assist,1
Tea Messenger,1
Tea Murchant,1
Tea Nued and Spirit Merchant,1
Tea Packer Tea Store,1
Tea Planter ?,1
Tea Porter Out of Employment,1
Tea Retailer,1
Tea Retailers Wife,1
Tea Sampler,1
Tea Seller Traveller,1
Tea Shop Messenger,1
"Tea Shop, Manager",1
Tea Shopman,1
Tea Spirits and Tobacconist,1
Tea Store Manager,1
Tea Storeman,1
Tea Tester,1
Tea Tester Clerk,1
Tea Trade Apprentice,1
Tea Trade Commercial Clerk Shipping,1
Tea Travelar,1
Tea Traveller and Shopkeeper,1
Tea Travellers Wife,1
Tea Traverller,1
Tea Travillar,1
Tea Trawler,1
Tea Van Driver Domestic Servant,1
Tea Van Superintendant,1
Tea Vanman,1
Tea Vender,1
Tea Vendor,1
Tea Ware House Assistant,1
Tea Ware House Man,1
Tea Wine Porter,1
Tea Wine Spirit Merch,1
Tea Wine Spirit Merchant and Auctioneer,1
Tea Wine Spirit Merchant and Farmer,1
Tea Wine Spirit and Commission Agent None,1
Tea Wine Spirt Merchant Shopkeeper,1
Tea Wine and Grcr Mcht,1
Tea Wine and Spiret Mercht,1
Tea Wine and Spirit Merchant Consists Tobacco,1
Tea Wine and Spirit Mrcht,1
Tea Wine and Spirt Merchant,1
Tea Wine and Spt Merchant,1
Tea Wine and Spt Mercht,1
Tea Wine and Sugar Commission Agent,1
Tea Wine and Whisky Merchant,1
Tea Wins and Spirit Merchant,1
Tea and Bacon Agent,1
Tea and Dealer,1
Tea and Egg Mearchant,1
Tea and General Merchant,1
Tea and Genl Provision Dealer,1
Tea and Grocery Dealer,1
Tea and L?me Merchant,1
Tea and Mearchant,1
Tea and Provision Commercial Traveeler,1
Tea and Provision Mercht,1
Tea and Sugar Commercial Traveller,1
Tea and Tobacco Dealer,1
Tea and Tobacco Merchant,1
Tea and Tobacoo Dealer,1
Tea and Wine Business Coml Traveller,1
Tea and Wine Commercial Traveller,1
Tea and Wine Mcht,1
Tea and Wine Porter,1
Tea and Wine Traveller,1
Tea and wine merchants Accountant,1
Tea man,1
Tea porter,1
"Tea, Sugar, Janet and Tobacco Agent",1
"Tea, Wine and Spint Mcht",1
"Tea, Wine and Sprit Merchant",1
"Tea, Wine and Spt Merchant",1
"Tea, Wine, Spirit Merchant",1
"Tea,Wine and Spirit Merchant",1
Tea. Wine Spirit Merchant,1
Tea. Wine and Spirit Merchant,1
Teabelly Tea Trade,1
Teach,1
Teach Under Gred R.U.J,1
Teached Home,1
Teacher 2nd Arts R. U. S,1
Teacher 2nd Arts R.U.I,1
Teacher : French German Italian Drawing,1
Teacher ?,1
Teacher A B,1
Teacher A School,1
Teacher Agl. N. S.,1
Teacher Alexandre School,1
"Teacher Ancient Classics; Minister without Charge Presbyn Chri B.A., T.C.D",1
Teacher Art,1
Teacher Art Class Etc,1
Teacher Art Needlework,1
Teacher Assist Nat. School,1
Teacher Assistant Nat School,1
Teacher Assistant in N S,1
Teacher Asst. Mistress in Secondary School,1
Teacher Asst. and Workmss,1
Teacher B A R U T,1
Teacher B A Ru I,1
Teacher B A of Lady's Colligate School,1
Teacher B. A. R U I Undergraduate London,1
Teacher B. A. R. U. I.,1
Teacher B.A. LL. B,1
Teacher B.A. Mathematics,1
Teacher B.A. Occasional Author,1
Teacher B.A. R ?,1
Teacher B.A. R N I,1
Teacher B.A. R U I,1
Teacher B.A. R.M.T,1
Teacher B.A. R.U.I,1
"Teacher B.A., L.L.B.",1
"Teacher B.A., R.U.I",1
"Teacher B.A., R.U.I.",1
Teacher B.A.R.U.I.,1
Teacher B.A.R.W.I,1
Teacher B.A; R.U.I.,1
